Date,Open,High,Low,Close,Volume,OpenInt
20100212,153.05,153.05,153.05,153.05,256,0
20100218,152.26,152.26,152.26,152.26,174,0
20100219,151.78,152.37,151.78,151.82,101,0
20100222,151.06,151.06,150.9,150.9,154,0
20100223,152.63,152.63,152.59,152.63,338,0
20100224,152.75,152.75,151.97,151.97,143,0
20100225,152.12,152.12,152.12,152.12,263,0
20100226,150.53,150.91,150.53,150.91,128,0
20100301,149.76,149.96,149.76,149.96,72,0
20100302,149.57,149.57,149.57,149.57,174,0
20100303,148.94,148.94,148.94,148.94,20,0
20100304,148.66,148.66,148.66,148.66,77,0
20100305,147.43,147.43,147.43,147.43,133,0
20100308,147.03,147.03,147.03,147.03,72,0
20100309,147.08,147.08,147.08,147.08,123,0
20100310,150.13,150.13,150.13,150.13,51,0
20100311,150.94,150.94,150.94,150.94,61,0
20100312,150.34,150.34,150.34,150.34,20,0
20100315,150.56,150.56,150.56,150.56,151,0
20100316,149.84,149.84,149.84,149.84,172,0
20100317,149.29,149.29,149.29,149.29,164,0
20100318,149.8,149.8,149.8,149.8,118,0
20100319,150.36,150.36,150.36,150.36,131,0
20100322,150.45,150.45,150.07,150.07,159,0
20100323,149.88,149.88,149.88,149.88,115,0
20100324,149.9,149.9,149.9,149.9,82,0
20100325,149.59,149.59,149.59,149.59,20,0
20100326,150.55,150.55,150.55,150.55,10,0
20100329,149.73,149.73,149.73,149.73,105,0
20100330,149.23,149.23,149.23,149.23,190,0
20100331,148.74,148.74,148.74,148.74,51,0
20100401,149.33,149.33,149.33,149.33,82,0
20100407,148.7,148.7,147.58,147.58,68,0
20100408,149.48,149.48,149.48,149.48,92,0
20100409,150.39,150.39,150.39,150.39,72,0
20100412,150.15,150.15,150.15,150.15,102,0
20100413,151.28,151.28,149.77,149.77,82,0
20100414,149.3,149.3,149.3,149.3,51,0
20100415,149.15,149.15,149.15,149.15,82,0
20100416,151.36,151.36,151.36,151.36,92,0
20100419,151.34,151.92,151.34,151.34,76,0
20100420,150.6,151.73,150.6,151.73,69,0
20100421,151.16,151.16,151.16,151.16,41,0
20100422,152.81,152.81,151.86,151.86,140,0
20100423,151.93,151.93,151.93,151.93,381,0
20100426,150.48,150.48,150.48,150.48,31,0
20100427,152.25,152.25,152.25,152.25,79,0
20100428,152.25,152.25,152.25,152.25,56,0
20100429,152.81,152.81,152.81,152.81,805,0
20100430,153.22,153.41,153.22,153.41,1146,0
20100503,153.65,153.65,153.65,153.65,51,0
20100504,155.47,155.86,155.47,155.86,2469,0
20100505,158.33,158.33,158.33,158.33,521,0
20100506,161.82,162.44,160.81,161.82,963,0
20100507,161.7,161.7,160.48,160.48,696,0
20100510,156.86,156.86,156.47,156.86,606,0
20100511,156.16,156.16,155.38,155.38,1477,0
20100512,154.85,154.85,154.85,154.85,836,0
20100513,153.21,153.21,152.83,152.83,819,0
20100514,155.43,155.43,155.23,155.23,1433,0
20100517,156.42,156.42,156.23,156.23,128,0
20100518,156.29,156.49,156.29,156.49,901,0
20100519,160.73,160.73,159.53,159.53,528,0
20100520,163.41,163.41,161.37,161.78,1043,0
20100521,161.99,161.99,160.78,160.78,392,0
20100524,159.38,159.38,159.38,159.38,519,0
20100525,162.49,162.49,162.49,162.49,940,0
20100526,159.97,159.97,159.97,159.97,1485803,0
20100527,158.88,158.92,158.52,158.92,1137,0
20100528,159.5,159.5,159.5,159.5,894,0
20100531,159.03,159.03,159.03,159.03,60,0
20100601,158.96,159.76,158.96,159.76,753,0
20100602,159.19,159.99,159.19,159.99,2359,0
20100603,160.23,160.23,159.83,159.83,883,0
20100604,162.09,162.09,161.88,161.88,1229,0
20100607,161.92,161.92,160.7,160.7,1441,0
20100608,161.21,161.21,161.21,161.21,518,0
20100609,159.94,160.35,159.94,160.35,144,0
20100610,159.33,159.33,159.33,159.33,837,0
20100611,160.26,160.26,159.86,160.26,1141,0
20100614,158.5,158.5,158.18,158.18,2573,0
20100615,158.96,158.96,158.16,158.16,2309,0
20100616,157.96,158.03,157.96,157.96,2208,0
20100617,158.4,158.4,158.4,158.4,935904,0
20100618,157.52,157.52,157.52,157.52,2019,0
20100621,157.54,157.54,157.54,157.54,381,0
20100622,157.73,157.93,157.73,157.93,15,0
20100623,158.38,158.57,158.38,158.57,1880,0
20100624,160.57,160.57,160.57,160.57,941,0
20100625,160.28,160.28,160.07,160.28,3272,0
20100628,161.5,161.5,160.61,160.61,3217,0
20100629,161.29,161.29,161.29,161.29,184,0
20100630,160.95,160.95,160.95,160.95,2304,0
20100701,162.61,162.61,162.54,162.54,5377,0
20100702,161.92,161.92,161.72,161.72,1638,0
20100706,159.95,159.95,159.91,159.91,65,0
20100707,159.52,159.52,159.52,159.52,4072,0
20100708,159,159,159,159,665,0
20100709,158.47,158.47,158.47,158.47,215545,0
20100712,158.38,158.86,158.38,158.86,896,0
20100713,158.64,158.64,158.64,158.64,720,0
20100714,158.42,158.42,158.42,158.42,31,0
20100715,158.63,158.63,158.55,158.55,5288,0
20100716,160.34,160.34,160.34,160.34,117,0
20100719,160.81,160.81,160.81,160.81,204,0
20100720,160.2,160.41,160.2,160.41,1025,0
20100721,159.85,159.85,159.65,159.65,5050,0
20100722,159.23,159.31,159.04,159.04,1513,0
20100723,159.29,159.29,158.3,158.3,963,0
20100726,157.8,157.8,157.2,157.2,254,0
20100727,155.95,156.73,155.95,155.95,12,0
20100728,156.17,156.17,155.78,156.17,2099,0
20100729,156.9,156.9,156.9,156.9,446,0
20100730,156.95,156.95,155.97,156.56,3813,0
20100802,155.42,155.42,155.02,155.02,1067,0
20100803,155.89,156.68,155.89,156.68,1137,0
20100804,155.89,155.89,155.89,155.89,462,0
20100805,156.27,156.27,156.27,156.27,323,0
20100806,156.09,156.13,156.09,156.13,1523,0
20100809,155.16,155.16,155.16,155.16,51,0
20100810,156,156.12,155.96,155.96,5817,0
20100811,157.25,157.25,157.06,157.06,880,0
20100812,156.74,156.74,156.74,156.74,978,0
20100813,156.48,156.48,156.14,156.48,893,0
20100816,155.51,155.55,155.51,155.51,469,0
20100817,154.34,154.34,154.34,154.34,267,0
20100818,153.91,153.91,153.76,153.91,1318,0
20100819,156.11,156.11,155.33,155.33,1087,0
20100820,155.58,155.58,155.58,155.58,2223,0
20100823,157.06,157.06,157.06,157.06,37,0
20100824,157.1,157.1,156.94,156.94,406,0
20100825,156.66,156.81,156.66,156.81,102396,0
20100826,155.99,155.99,155.99,155.99,871,0
20100827,155.55,155.75,155.4,155.75,114670,0
20100830,156.65,156.65,156.26,156.53,895,0
20100831,156.72,156.72,156.53,156.72,13530,0
20100902,155.55,155.55,155.48,155.48,1968,0
20100903,154.81,154.81,154.81,154.81,697,0
20100906,155.38,155.38,154.42,154.61,538,0
20100907,154.9,155.02,154.9,155.02,135,0
20100908,155.16,155.16,154.59,154.66,458,0
20100909,154.69,154.69,154.61,154.61,238,0
20100910,154.72,154.72,154.72,154.72,379,0
20100913,154.33,154.33,154.33,154.33,26,0
20100914,154.02,154.21,154.02,154.21,611,0
20100916,155.07,155.45,155.07,155.45,131,0
20100917,156.07,156.07,155.99,155.99,2334,0
20100920,155.5,155.5,155.5,155.5,118,0
20100921,155.89,155.89,155.89,155.89,512,0
20100922,155.35,155.35,155.35,155.35,821261,0
20100923,155.65,155.65,155.65,155.65,566,0
20100924,155.26,155.88,155.26,155.88,1239,0
20100927,156.66,156.66,156.66,156.66,144,0
20100928,156.8,156.8,156.8,156.8,122860,0
20100929,156.38,156.77,156.38,156.77,301,0
20100930,156.96,157.35,156.96,156.96,858,0
20101001,155.48,155.48,155.48,155.48,519,0
20101004,156.42,156.42,156.03,156.03,590,0
20101005,155.77,155.77,155.77,155.77,26,0
20101006,156.23,156.42,156.23,156.42,142,0
20101007,158.19,158.19,158.19,158.19,15,0
20101008,156.87,156.87,156.87,156.87,1536,0
20101011,156.7,156.7,156.7,156.7,1185,0
20101012,156.64,156.64,156.44,156.44,863,0
20101013,154.67,154.67,154.67,154.67,1536,0
20101014,155.17,155.17,155.17,155.17,26,0
20101015,154.61,154.61,154.61,154.61,82,0
20101018,154.73,154.73,154.73,154.73,61,0
20101019,157,157,157,157,20,0
