Date,Open,High,Low,Close,Volume,OpenInt
20121003,72.69,73.99,72.46,73.88,563949,0
20121004,74.29,76.78,74.21,76.78,1509158,0
20121005,76.78,77.57,75.21,75.6,885769,0
20121008,75.77,76.68,75.77,76.52,303017,0
20121009,76.97,77.36,76.03,76.1,215962,0
20121010,76.63,76.99,76.36,76.63,287998,0
20121011,76.67,78.49,76.67,78.25,639024,0
20121012,78.76,79.98,78.12,79.11,644226,0
20121015,79.42,79.97,78.75,79.97,476641,0
20121016,80.26,80.61,79.86,80.06,302999,0
20121017,80.55,80.55,77.7,79.16,736853,0
20121018,79.07,79.63,78.68,79.07,187681,0
20121019,79.33,79.33,78.26,78.58,71520,0
20121022,78.45,78.45,77.54,78.17,263792,0
20121023,78.56,78.56,76,77.32,301461,0
20121024,77.92,78.93,77.84,78.32,167986,0
20121025,77.96,79.12,77.84,78.04,84561,0
20121026,77.53,78.13,76.21,77.01,204182,0
20121029,77.23,77.67,76.39,76.63,226707,0
20121030,76.59,78.19,76.43,77.91,145072,0
20121031,77.67,79.27,77.67,77.87,223360,0
20121101,77.52,78,76.73,77.52,86425,0
20121102,77.34,77.54,76.15,76.23,185583,0
20121105,76.36,76.96,76.12,76.88,185643,0
20121106,77.2,79.19,77.2,78.39,478266,0
20121107,79.1,80.7,78.98,80.1,560489,0
20121108,80.29,81.22,79.85,79.85,155634,0
20121109,80.48,80.68,78.07,79.48,134036,0
20121112,80.38,81.99,80.14,81.99,181543,0
20121113,81.9,82.42,81.29,82.42,216420,0
20121114,81.5,81.63,77.52,80.5,390476,0
20121115,80.45,81.05,79.69,79.89,77653,0
20121116,79.47,79.87,77.78,78.26,163949,0
20121119,78.25,78.49,76.65,78.01,143205,0
20121120,77.52,78.27,76.8,76.96,227765,0
20121121,77.64,77.88,77.09,77.44,59826,0
20121122,77.37,77.93,76.94,77.73,91218,0
20121123,78.15,78.15,76.92,77.28,118211,0
20121126,77.37,78.72,76.98,78.12,119351,0
20121127,78.55,78.67,78.2,78.28,124927,0
20121128,78.43,78.43,77.32,78.39,163433,0
20121129,78.31,79.53,78.31,78.98,248240,0
20121130,79.3,79.42,78.82,78.86,67816,0
20121203,79.8,80.91,79.6,80.03,200186,0
20121204,80.16,80.48,80,80.08,207010,0
20121205,80.4,82.19,80.4,81.51,298389,0
20121206,82.16,82.44,81.8,81.96,176823,0
20121207,82.23,86.22,81.88,83.63,554239,0
20121210,85.25,85.25,83.27,83.27,421552,0
20121211,83.6,84.35,83.52,83.52,714178,0
20121212,84.02,84.06,81.3,81.3,340055,0
20121213,81.71,82.62,81.35,81.43,353312,0
20121214,81.6,83.14,81.2,83.14,437840,0
20121217,83.69,84.12,83.33,84.05,315060,0
20121218,84.12,84.64,83.81,84.32,309767,0
20121219,84.41,84.41,83.66,84.29,191210,0
20121220,83.81,84.36,83.42,84.08,148551,0
20121221,84.3,84.3,83.12,83.9,184317,0
20121227,83.74,86.18,82.84,86.18,244560,0
20121228,86.51,86.75,84.27,84.5,156416,0
20130102,86.03,86.3,85.44,85.83,169128,0
20130103,85.96,86.71,85.92,86.31,129536,0
20130104,87.3,89.65,86.67,89.65,152712,0
20130107,90.25,91.04,88.7,89.33,232266,0
20130108,89.35,89.35,87.48,88.11,247364,0
20130109,87.6,90.63,87.16,90.24,148664,0
20130110,91.12,91.44,88.2,89.11,221141,0
20130111,90.35,90.59,87.89,89.08,152047,0
20130114,89.53,89.77,87.98,88.38,148989,0
20130115,88.03,88.43,86.08,86.68,291796,0
20130116,87.16,88.55,86.76,88.23,196653,0
20130117,88.29,89.36,88.29,89.09,141499,0
20130118,90.21,90.97,89.81,90.17,89463,0
20130121,90.98,92.31,90.9,92.31,148864,0
20130122,92.67,92.87,90.33,91.22,143235,0
20130123,91.51,91.6,90.59,91.47,243769,0
20130124,92,92.81,90.99,92.12,105927,0
20130125,91.84,92.2,91.04,91.84,154174,0
20130128,92.84,92.93,92.03,92.24,153806,0
20130129,92.53,93.14,92.05,92.57,133754,0
20130130,93.02,93.18,91.44,91.89,93577,0
20130131,91.88,91.88,90.55,90.63,139396,0
20130201,91.11,93.28,91.11,92.11,417521,0
20130204,92.73,93.38,92.2,92.29,141985,0
20130205,91.68,92.04,91.07,91.07,138312,0
20130206,91.36,92.17,90.76,91,143912,0
20130207,90.78,91.26,90.17,90.66,166187,0
20130208,90.52,91.36,90.04,90.84,77844,0
20130211,91.4,92.28,91.28,92,76192,0
20130212,92.34,93.34,91.53,92.66,142849,0
20130213,92.9,94.3,92.74,93.9,167424,0
20130214,94.66,94.87,93.94,94.42,164209,0
20130215,95.03,95.23,94.1,94.1,108172,0
20130218,94.77,94.81,94.05,94.57,110477,0
20130219,94.16,94.56,93.44,93.92,134451,0
20130220,93.95,93.99,90.13,91.5,197461,0
20130221,91.84,92.04,88.75,89.87,236850,0
20130222,89.99,91.92,89.79,91.2,79393,0
20130225,90.96,92.52,90.76,91.52,117820,0
20130226,90.95,91.84,89.67,90.39,107378,0
20130227,90.65,91.05,89.24,90.05,127527,0
20130228,90,90.32,88.76,90.24,115653,0
20130301,89.98,89.98,88.67,88.75,115754,0
20130304,88.89,88.93,87.37,88.21,159938,0
20130305,87.96,91.07,87.41,90.64,146255,0
20130306,91.47,92.71,91.11,92.11,125662,0
20130307,94.37,94.93,92.85,93.37,232275,0
20130308,93.1,93.94,92.94,93.38,118965,0
20130311,93.29,93.97,93.05,93.33,66242,0
20130312,93.6,93.96,92.32,92.76,102549,0
20130313,92.88,94.76,92.44,94.48,79213,0
20130314,95.28,98.29,95.28,98.09,251021,0
20130315,98.3,99.5,95.06,95.3,265008,0
20130318,94.18,94.54,92.98,94.5,166831,0
20130319,94.73,94.73,92.43,92.83,152452,0
20130320,92.92,95.5,92.92,94.69,76506,0
20130321,92.56,96.2,90.7,95.75,231730,0
20130322,95.79,98.25,94.95,96,190575,0
20130325,96.72,97.16,92.05,92.5,234140,0
20130326,93.62,97.46,93.62,95.68,141227,0
20130327,95.95,95.95,93.57,93.74,144989,0
20130328,94.32,95.74,93.96,94.97,131729,0
20130402,96.01,96.41,94.88,96.13,130236,0
20130403,96.23,96.63,95.42,96.23,110053,0
20130404,96.05,97.07,95.08,95.25,124013,0
20130405,95.38,95.46,92.61,93.01,118024,0
20130408,93.05,94.37,92.37,92.89,66968,0
20130409,92.33,94.52,92.33,93.76,68936,0
20130410,93.48,94.47,92.85,93.56,141854,0
20130411,93.98,94.46,93.59,94.22,139351,0
20130412,93.97,94.09,92.83,93.58,78280,0
20130415,93.73,94.88,93.34,94.09,94317,0
20130416,94.23,95.3,93.27,94.62,94615,0
20130417,94.46,96.05,93.3,94.02,204608,0
20130418,94.11,95.1,93.24,93.91,160083,0
20130419,93.5,93.5,92.39,92.98,171967,0
20130422,93.56,94.67,92.6,94.67,159304,0
20130423,95.49,95.49,94.01,94.17,184978,0
20130424,94.81,95.89,94.29,95.29,175196,0
20130425,94.44,96.44,94.12,96.04,226644,0
20130426,96.36,96.76,95.95,96.4,144433,0
20130429,96.11,97.51,96.11,96.59,194168,0
20130430,96.98,99.18,96.37,98.94,221760,0
20130502,97.86,98.22,96.55,97.06,138946,0
20130503,97.55,98.71,97.39,98.19,129946,0
20130506,99.02,99.43,97.82,98.54,158761,0
20130507,94.76,97.2,94.68,97.08,241976,0
20130508,97.74,97.74,95.03,95.86,96389,0
20130509,95.59,95.95,94.95,95.67,39964,0
20130510,96.02,96.95,94.22,95.62,148638,0
20130513,96.03,96.03,94.26,95.55,130800,0
20130514,95.68,95.68,93.99,95.12,120940,0
20130515,96.57,97.37,93.82,95.23,222664,0
20130516,95.35,97,94.5,96.07,159157,0
20130517,95.58,97,95.58,96.23,115832,0
20130520,97.32,98.33,96.55,98.33,80028,0
20130521,98.52,99.24,97.22,97.99,140756,0
20130522,98.59,100.2,97.98,100.16,138493,0
20130523,98.87,99.28,97.66,98.99,158691,0
20130524,98.9,100.89,98.9,100.12,166150,0
20130527,100.87,102.74,100.34,101.11,178688,0
20130528,101.97,103.43,101.97,103.27,220828,0
20130529,105.13,105.29,103.65,104.39,221979,0
20130530,105.77,107.01,105.64,107.01,104969,0
20130531,107.33,108.11,105.06,106.34,119951,0
20130603,106.51,107.01,102.48,103.8,236360,0
20130604,102.94,104.61,101.42,104.24,119994,0
20130605,104.81,105.64,102.53,102.78,187343,0
20130606,102.71,102.71,99.71,102.3,364874,0
20130607,100.58,100.79,98.37,100.3,143663,0
20130610,100.77,102.7,100.77,102.58,185730,0
20130611,103.06,103.14,100.09,101.24,166006,0
20130612,101.06,103.53,100.73,102.99,186227,0
20130613,101.09,101.45,97.87,100.64,277746,0
20130614,101.35,103.6,101.02,102.83,124204,0
20130617,102.69,104.45,102.69,103.79,88908,0
20130618,104.7,104.7,103.22,104.54,79109,0
20130619,104.72,106.2,103.36,105.21,209532,0
20130620,105.24,105.78,101.76,102.85,360705,0
20130621,103.42,104.68,101.31,101.31,679107,0
20130624,100.71,101.3,96.52,96.73,351233,0
20130625,97.18,100.49,96.97,99.53,122991,0
20130626,99.79,102.1,99.21,101.85,88939,0
20130627,101.96,102.42,101.04,102.21,87054,0
20130628,101.82,102.83,100.69,101.41,94806,0
20130701,101.26,103.14,101.26,102.52,130729,0
20130702,98.37,98.75,94.27,96.24,2042187,0
20130703,95.4,95.65,92.7,94.86,559853,0
20130704,94.5,95.25,94.13,94.83,422208,0
20130705,95.66,96.62,95.04,95.24,386463,0
20130708,95.26,96.1,94.64,95.06,267450,0
20130709,96.01,96.64,95.55,96.05,274294,0
20130710,96.49,96.79,94.69,96.37,335891,0
20130711,96.55,96.88,94.34,94.42,590586,0
20130712,94.5,95.9,94.45,95.74,290743,0
20130715,96.02,96.6,94.98,95.6,144233,0
20130716,94.46,95.28,94.38,94.42,124835,0
20130717,94.29,94.7,93.6,94.13,215211,0
20130718,94.28,95.3,93.91,94.6,177785,0
20130719,94.5,94.5,93.64,94.05,227930,0
20130722,93.56,94.12,93.19,93.56,206089,0
20130723,93.76,96,93.56,94.17,252489,0
20130724,94.85,96.69,94.85,96.53,331551,0
20130725,98.15,98.77,96.02,98.56,316279,0
20130726,98.39,99.17,97.62,97.99,174254,0
20130729,97.46,98.6,97.46,97.87,143275,0
20130730,98.66,98.98,96.94,97.15,175990,0
20130731,97.53,99.01,96.96,97.33,171595,0
20130801,97.51,99.61,97.51,99.11,166604,0
20130802,98.28,99.51,98.24,98.86,198219,0
20130805,98.52,99.74,98.43,98.43,157750,0
20130806,97.7,99.48,96.68,97.45,170246,0
20130807,96.79,99.67,96.79,99.19,169739,0
20130808,98.74,99.26,97.44,98.37,240922,0
20130809,98.37,99.09,97.68,99.09,120792,0
20130812,98.78,99.18,97.72,97.97,105060,0
20130813,98.03,99.17,97.42,98.96,104759,0
20130814,101.52,102.29,97.58,98.11,392936,0
20130815,98.82,98.82,97.35,98.13,262757,0
20130816,98.28,99.5,97.74,99.17,136674,0
20130819,99.8,100.29,98.65,99.88,127237,0
20130820,98.55,99.04,96.84,99.04,140921,0
20130821,99.46,99.75,98.52,98.93,90508,0
20130822,99.49,100.68,99.25,99.94,156221,0
20130823,99.92,101.39,99.19,100.82,189127,0
20130826,101.1,101.18,99.42,100.16,109199,0
20130827,100.42,100.83,98.86,99.07,179364,0
20130828,99.19,100.14,98.78,99.56,169570,0
20130829,99.94,101.18,99.07,100.77,213141,0
20130830,100.59,101.49,99.23,99.31,122156,0
20130902,99.98,100.35,98.29,98.41,187755,0
20130903,99,100.4,98.37,98.95,198514,0
20130904,98.43,99.09,97.19,98.47,153201,0
20130905,99.14,101.01,99.14,100.22,195758,0
20130906,98.92,99.13,95.82,97.81,250157,0
20130909,97.89,99.75,97.73,99.46,139751,0
20130910,99.48,100.18,99.07,99.89,144216,0
20130911,99.07,99.23,98.05,98.5,96467,0
20130912,98.34,98.59,97.65,98.1,64079,0
20130913,97.94,98.71,97.54,98.51,40589,0
20130916,99.12,99.94,98.11,99.49,95363,0
20130917,99.59,100.41,99.23,99.92,90700,0
20130918,99.14,100.87,98.7,100.79,181248,0
20130919,102.07,102.31,99.27,100.17,150371,0
20130920,101.1,101.1,98,98.98,331435,0
20130923,99.27,100.82,99.07,99.92,84253,0
20130924,99.58,101.37,99.41,100.63,53205,0
20130925,100.97,101.79,100.36,101.75,163563,0
20130926,102,102.49,101.51,102.37,163646,0
20130927,102.35,102.84,101.25,101.33,133824,0
20130930,101.02,102.4,100.49,101.43,150746,0
20131001,100.91,100.91,99,100.46,148761,0
20131002,99.84,100.77,99.84,100.49,92437,0
20131003,100.43,101.16,99.94,100.88,73508,0
