Date,Open,High,Low,Close,Volume,OpenInt
20110812,2.3974,2.685,2.3494,2.6467,410411,0
20110816,2.5892,2.6467,2.4549,2.5796,84947,0
20110817,2.4645,2.5892,2.4549,2.5892,54117,0
20110818,2.5796,2.5987,2.522,2.5892,39476,0
20110819,2.4741,2.5412,2.4645,2.5412,21109,0
20110822,2.4933,2.5892,2.4837,2.5796,18662,0
20110823,2.5892,2.5892,2.5124,2.5892,5527,0
20110824,2.5028,2.6659,2.5028,2.6659,12032,0
20110825,2.5892,2.6659,2.5892,2.6659,3801,0
20110826,2.5892,2.6659,2.5892,2.6659,2086,0
20110829,2.5604,2.6467,2.5604,2.6467,2294,0
20110830,2.5604,2.6563,2.5604,2.6563,7874,0
20110831,2.57,2.6563,2.57,2.6563,2944,0
20110901,2.57,2.6563,2.5604,2.6563,13713,0
20110902,2.57,2.57,2.57,2.57,167,0
20110905,2.5124,2.5124,2.5028,2.5028,448,0
20110906,2.5028,2.6275,2.5028,2.6275,2023,0
20110907,2.5316,2.6467,2.5316,2.6467,5050,0
20110909,2.5028,2.6659,2.5028,2.6659,2212,0
20110912,2.5124,2.6083,2.5124,2.6083,3175,0
20110913,2.522,2.6083,2.4933,2.6083,16700,0
20110916,2.5124,2.5124,2.4933,2.4933,417,0
20110919,2.5412,2.5892,2.5412,2.5892,1032,0
20110920,2.5796,2.5892,2.5796,2.5892,11512,0
20110921,2.407,2.5892,2.407,2.5892,7588,0
20110923,2.4933,2.5892,2.4933,2.5892,11233,0
20110926,2.5987,2.6371,2.4453,2.6371,22864,0
20110927,2.6467,2.7138,2.6467,2.7138,22666,0
20110928,2.733,2.7809,2.6371,2.7138,158195,0
20110929,2.7138,2.7905,2.7138,2.7809,26395,0
20110930,2.7714,2.8289,2.7714,2.8193,208563,0
20111003,2.5508,2.733,2.5508,2.733,1616,0
20111004,2.685,2.685,2.685,2.685,184,0
20111005,2.685,2.7809,2.685,2.7809,1891,0
20111006,2.7618,2.7618,2.7618,2.7618,209,0
20111011,2.7522,2.7522,2.7522,2.7522,561,0
20111012,2.685,2.733,2.6371,2.733,4959,0
20111013,2.7522,2.7522,2.685,2.685,21117,0
20111017,2.685,2.7522,2.685,2.685,80781,0
20111018,2.685,2.733,2.6275,2.733,7119,0
20111026,2.5987,2.685,2.5987,2.685,6257,0
20111028,2.5987,2.685,2.5987,2.685,1523,0
20111031,2.685,2.685,2.685,2.685,1043,0
20111103,2.6371,2.6371,2.6371,2.6371,209,0
20111104,2.5412,2.685,2.5412,2.685,1064,0
20111107,2.685,2.685,2.685,2.685,1304,0
20111108,2.685,2.685,2.685,2.685,209,0
20111109,2.5892,2.685,2.5892,2.685,1470,0
20111110,2.5028,2.7426,2.5028,2.733,20451,0
20111114,2.7234,2.8097,2.7234,2.7809,199406,0
20111115,2.7809,2.7809,2.685,2.685,22602,0
20111116,2.7426,2.7714,2.7426,2.7618,9469,0
20111117,2.7714,2.7714,2.7618,2.7618,1989,0
20111118,2.6755,2.733,2.6755,2.733,5564,0
20111121,2.685,2.685,2.5987,2.6755,2501,0
20111122,2.6371,2.685,2.6371,2.685,4843,0
20111124,2.7618,2.7618,2.6371,2.6371,1126,0
20111128,2.7426,2.7426,2.7426,2.7426,10428,0
20111129,2.5892,2.7234,2.5892,2.7234,6778,0
20111130,2.7042,2.7618,2.7042,2.7618,1043,0
20111202,2.7618,2.7618,2.733,2.733,664,0
20111206,2.5412,2.733,2.5412,2.733,2816,0
20111209,2.7138,2.7234,2.6659,2.7234,4901,0
20111214,2.6371,2.6371,2.6083,2.6083,8906,0
20111216,2.4549,2.6659,2.4549,2.6179,3600,0
20111222,2.4165,2.6083,2.3974,2.5412,25802,0
20111223,2.4741,2.4741,2.2919,2.2919,53278,0
20111227,2.3974,2.3974,2.2919,2.2919,3163,0
20111228,2.0713,2.3494,2.0713,2.3494,7873,0
20111229,2.3015,2.3494,2.148,2.3494,8143,0
20111230,2.2343,2.3398,2.2343,2.3398,3212,0
20120102,2.3398,2.3398,2.3015,2.3015,3334,0
20120103,2.4453,2.4933,2.4453,2.4933,3181,0
20120104,2.4933,2.6467,2.4933,2.6467,574,0
20120109,2.5892,2.5892,2.3974,2.3974,9855,0
20120110,2.407,2.4645,2.3494,2.3974,4020,0
20120111,2.3494,2.359,2.3494,2.359,2505,0
20120112,2.3494,2.3494,2.3494,2.3494,42,0
20120113,2.3494,2.3494,2.3494,2.3494,4,0
20120116,2.3111,2.3111,2.3111,2.3111,187,0
20120117,2.3111,2.6275,2.3111,2.6275,17317,0
20120118,2.6467,2.6659,2.6467,2.6659,3963,0
20120119,2.6371,2.6371,2.4933,2.5892,3132,0
20120120,2.4933,2.4933,2.3686,2.4837,9907,0
20120123,2.3974,2.3974,2.3686,2.3686,1854,0
20120124,2.3782,2.4837,2.3686,2.4837,4780,0
20120125,2.4837,2.4837,2.4837,2.4837,68,0
20120126,2.4453,2.4453,2.4453,2.4453,209,0
20120127,2.3782,2.522,2.3782,2.522,5982,0
20120130,2.4837,2.4837,2.3974,2.3974,4239,0
20120131,2.4453,2.522,2.4453,2.522,4486,0
20120203,2.522,2.522,2.4645,2.4645,1960,0
20120207,2.4645,2.4741,2.4645,2.4645,2659,0
20120209,2.4645,2.4645,2.4645,2.4645,3043,0
20120210,2.4165,2.4165,2.3974,2.3974,6668,0
20120213,2.407,2.407,2.407,2.407,514,0
20120216,2.4837,2.4837,2.4165,2.4165,323,0
20120221,2.4453,2.4453,2.4453,2.4453,570,0
20120222,2.4549,2.4549,2.4453,2.4453,10908,0
20120223,2.4165,2.4165,2.4165,2.4165,215,0
20120227,2.4165,2.4165,2.3878,2.3878,1925,0
20120228,2.3878,2.3878,2.3878,2.3878,819,0
20120229,2.3878,2.3878,2.3878,2.3878,313,0
20120301,2.4933,2.5028,2.3878,2.5028,3492,0
20120302,2.5028,2.5028,2.4261,2.4261,3414,0
20120306,2.4549,2.4549,2.4549,2.4549,483,0
20120308,2.4549,2.5604,2.4453,2.5604,1366,0
20120309,2.5604,2.5604,2.5604,2.5604,2086,0
20120312,2.4453,2.5604,2.4453,2.5604,2711,0
20120313,2.5604,2.57,2.5604,2.5604,4598,0
20120314,2.6563,2.685,2.6563,2.6563,14710,0
20120315,2.685,2.733,2.685,2.733,12681,0
20120316,2.733,2.8289,2.733,2.8289,7306,0
20120319,2.7905,2.8768,2.7905,2.8672,6305,0
20120320,2.7905,2.9248,2.7618,2.8768,14647,0
20120321,2.7905,2.9344,2.7905,2.9248,15316,0
20120322,2.9344,3.0207,2.8672,2.8672,100660,0
20120323,2.8768,2.9248,2.8768,2.9248,417,0
20120326,2.7809,2.9056,2.7809,2.9056,13881,0
20120327,2.9344,2.9344,2.896,2.896,41713,0
20120328,2.8768,2.944,2.8193,2.9056,23622,0
20120329,2.9152,2.9727,2.8768,2.8768,23495,0
20120330,2.7905,2.8864,2.7809,2.8768,46405,0
20120404,2.8289,2.8289,2.8289,2.8289,21,0
20120410,2.733,2.8289,2.733,2.8289,1606,0
20120411,2.8193,2.8193,2.8193,2.8193,10,0
20120412,2.733,2.8193,2.733,2.8193,2617,0
20120413,2.733,2.8289,2.733,2.8289,2964,0
20120416,2.7426,2.8193,2.733,2.8193,2492,0
20120417,2.7426,2.7426,2.733,2.733,4205,0
20120418,2.685,2.685,2.685,2.685,3478,0
20120419,2.685,2.685,2.685,2.685,146,0
20120420,2.685,2.685,2.685,2.685,146,0
20120423,2.5604,2.7809,2.522,2.7809,14400,0
20120424,2.685,2.7618,2.5604,2.733,10628,0
20120425,2.733,2.7522,2.685,2.7522,2409,0
20120426,2.7618,2.7618,2.7618,2.7618,1518,0
20120427,2.6563,2.685,2.6563,2.685,3033,0
20120430,2.7522,2.7618,2.7522,2.7618,3749,0
20120504,2.7809,2.7809,2.7809,2.7809,6,0
20120507,2.6563,2.7426,2.6467,2.7426,2023,0
20120508,2.6467,2.6467,2.6371,2.6371,1640,0
20120509,2.6371,2.6659,2.5412,2.6659,5536,0
20120516,2.5987,2.5987,2.4933,2.4933,5847,0
20120517,2.4933,2.4933,2.3015,2.3015,9114,0
