Date,Open,High,Low,Close,Volume,OpenInt
20100630,4.4801,4.4889,4.3729,4.4086,102363513,0
20100701,4.3716,4.424,4.3279,4.4065,22021718,0
20100702,4.4152,4.4414,4.4065,4.4152,5997161,0
20100705,4.4152,4.4327,4.4065,4.4065,4974068,0
20100706,4.4152,4.4414,4.4152,4.424,4540073,0
20100707,4.4152,4.424,4.3977,4.4065,6062712,0
20100708,4.4065,4.4501,4.4065,4.4501,9800639,0
20100709,4.4501,4.4763,4.4501,4.4763,9959651,0
20100712,4.4763,4.5374,4.4677,4.5287,27076466,0
20100713,4.5374,4.5549,4.4677,4.4677,69663838,0
20100714,4.4763,4.485,4.424,4.4414,8136596,0
20100715,4.4414,4.4414,4.424,4.4327,8890977,0
20100716,4.4414,4.4677,4.4065,4.424,9362752,0
20100719,4.4152,4.4327,4.3977,4.424,2922335,0
20100720,4.4152,4.4152,4.3977,4.3977,2682149,0
20100721,4.3977,4.424,4.3891,4.4152,4230186,0
20100722,4.4065,4.4763,4.4065,4.4677,20976669,0
20100723,4.4677,4.4763,4.4501,4.4763,5962485,0
20100726,4.4589,4.4589,4.4152,4.4327,3276049,0
20100727,4.4501,4.4677,4.4327,4.4677,5973143,0
20100728,4.4414,4.4501,4.4327,4.4414,2815007,0
20100729,4.4327,4.4677,4.4327,4.4677,1985144,0
20100730,4.4501,4.4763,4.4327,4.4677,3424126,0
20100802,4.4501,4.4763,4.4414,4.4677,2382660,0
20100803,4.4589,4.4763,4.4501,4.4589,2648932,0
20100804,4.4501,4.4589,4.4327,4.4589,3272289,0
20100805,4.4414,4.4677,4.4414,4.4501,4890303,0
20100806,4.4327,4.4677,4.4327,4.4589,2932966,0
20100809,4.4414,4.4677,4.4327,4.4589,6614596,0
20100810,4.4327,4.4677,4.4327,4.4589,6012388,0
20100811,4.4414,4.4501,4.4327,4.4501,1487234,0
20100812,4.4327,4.4763,4.424,4.4763,2390659,0
20100813,4.4501,4.4501,4.4327,4.4501,1412067,0
20100816,4.4327,4.4938,4.424,4.4938,4843835,0
20100817,4.485,4.5287,4.4501,4.485,7497884,0
20100818,4.4677,4.4938,4.4501,4.4938,2217655,0
20100819,4.4677,4.485,4.4589,4.4763,1218950,0
20100820,4.4677,4.4938,4.4677,4.485,1599926,0
20100823,4.485,4.6945,4.4763,4.6508,23144290,0
20100824,4.6596,4.6945,4.616,4.6421,7116913,0
