Date,Open,High,Low,Close,Volume,OpenInt
19981112,2.4,2.4,2.4,2.4,538552,0
19981113,2.53,2.53,2.53,2.53,402337,0
19981116,2.76,2.76,2.76,2.76,120359,0
19981117,3.03,3.03,3.03,3.03,330301,0
19981118,2.76,2.76,2.76,2.76,161429,0
19981119,2.66,2.66,2.66,2.66,90360,0
19981120,2.53,2.53,2.53,2.53,100500,0
19981123,2.63,2.63,2.63,2.63,82056,0
19981124,2.49,2.49,2.49,2.49,89204,0
19981125,2.26,2.26,2.26,2.26,151183,0
19981126,2.26,2.26,2.26,2.26,103264,0
19981127,2.33,2.33,2.33,2.33,50678,0
19981130,2.1,2.1,2.1,2.1,71069,0
19981201,1.93,1.93,1.93,1.93,115447,0
19981202,2,2,2,2,164570,0
19981203,2.1,2.1,2.1,2.1,146468,0
19981204,2.1,2.1,2.1,2.1,88502,0
19981207,2.13,2.13,2.13,2.13,64892,0
19981208,2.03,2.03,2.03,2.03,56948,0
19981209,2.03,2.03,2.03,2.03,50732,0
19981210,2.1,2.1,2.1,2.1,89995,0
19981211,2.1,2.1,2.1,2.1,89037,0
19981214,2.03,2.03,2.03,2.03,41490,0
19981215,2.06,2.06,2.06,2.06,13903,0
19981216,2.03,2.03,2.03,2.03,30107,0
19981217,2.06,2.06,2.06,2.06,72410,0
19981218,2.1,2.1,2.1,2.1,19176,0
19981221,2.03,2.03,2.03,2.03,60187,0
19981222,2.1,2.1,2.1,2.1,29423,0
19981223,2.06,2.06,2.06,2.06,36788,0
19981228,2.1,2.1,2.1,2.1,54681,0
19981229,2.13,2.13,2.13,2.13,37443,0
19981230,2.1,2.1,2.1,2.1,90088,0
19981231,2.13,2.13,2.13,2.13,128240,0
19990104,2.2,2.2,2.2,2.2,52347,0
19990105,2.16,2.16,2.16,2.16,28330,0
19990106,2.16,2.16,2.16,2.16,66193,0
19990107,2.23,2.23,2.23,2.23,87826,0
19990108,2.23,2.23,2.23,2.23,56052,0
19990111,2.2,2.2,2.2,2.2,131742,0
19990112,2.23,2.23,2.23,2.23,69293,0
19990113,2.23,2.23,2.23,2.23,93977,0
19990114,2.2,2.2,2.2,2.2,112961,0
19990115,2.2,2.2,2.2,2.2,112244,0
19990118,2.3,2.3,2.3,2.3,40899,0
19990119,2.33,2.33,2.33,2.33,85977,0
19990120,2.33,2.33,2.33,2.33,38995,0
19990121,2.4,2.4,2.4,2.4,66291,0
19990122,2.43,2.43,2.43,2.43,83497,0
19990125,2.43,2.43,2.43,2.43,90422,0
19990126,2.53,2.53,2.53,2.53,59991,0
19990127,2.66,2.66,2.66,2.66,71523,0
19990128,2.59,2.59,2.59,2.59,32449,0
19990129,2.66,2.66,2.66,2.66,54027,0
19990201,2.69,2.69,2.69,2.69,28758,0
19990202,2.63,2.63,2.63,2.63,112172,0
19990203,2.63,2.63,2.63,2.63,67188,0
19990204,2.63,2.63,2.63,2.63,205433,0
19990205,2.66,2.66,2.66,2.66,115028,0
19990208,2.66,2.66,2.66,2.66,15094,0
19990209,2.69,2.69,2.69,2.69,47692,0
19990210,2.69,2.69,2.69,2.69,69357,0
19990211,2.76,2.76,2.76,2.76,56643,0
19990212,2.76,2.76,2.76,2.76,52261,0
19990215,2.79,2.79,2.79,2.79,18446,0
19990216,2.83,2.83,2.83,2.83,23290,0
19990217,2.89,2.89,2.89,2.89,21587,0
19990218,2.96,2.96,2.96,2.96,43761,0
19990219,3.03,3.03,3.03,3.03,100853,0
19990222,3.06,3.06,3.06,3.06,94177,0
19990223,3.13,3.13,3.13,3.13,107805,0
19990224,2.99,2.99,2.99,2.99,86509,0
19990225,2.99,2.99,2.99,2.99,254561,0
19990226,2.99,2.99,2.99,2.99,51920,0
19990301,2.99,2.99,2.99,2.99,65434,0
19990302,3.09,3.09,3.09,3.09,33861,0
19990303,3.13,3.13,3.13,3.13,24019,0
19990304,3.09,3.09,3.09,3.09,15987,0
19990305,3.09,3.09,3.09,3.09,28183,0
19990308,3.09,3.09,3.09,3.09,56358,0
19990309,3.09,3.09,3.09,3.09,64175,0
19990310,3.09,3.09,3.09,3.09,58245,0
19990311,3.06,3.06,3.06,3.06,41415,0
19990312,3.03,3.03,3.03,3.03,15760,0
19990315,3.06,3.06,3.06,3.06,44355,0
19990316,3.06,3.06,3.06,3.06,31715,0
19990317,3.09,3.09,3.09,3.09,13748,0
19990318,3.09,3.09,3.09,3.09,14802,0
19990319,3.06,3.06,3.06,3.06,22352,0
19990322,3.03,3.03,3.03,3.03,6869,0
19990323,3.03,3.03,3.03,3.03,15031,0
19990324,2.96,2.96,2.96,2.96,21279,0
19990325,2.89,2.89,2.89,2.89,26768,0
19990326,3.09,3.09,3.09,3.09,36298,0
19990329,3.13,3.13,3.13,3.13,24272,0
19990330,3.19,3.19,3.19,3.19,40026,0
19990331,3.19,3.19,3.19,3.19,27969,0
19990401,3.39,3.39,3.39,3.39,60582,0
19990406,3.46,3.46,3.46,3.46,30341,0
19990407,3.79,3.79,3.79,3.79,26005,0
19990408,3.79,3.79,3.79,3.79,39979,0
19990409,3.99,3.99,3.99,3.99,81899,0
19990412,4.12,4.12,4.12,4.12,27476,0
19990413,4.12,4.12,4.12,4.12,31685,0
19990414,4.12,4.12,4.12,4.12,39713,0
19990415,4.32,4.32,4.32,4.32,29707,0
19990416,4.29,4.29,4.29,4.29,35046,0
19990419,4.26,4.26,4.26,4.26,33616,0
19990420,4.29,4.29,4.29,4.29,20812,0
19990421,4.39,4.39,4.39,4.39,45811,0
19990422,4.82,4.82,4.82,4.82,55744,0
19990423,5.29,5.29,5.29,5.29,138745,0
19990426,5.29,5.29,5.29,5.29,126354,0
19990427,5.32,5.32,5.32,5.32,88776,0
19990428,5.32,5.32,5.32,5.32,71377,0
19990429,5.19,5.19,5.19,5.19,28739,0
19990430,5.32,5.32,5.32,5.32,37213,0
19990504,5.46,5.46,5.46,5.46,60205,0
19990505,4.92,4.92,4.92,4.92,43648,0
19990506,5.06,5.06,5.06,5.06,16750,0
19990507,5.22,5.22,5.22,5.22,21629,0
19990510,5.19,5.19,5.19,5.19,8853,0
19990511,5.19,5.19,5.19,5.19,1984,0
19990512,5.29,5.29,5.29,5.29,5483,0
19990513,5.19,5.19,5.19,5.19,11121,0
19990514,5.19,5.19,5.19,5.19,16317,0
19990517,5.26,5.26,5.26,5.26,45700,0
19990518,5.19,5.19,5.19,5.19,11253,0
