Date,Open,High,Low,Close,Volume,OpenInt
20080401,4.378,4.9034,4.3002,4.7867,1700581,0
20080402,4.9326,4.9423,4.6602,4.6699,422107,0
20080403,4.8061,4.8061,4.6018,4.6699,193554,0
20080404,4.7186,4.7186,4.5434,4.6699,72539,0
20080407,4.6602,4.7672,4.5337,4.5726,261533,0
20080408,4.5434,4.5434,4.3975,4.4364,114734,0
20080409,4.4364,4.7478,4.3878,4.6018,3081887,0
20080410,4.7088,4.7575,4.5824,4.7186,34393,0
20080411,4.8645,5.2439,4.8645,4.9618,1054334,0
20080414,4.9131,5.0007,4.7672,4.991,118857,0
20080415,5.0591,5.1466,4.8645,4.8645,356447,0
20080416,4.9618,4.9715,4.7672,4.7672,180391,0
20080417,4.845,4.8645,4.7186,4.7964,63650,0
20080418,4.7964,4.8645,4.631,4.7867,150356,0
20080421,4.9034,4.9034,4.7186,4.738,47892,0
20080422,4.7672,4.7672,4.524,4.5629,226660,0
20080423,4.5532,4.6115,4.4559,4.4948,124089,0
20080424,4.5337,4.631,4.4753,4.5532,77685,0
20080425,4.6796,4.6796,4.4851,4.6796,121964,0
20080428,4.7575,4.8256,4.6796,4.7672,101185,0
20080429,4.738,4.7575,4.6796,4.7088,11854,0
20080430,4.6505,4.7283,4.6505,4.7283,74320,0
20080505,4.8645,4.8645,4.6699,4.7478,29704,0
20080506,4.7283,4.738,4.6699,4.738,43066,0
20080507,4.738,4.7575,4.6796,4.7478,68375,0
20080508,4.6699,4.7575,4.6407,4.6796,28164,0
20080509,4.6699,4.6796,4.5629,4.6018,266967,0
20080512,4.6699,4.7088,4.5726,4.6699,34328,0
20080513,4.6796,4.6991,4.6213,4.6796,46206,0
20080514,4.845,4.845,4.6407,4.6602,53969,0
20080515,4.6407,4.7478,4.6213,4.7088,450296,0
20080516,4.8353,5.0202,4.8061,5.0202,641540,0
20080519,5.0591,5.2537,5.0591,5.2439,418054,0
20080520,5.2439,5.4288,5.1564,5.2342,812496,0
20080521,5.2342,5.2731,5.0396,5.2537,377557,0
20080523,5.3509,5.4482,5.2537,5.3509,90761,0
20080526,5.3899,5.3899,5.1758,5.2147,27362,0
20080527,5.0104,5.2245,5.0104,5.1564,37851,0
20080528,5.1856,5.3023,5.0688,5.2828,81431,0
20080529,5.2828,5.3412,5.1272,5.312,24861,0
20080530,5.3023,5.3218,5.205,5.2439,418754,0
20080602,5.1758,5.2537,5.1564,5.1661,23211,0
20080603,5.2342,5.3899,5.1077,5.3509,873575,0
20080604,5.3996,5.5844,5.3412,5.3412,56673,0
20080605,5.3996,5.3996,5.2537,5.3315,19105,0
20080606,5.3509,5.4385,5.2926,5.3509,996917,0
20080609,5.2245,5.2439,5.1077,5.2342,111317,0
20080610,5.1564,5.312,5.0688,5.1077,186269,0
20080611,5.1953,5.205,4.9423,5.0883,624766,0
20080612,4.9715,5.0688,4.9521,4.9715,578357,0
20080613,4.9423,4.9618,4.8645,4.9131,439040,0
20080616,5.0202,5.0202,4.9131,4.9715,105676,0
20080617,4.9423,5.0202,4.9423,5.0104,260725,0
20080618,5.0493,5.1077,4.9034,4.9034,187008,0
20080619,5.0007,5.1077,4.9034,5.0688,157997,0
20080620,5.1369,5.1369,4.9715,5.0104,257290,0
20080623,5.0104,5.0104,4.6796,4.7186,541151,0
20080624,4.7186,4.8742,4.6894,4.7478,249689,0
20080625,4.8159,4.9229,4.7478,4.8645,254762,0
20080626,4.884,4.9812,4.8645,4.9812,315530,0
20080627,4.8645,4.8742,4.7769,4.8548,211250,0
20080630,4.8548,4.9034,4.7769,4.8159,343084,0
20080701,4.9034,4.9034,4.6991,4.7186,176064,0
20080702,4.6894,4.8353,4.631,4.6407,67379,0
20080703,4.524,4.6213,4.378,4.378,722877,0
20080704,4.4559,4.4559,4.0862,4.2808,6660968,0
20080707,4.2808,4.2905,4.1056,4.2224,37149,0
20080708,4.1348,4.2613,3.9305,4.0375,104080,0
20080709,4.0473,4.2029,4.0375,4.1835,24445,0
20080710,4.1446,4.3489,3.9111,4.0862,1126356,0
20080711,4.1251,4.1251,3.9889,4.0667,63941,0
20080714,4.164,4.164,3.8138,3.8624,125011,0
20080715,3.8624,3.9013,3.7165,3.7359,1269128,0
20080716,3.697,3.8916,3.697,3.843,60002,0
20080717,3.95,4.1737,3.95,4.164,79049,0
20080718,4.1737,4.1835,4.0862,4.1543,22930,0
20080721,4.1543,4.4656,4.1543,4.417,45499,0
20080722,4.378,4.4072,4.3002,4.3099,29379,0
20080723,4.3975,4.738,4.3975,4.738,221524,0
20080724,4.7478,4.7769,4.5824,4.6699,123572,0
20080725,4.5726,4.9812,4.4851,4.9229,297820,0
20080728,4.9131,5.1466,4.8937,4.9715,1069584,0
20080729,4.9521,4.9715,4.9034,4.9715,196590,0
20080730,5.098,5.1953,4.9131,4.9715,764211,0
20080731,4.9715,4.9715,4.7769,4.845,121768,0
20080801,4.8645,4.9715,4.7769,4.9618,34375,0
20080804,4.9131,4.9131,4.7283,4.845,49368,0
20080805,4.845,4.9131,4.7672,4.9131,739126,0
20080806,5.0007,5.0007,4.8256,4.8256,208686,0
20080807,4.8159,4.8645,4.7478,4.8256,873548,0
20080808,4.8256,4.8937,4.7867,4.8645,9316,0
20080811,4.8645,5.0493,4.8645,4.9618,894152,0
20080812,5.0007,5.0591,4.9618,4.9618,462492,0
20080813,5.0396,5.0396,4.9423,5.0007,42909,0
20080814,5.1077,5.1564,5.0591,5.098,854642,0
20080818,5.1077,5.1856,5.0202,5.1661,234524,0
20080819,5.1077,5.1369,4.9423,5.0104,97618,0
20080820,5.0591,5.0591,4.9715,5.0591,50809,0
20080821,5.1466,5.1466,5.0104,5.0299,10823,0
20080822,5.0299,5.1077,5.0104,5.098,169424,0
20080825,5.098,5.1369,5.0883,5.098,14838,0
20080826,5.1077,5.1077,5.0883,5.1077,58943,0
20080827,5.0396,5.1077,5.0396,5.0785,240407,0
20080828,5.0785,5.0883,4.991,5.0883,44373,0
20080829,5.0591,5.1272,5.0299,5.098,49716,0
20080901,5.1272,5.1272,5.0299,5.0591,136428,0
20080902,5.1272,5.2926,5.1272,5.2147,216891,0
20080903,5.1856,5.2537,5.1661,5.1758,141039,0
20080904,5.2439,5.6915,5.2439,5.4482,510845,0
20080905,5.2926,5.3996,5.2537,5.2537,262293,0
20080908,5.3899,5.4872,5.2342,5.2537,61729,0
20080909,5.3509,5.3509,5.1466,5.1758,31880,0
20080910,5.1272,5.1564,5.0688,5.1466,139694,0
20080911,5.098,5.3509,5.0883,5.3315,61887,0
20080912,5.3218,5.5358,5.3023,5.4677,647155,0
20080915,5.3509,5.3509,5.1758,5.2245,97378,0
20080916,5.1564,5.2342,4.884,4.9034,227886,0
20080917,5.0591,5.1077,4.7575,4.8159,233050,0
20080918,4.6115,4.8645,4.4753,4.7575,792556,0
20080919,4.9715,5.0493,4.8645,5.0299,114685,0
20080922,5.0591,5.2147,4.991,4.991,48328,0
20080923,4.9131,4.9131,4.7964,4.8645,84585,0
20080924,4.9326,4.9326,4.8256,4.9131,33749,0
20080925,4.8645,4.991,4.8645,4.9715,83796,0
20080926,4.9618,4.9618,4.845,4.8742,35887,0
20080929,4.8645,4.9034,4.7672,4.8256,79277,0
20080930,4.6796,5.1272,4.6699,5.0104,284369,0
20081001,5.0493,5.1466,4.9326,4.9618,23572,0
20081002,5.0007,5.0104,4.9034,4.9326,12584,0
20081003,5.0202,5.0202,4.7964,4.9229,75713,0
20081006,4.8061,4.9131,4.7283,4.8061,126167,0
20081007,4.8645,4.9131,4.6213,4.8645,128032,0
20081008,4.6505,4.8159,4.5726,4.7186,132547,0
20081009,4.7672,4.7867,4.5824,4.6699,72660,0
20081010,4.3878,4.524,4.1154,4.2029,1143855,0
20081013,4.378,4.6407,4.378,4.5726,405408,0
20081014,4.8645,4.9131,4.6602,4.6602,123018,0
20081015,4.6602,4.7186,4.4948,4.5726,99577,0
20081016,4.4072,4.6699,4.2808,4.5726,1081209,0
20081017,4.7964,4.7964,4.3975,4.5434,143858,0
20081020,4.6602,4.7088,4.6505,4.6699,675270,0
20081021,4.7478,4.7478,4.6213,4.6213,51874,0
20081022,4.5726,4.6991,4.4656,4.524,45581,0
20081023,4.4267,4.5824,4.2029,4.4753,388899,0
20081024,4.4948,4.5143,4.3878,4.4364,428780,0
20081027,4.5629,4.5629,4.3586,4.4462,215138,0
20081028,4.5629,4.5921,4.4072,4.4656,226465,0
20081029,4.6213,4.6213,4.4753,4.4753,249916,0
20081030,4.5629,4.6018,4.4753,4.4948,74754,0
20081031,4.4948,4.5143,4.4364,4.5143,41315,0
20081103,4.5726,4.738,4.5629,4.6699,84738,0
20081104,4.7186,4.7478,4.6796,4.7088,107399,0
20081105,4.738,4.7478,4.631,4.7186,72689,0
20081106,4.6505,4.6505,4.5921,4.6115,33122,0
20081107,4.6018,4.6407,4.4753,4.524,55014,0
20081110,4.5337,4.6213,4.524,4.5629,7838,0
20081112,4.5532,4.5726,4.3391,4.3391,281592,0
20081113,4.2808,4.4851,4.2808,4.3489,242517,0
20081114,4.5434,4.5434,4.4267,4.4851,100855,0
20081117,4.5532,4.6602,4.378,4.378,399964,0
20081118,4.4656,4.4753,4.3391,4.4656,207060,0
20081119,4.5532,4.5532,4.4267,4.4364,47598,0
20081120,4.3586,4.3683,4.2808,4.3197,175840,0
20081121,4.3489,4.4559,4.2808,4.2808,166750,0
20081124,4.4656,4.4656,4.1348,4.3683,4486875,0
20081125,4.378,4.4364,4.3294,4.378,119725,0
20081126,4.378,4.4072,4.3586,4.3683,94016,0
20081127,4.3586,4.417,4.3586,4.3683,170079,0
20081128,4.378,4.378,4.3197,4.3197,102293,0
20081201,4.2808,4.2808,4.1543,4.1932,119360,0
20081202,4.1543,4.2418,4.0083,4.1446,77182,0
20081203,4.1446,4.2516,4.1154,4.1446,61263,0
20081204,4.1835,4.1835,4.1056,4.1348,43767,0
20081205,4.1348,4.164,4.0862,4.164,10356,0
20081208,4.1835,4.271,4.1348,4.164,210525,0
20081209,4.1932,4.1932,4.057,4.1251,126198,0
20081210,4.1348,4.1835,4.0667,4.0862,125581,0
20081211,4.1251,4.1251,4.0375,4.0862,294893,0
20081212,4.0083,4.0764,3.9889,3.9889,69294,0
20081215,4.0083,4.0375,3.9694,3.9889,15205,0
20081216,3.9889,3.9986,3.95,3.95,53206,0
20081217,3.9305,4.1348,3.9305,4.0862,87851,0
20081218,4.0862,4.0862,3.9889,4.0278,98956,0
20081219,3.9986,3.9986,3.9402,3.9597,253259,0
20081222,3.9597,3.9694,3.8916,3.9402,82928,0
20081223,3.9013,3.9597,3.8916,3.9305,87291,0
20081229,3.9402,3.9402,3.9111,3.9305,73130,0
20081230,3.9305,3.9402,3.8721,3.8721,253574,0
20081231,3.8916,3.9402,3.8916,3.9305,10858,0
20090105,3.9402,4.1348,3.9111,4.0667,586186,0
20090106,4.1154,4.3099,4.0667,4.1835,156404,0
20090107,4.3099,4.3099,4.1056,4.1056,85845,0
20090108,4.1056,4.1446,4.0667,4.0667,129472,0
20090109,4.0862,4.0862,3.9792,4.0083,148094,0
20090112,4.0083,4.0083,3.9402,3.95,34240,0
20090113,3.9402,3.9402,3.8527,3.8916,646308,0
20090114,3.8819,3.8916,3.8235,3.8332,380489,0
20090115,3.843,3.8916,3.7067,3.8721,113488,0
20090116,3.8819,3.9111,3.8332,3.843,34164,0
20090119,3.8138,3.9111,3.8138,3.8332,582179,0
20090120,3.7943,3.843,3.7943,3.7943,9780,0
20090121,3.7943,3.7943,3.7457,3.7554,238851,0
20090122,3.7457,3.7749,3.5316,3.59,100612,0
20090123,3.6386,3.6386,3.3273,3.3565,172473,0
20090126,3.3176,3.3176,3.0549,3.3079,635255,0
20090127,3.3662,3.697,3.3662,3.5024,1361567,0
20090128,3.5997,3.5997,3.5511,3.5803,240129,0
20090129,3.5997,3.7262,3.5024,3.6095,668192,0
20090130,3.5414,3.7359,3.5414,3.6484,68500,0
20090202,3.7067,3.8138,3.5997,3.697,68056,0
20090203,3.6484,3.6581,3.5997,3.5997,169928,0
20090204,3.6095,3.6581,3.3565,3.4149,191478,0
20090205,3.4246,3.4246,3.3273,3.3857,125321,0
20090206,3.4051,3.5219,3.2884,3.4733,158100,0
20090209,3.4538,3.4733,3.3565,3.4149,338228,0
20090210,3.3954,3.5316,3.3662,3.5122,89966,0
20090211,3.4538,3.5122,3.3954,3.5122,20321,0
20090212,3.4733,3.4927,3.4051,3.4051,7014,0
20090213,3.5219,3.5219,3.4149,3.483,8481,0
20090216,3.483,3.5316,3.4149,3.4149,19131,0
20090217,3.4149,3.5024,3.3565,3.4149,43252,0
20090218,3.4343,3.4343,3.2106,3.3079,116373,0
20090219,3.3079,3.4538,3.2592,3.4538,27122,0
20090220,3.4441,3.4441,3.3565,3.4051,5502,0
20090223,3.4538,3.4538,3.3273,3.3954,26315,0
20090224,3.337,3.4246,3.3176,3.3273,15302,0
20090225,3.4051,3.4051,3.3273,3.3954,9253,0
20090226,3.4051,3.4051,3.2592,3.3273,41920,0
20090227,3.4246,3.4246,3.3273,3.337,20366,0
20090302,3.3079,3.3857,3.1327,3.3079,121880,0
20090303,3.3079,3.4538,3.3079,3.4246,140317,0
20090304,3.4051,3.483,3.3662,3.483,43390,0
20090305,3.483,3.6289,3.483,3.5024,736452,0
20090306,3.483,3.7846,3.4051,3.7749,89444,0
20090309,3.7846,3.8624,3.697,3.7749,259412,0
20090310,3.8332,3.8332,3.7067,3.7943,138211,0
20090311,3.8332,3.8819,3.7554,3.8721,47245,0
20090312,3.843,3.843,3.7067,3.7359,24097,0
20090313,3.8235,3.8235,3.6386,3.6678,48981,0
20090316,3.6484,3.6678,3.5219,3.6484,50329,0
20090317,3.6386,3.8235,3.5511,3.804,98399,0
20090318,3.8624,4.1056,3.8624,4.0473,193377,0
20090319,4.1154,4.1154,3.843,3.8721,307831,0
20090320,3.7651,3.9305,3.7651,3.8916,86435,0
20090323,3.9305,3.9305,3.7457,3.7846,107480,0
20090324,3.843,3.9305,3.7554,3.8916,142323,0
20090325,3.9013,3.95,3.8527,3.9013,129532,0
20090326,3.9402,3.9402,3.8332,3.843,240932,0
20090327,3.8819,3.8819,3.7846,3.8819,68922,0
20090330,3.8916,3.8916,3.697,3.7067,77747,0
20090331,3.7067,3.8138,3.7067,3.7943,12889,0
20090401,3.8624,3.8624,3.7457,3.7846,4946,0
20090402,3.804,3.8916,3.7943,3.8819,105079,0
20090403,3.8721,4.0083,3.8332,3.8721,218604,0
20090406,3.8916,3.9986,3.8527,3.8721,90369,0
20090407,3.8527,4.0278,3.8332,4.0083,99777,0
20090408,3.8527,3.9208,3.8235,3.9208,269891,0
20090409,3.95,3.9694,3.8721,3.9305,366857,0
20090414,3.9305,3.9597,3.8819,3.8916,114339,0
20090415,3.8916,3.9597,3.8916,3.9597,197109,0
20090416,3.9597,4.1056,3.9305,3.9792,255528,0
20090417,4.0083,4.1543,3.9597,4.0473,210947,0
20090420,4.1251,4.1251,3.9305,3.9986,137317,0
20090421,3.9694,4.0278,3.9402,4.0181,429951,0
20090422,4.0375,4.0764,3.9694,3.9889,99914,0
20090423,3.9986,4.0278,3.9694,3.9889,300304,0
20090424,3.9889,4.2127,3.9402,4.1835,1382871,0
20090427,4.2321,4.3975,4.164,4.1932,743389,0
20090428,4.1835,4.1835,4.0473,4.1154,271560,0
20090429,4.1154,4.2224,4.0764,4.1543,187232,0
20090430,4.1835,4.2224,4.1543,4.2224,299442,0
20090504,4.271,4.3586,4.2321,4.2516,159692,0
20090505,4.2808,4.2808,4.1348,4.1835,154532,0
20090506,4.1835,4.2321,4.0959,4.2321,256692,0
20090507,4.2808,4.2808,4.1348,4.1446,130612,0
20090508,4.1154,4.1348,3.9889,4.057,159033,0
20090511,4.0083,4.0181,3.9013,3.9694,111451,0
20090512,3.9889,4.1251,3.9305,4.1251,141769,0
20090513,4.1056,4.1251,4.0278,4.0667,31305,0
20090514,3.9597,4.1056,3.9597,4.0667,19122,0
20090515,3.9597,3.9889,3.8916,3.9208,138218,0
20090518,3.9305,4.1056,3.8916,4.1056,118950,0
20090519,3.9986,4.0959,3.9305,4.057,67774,0
20090520,4.057,4.0764,3.9889,4.057,38208,0
20090521,3.9889,4.1737,3.9889,4.1737,87282,0
20090522,4.0862,4.2613,4.0764,4.2127,171358,0
20090525,4.2613,4.271,4.1056,4.1251,248341,0
20090526,4.164,4.164,4.0181,4.0862,32880,0
20090527,4.164,4.164,4.0375,4.0375,165818,0
20090528,4.0278,4.0278,3.9694,3.9694,22453,0
20090529,3.99,4.04,3.83,3.83,561525,0
20090601,3.7943,3.8721,3.7067,3.8721,558746,0
20090602,3.8721,3.8721,3.7554,3.7651,276757,0
20090603,3.8138,3.8138,3.7067,3.7262,99403,0
20090604,3.7359,3.8624,3.7262,3.7651,238162,0
20090605,3.7651,3.8138,3.7262,3.7359,219339,0
20090608,3.7457,3.7943,3.697,3.7067,96776,0
20090609,3.7067,3.7359,3.6678,3.697,60210,0
20090610,3.7067,4.0375,3.7067,4.0375,452016,0
20090612,3.9305,3.9694,3.8916,3.8916,247957,0
20090615,3.9013,3.9013,3.7457,3.8235,44503,0
20090616,3.7165,3.7457,3.6776,3.697,257714,0
20090617,3.6873,3.697,3.5414,3.5511,359065,0
20090618,3.5511,3.5608,3.4635,3.5122,192161,0
20090619,3.5219,3.6678,3.5219,3.6386,34767,0
20090622,3.6386,3.6484,3.483,3.483,59877,0
20090623,3.4343,3.5122,3.3954,3.4441,207988,0
20090624,3.4733,3.5414,3.4441,3.4635,131115,0
20090625,3.483,3.5024,3.337,3.4441,91952,0
20090626,3.483,3.483,3.3857,3.3954,76100,0
20090629,3.4538,3.4538,3.3857,3.4051,60648,0
20090630,3.4051,3.4246,3.3857,3.3857,182893,0
20090701,3.3662,3.4246,3.3079,3.4051,1368541,0
20090702,3.4441,3.5024,3.3468,3.5024,416120,0
20090703,3.5511,3.7457,3.4051,3.5803,4525127,0
20090706,3.6289,3.6289,3.4051,3.4051,357848,0
20090707,3.4246,3.483,3.4051,3.4051,121246,0
20090708,3.4246,3.5024,3.3662,3.4927,129385,0
20090709,3.5316,3.5997,3.5316,3.5608,109691,0
20090710,3.59,3.5997,3.5219,3.5608,109716,0
20090713,3.5316,3.5316,3.5024,3.5024,240795,0
20090714,3.5316,3.5608,3.5024,3.5608,61179,0
20090715,3.5803,3.6386,3.5608,3.6386,178219,0
20090716,3.6484,3.7262,3.6386,3.6873,425332,0
20090717,3.697,3.7457,3.6776,3.6776,80500,0
20090720,3.68,3.7,3.61,3.64,121901,0
20090721,3.66,3.67,3.62,3.64,21598,0
20090722,3.69,3.69,3.57,3.6,291402,0
20090723,3.6,3.6,3.56,3.56,536834,0
20090724,3.6,3.65,3.56,3.6,131750,0
20090727,3.61,3.65,3.59,3.59,110662,0
20090728,3.65,3.68,3.59,3.65,56730,0
20090729,3.68,3.74,3.66,3.7,334355,0
20090730,3.74,3.74,3.7,3.7,277932,0
20090731,3.74,3.79,3.73,3.78,696582,0
20090803,3.79,4.15,3.78,4.02,1214191,0
20090804,4.11,4.11,4,4.03,1205732,0
20090805,4.05,4.1,3.93,3.95,489776,0
20090806,4.02,4.04,3.96,4,540437,0
20090807,4.03,4.03,3.94,3.96,184882,0
20090810,3.97,3.98,3.87,3.9,162932,0
20090811,3.88,3.97,3.87,3.9,254113,0
20090812,3.9,3.9,3.83,3.9,89462,0
20090813,3.95,4.02,3.86,3.9,314493,0
20090814,3.9,3.93,3.84,3.86,197706,0
20090817,3.84,3.84,3.68,3.73,211024,0
20090818,3.73,3.83,3.68,3.83,218564,0
20090819,3.8,3.84,3.76,3.84,29996,0
20090820,3.91,3.99,3.85,3.93,174603,0
20090821,3.9,3.95,3.87,3.93,144571,0
20090824,4.03,4.15,4.01,4.1,817940,0
20090825,4.15,4.15,4.05,4.1,251896,0
20090826,4.12,4.12,3.95,3.97,326015,0
20090827,3.98,4.08,3.75,3.75,591912,0
20090828,3.85,4.06,3.85,4.03,404268,0
20090831,4.05,4.11,4,4.07,198633,0
20090901,4.06,4.07,3.9,4,133343,0
20090902,3.82,3.95,3.81,3.88,173921,0
20090903,3.9,3.97,3.89,3.91,57322,0
20090904,4,4.05,3.98,4.01,173010,0
20090907,4.01,4.07,3.99,4.02,169278,0
20090908,4.03,4.05,3.97,3.99,140685,0
20090909,3.98,4,3.91,3.97,31882,0
20090910,3.98,4,3.9,3.9,100720,0
20090911,3.95,3.98,3.89,3.9,77954,0
20090914,3.89,3.89,3.68,3.76,118595,0
20090915,3.87,3.87,3.78,3.86,46584,0
20090916,3.88,3.98,3.8,3.95,91270,0
20090917,3.95,3.98,3.87,3.91,93324,0
20090918,3.9,3.93,3.85,3.92,47979,0
20090921,3.93,3.97,3.84,3.93,53421,0
20090922,3.9,3.95,3.89,3.94,594627,0
20090923,3.95,4,3.95,3.96,58981,0
20090924,3.9,3.96,3.9,3.9,21725,0
20090925,3.96,3.99,3.9,3.9,66334,0
20090928,3.95,3.97,3.9,3.96,52175,0
20090929,3.97,3.97,3.89,3.89,46669,0
20090930,3.95,3.98,3.85,3.92,121780,0
20091001,3.9,3.9,3.85,3.86,37390,0
20091002,3.83,3.84,3.7,3.75,119212,0
20091005,3.78,3.84,3.71,3.84,19461,0
20091006,3.85,3.9,3.77,3.89,22836,0
20091007,3.9,3.9,3.83,3.84,22877,0
20091008,3.84,3.89,3.84,3.84,21196,0
20091009,3.87,3.88,3.83,3.88,17014,0
20091012,3.88,3.89,3.84,3.85,12874,0
20091013,3.83,3.84,3.78,3.82,29623,0
20091014,3.82,3.88,3.8,3.8,45629,0
20091015,3.85,3.87,3.8,3.81,23561,0
20091016,3.84,3.84,3.73,3.73,63030,0
