Date,Open,High,Low,Close,Volume,OpenInt
20090708,10,10.35,10,10.15,141308,0
20090709,10.5,11.9,10.11,10.65,35590,0
20090710,11.05,11.4,10.7,11,2606,0
20090713,12,13.01,11.45,11.75,27929,0
20090714,11.7,11.75,11.25,11.6,2294,0
20090715,11.3,11.51,11,11.51,561,0
20090716,11,11.65,10.9,11.65,515,0
20090717,11.6,11.6,11.4,11.6,150,0
20090720,11.01,11.55,11.01,11.55,225,0
20090721,11.01,11.6,11.01,11.6,110,0
20090722,11.01,11.6,11.01,11.6,878,0
20090723,11.04,11.65,10.9,11.05,38670,0
20090724,11.58,11.58,10.9,11,28400,0
20090727,10.99,11,10.99,11,4756,0
20090728,11,11,11,11,18744,0
20090729,11,11.5,11,11.5,755,0
20090730,11.05,11.55,10.99,10.99,5670,0
20090731,10.99,11,10.99,10.99,11555,0
20090804,10.81,11,10.8,11,1131,0
20090805,10.95,11.51,10.95,11.51,1350,0
20090807,11,11,10.9,10.9,34988,0
20090810,10.95,10.96,10.9,10.9,2360,0
20090811,10.95,10.95,10.95,10.95,3318,0
20090812,10.95,10.95,10.95,10.95,430,0
20090813,11.6,11.8,11.6,11.8,402,0
20090814,11.8,11.8,11.44,11.8,249,0
20090817,11.8,11.8,11.25,11.5,322,0
20090818,11.5,11.5,11.5,11.5,167,0
20090819,11.5,11.5,11.5,11.5,19661,0
20090820,11.5,11.5,11.2,11.3,777,0
20090821,11.3,11.7,11.3,11.5,71,0
20090824,12.07,12.1,11.7,12.05,2187,0
20090825,12.05,12.05,11.65,12.05,1686,0
20090826,12.05,12.64,12.05,12.25,1631,0
20090827,13.78,13.78,12,12,8949,0
20090828,12,12.95,12,12.95,122,0
20090831,12.9,12.9,12.9,12.9,41,0
20090901,12.2,12.4,12.2,12.4,760,0
20090902,12.2,12.2,12.2,12.2,276,0
20090903,12.2,12.2,12.2,12.2,5,0
20090904,12.2,12.2,11.8,11.8,750,0
20090907,11.8,11.8,11.59,11.6,79043,0
20090908,11.6,12.35,11.59,12.22,42469,0
20090909,12.3,12.5,12.3,12.4,3100,0
20090910,12.4,12.5,12,12.2,4792,0
20090911,12.5,13.3,12.21,13.2,39291,0
20090914,13,13,12.5,12.5,2155,0
20090915,13,13,12.45,12.45,2337,0
20090916,13.2,13.2,12.11,12.11,1549,0
20090917,12.4,12.95,12.4,12.8,1242,0
20090918,12.79,12.79,12.5,12.71,108,0
20090921,12.6,13.4,12.6,13.3,4501,0
20090922,13.65,13.7,13.65,13.7,1010,0
20090923,13.3,13.4,13.1,13.4,3650,0
20090924,13.33,13.9,13.1,13.9,11200,0
20090925,13.9,16,13.9,16,20224,0
20090928,15.85,15.85,15.1,15.8,540,0
20090929,15,15.6,15,15.6,60,0
20090930,14.9,15.4,14.85,15.4,2010,0
20091001,15.4,15.4,14.75,15.4,3283,0
20091002,15.95,15.95,15.95,15.95,1,0
20091005,15.75,15.75,15.7,15.7,55,0
20091006,14.9,15,14.56,15,4340,0
20091007,15,15,15,15,522,0
20091008,14.7,14.7,14.7,14.7,50,0
20091009,15,15,14.5,15,1085,0
20091012,14.5,14.5,14.5,14.5,2000,0
20091013,15,15,14.35,14.49,1589,0
20091014,14.3,14.3,14.01,14.3,2556,0
20091015,14.5,14.5,14,14.3,5510,0
20091016,15,15,14.8,14.8,1501,0
20091019,14.79,14.79,14.05,14.1,8326,0
20091020,14.06,14.75,14.06,14.5,410,0
