Date,Open,High,Low,Close,Volume,OpenInt
19870102,11.119,11.289,10.95,11.119,0,0
19870105,11.289,11.416,11.289,11.289,0,0
19870107,11.586,11.67,11.289,11.289,0,0
19870108,11.119,11.119,10.779,10.821,0,0
19870109,10.821,10.906,10.821,10.821,0,0
19870112,10.821,10.821,10.821,10.821,0,0
19870113,10.821,10.821,10.821,10.821,0,0
19870114,10.821,10.821,10.821,10.821,0,0
19870115,11.034,11.034,11.034,11.034,0,0
19870116,10.95,10.95,10.95,10.95,0,0
19870119,10.779,10.779,10.779,10.779,0,0
19870120,10.695,10.695,10.695,10.695,0,0
19870121,10.652,10.652,10.652,10.652,0,0
19870122,10.397,10.397,10.397,10.397,0,0
19870123,10.525,10.525,10.525,10.525,0,0
19870126,10.228,10.228,10.228,10.228,0,0
19870127,10.228,10.228,10.228,10.228,0,0
19870128,10.1,10.1,10.1,10.1,0,0
19870129,10.355,10.355,10.355,10.355,0,0
19870130,10.482,10.652,10.482,10.652,0,0
19870202,10.482,10.482,10.482,10.482,0,0
19870203,10.482,10.482,10.482,10.482,0,0
19870204,10.228,10.228,10.228,10.228,0,0
19870205,10.312,10.312,10.312,10.312,0,0
19870206,10.228,10.228,10.228,10.228,0,0
19870209,10.016,10.016,10.016,10.016,0,0
19870210,9.973,9.973,9.973,9.973,0,0
19870211,10.016,10.016,10.016,10.016,0,0
19870212,9.887,10.016,9.887,9.887,0,0
19870213,9.887,10.016,9.887,9.887,0,0
19870216,10.143,10.143,10.143,10.143,0,0
19870217,9.846,9.846,9.846,9.846,0,0
19870218,9.803,9.803,9.803,9.803,0,0
19870219,9.719,9.719,9.719,9.719,0,0
19870220,9.719,9.719,9.719,9.719,0,0
19870223,9.887,9.887,9.887,9.887,0,0
19870224,9.931,9.931,9.931,9.931,0,0
19870225,9.719,9.719,9.719,9.719,0,0
19870226,9.633,9.633,9.633,9.633,0,0
19870227,9.719,9.761,9.719,9.761,0,0
19870302,9.633,9.633,9.633,9.633,0,0
19870303,9.463,9.463,9.463,9.463,0,0
19870304,9.549,9.549,9.549,9.549,0,0
19870305,9.549,9.549,9.549,9.549,0,0
19870306,9.549,9.549,9.549,9.549,0,0
19870309,9.4217,9.4217,9.4217,9.4217,0,0
19870310,9.4217,9.4217,9.4217,9.4217,0,0
19870311,9.463,9.463,9.463,9.463,0,0
19870312,9.4217,9.4217,9.4217,9.4217,0,0
19870313,9.463,9.463,9.463,9.463,0,0
19870316,9.507,9.507,9.507,9.507,0,0
19870317,9.719,9.803,9.719,9.719,0,0
19870318,9.803,9.887,9.803,9.803,0,0
19870319,9.719,9.761,9.719,9.719,0,0
19870320,9.803,9.803,9.803,9.803,0,0
19870323,9.973,9.973,9.973,9.973,0,0
19870324,9.761,9.761,9.761,9.761,0,0
19870325,9.676,9.676,9.676,9.676,0,0
19870326,9.591,9.591,9.591,9.591,0,0
19870327,9.549,9.549,9.549,9.549,0,0
19870330,9.4217,9.4217,9.4217,9.4217,0,0
19870331,9.3784,9.3784,9.3784,9.3784,0,0
19870401,9.3784,9.3784,9.3784,9.3784,0,0
19870402,9.549,9.549,9.549,9.549,0,0
19870403,9.549,9.549,9.549,9.549,0,0
19870406,9.633,9.633,9.633,9.633,0,0
19870407,9.633,9.633,9.633,9.633,0,0
19870408,9.591,9.591,9.591,9.591,0,0
19870409,9.549,9.719,9.549,9.549,0,0
19870410,9.803,9.803,9.633,9.633,0,0
19870413,9.973,10.1,9.931,10.1,0,0
19870414,10.143,10.143,10.143,10.143,0,0
19870415,10.1,10.143,10.1,10.1,0,0
19870416,10.143,10.143,10.143,10.143,0,0
