Date,Open,High,Low,Close,Volume,OpenInt
19970521,15.636,15.636,15.636,15.636,113810,0
19970522,16.331,16.331,16.331,16.331,91441,0
19970523,15.462,15.462,15.462,15.462,40843,0
19970526,14.941,14.941,14.941,14.941,47653,0
19970527,14.68,14.68,14.68,14.68,33746,0
19970528,14.854,14.854,14.854,14.854,28209,0
19970530,15.636,15.636,15.636,15.636,18835,0
19970602,16.504,16.504,16.504,16.504,19086,0
19970603,17.286,17.286,17.286,17.286,85647,0
19970604,17.112,17.112,17.112,17.112,32023,0
19970605,16.939,16.939,16.939,16.939,41769,0
19970606,17.721,17.721,17.721,17.721,40829,0
19970609,19.11,19.11,19.11,19.11,46597,0
19970610,19.11,19.11,19.11,19.11,25009,0
19970611,21.021,21.021,21.021,21.021,40602,0
19970612,22.498,22.498,22.498,22.498,52628,0
19970613,22.498,22.498,22.498,22.498,33348,0
19970616,21.629,21.629,21.629,21.629,21910,0
19970617,20.674,20.674,20.674,20.674,33241,0
19970618,20.413,20.413,20.413,20.413,18966,0
19970619,20.153,20.153,20.153,20.153,23645,0
19970620,20.327,20.327,20.327,20.327,28756,0
19970623,19.632,19.632,19.632,19.632,15027,0
19970624,17.981,17.981,17.981,17.981,17574,0
19970625,17.981,17.981,17.981,17.981,24916,0
19970626,17.46,17.46,17.46,17.46,4858,0
19970627,17.894,17.894,17.894,17.894,13552,0
19970630,17.894,17.894,17.894,17.894,15842,0
19970701,17.634,17.634,17.634,17.634,10948,0
19970702,17.46,17.46,17.46,17.46,15543,0
19970703,17.547,17.547,17.547,17.547,66369,0
19970704,18.329,18.329,18.329,18.329,46102,0
19970707,17.981,17.981,17.981,17.981,14544,0
19970708,16.939,16.939,16.939,16.939,12693,0
19970709,17.547,17.547,17.547,17.547,24477,0
19970710,17.373,17.373,17.373,17.373,29326,0
19970711,17.199,17.199,17.199,17.199,15146,0
19970714,15.549,15.549,15.549,15.549,64829,0
19970715,15.549,15.549,15.549,15.549,24278,0
19970716,16.331,16.331,16.331,16.331,70757,0
19970717,17.547,17.547,17.547,17.547,62162,0
19970718,17.547,17.547,17.547,17.547,46134,0
19970721,16.852,16.852,16.852,16.852,21779,0
19970722,17.373,17.373,17.373,17.373,39342,0
19970723,17.026,17.026,17.026,17.026,14037,0
19970724,16.678,16.678,16.678,16.678,15859,0
19970725,16.157,16.157,16.157,16.157,13492,0
19970728,15.723,15.723,15.723,15.723,11926,0
19970729,16.07,16.07,16.07,16.07,8369,0
19970730,16.591,16.591,16.591,16.591,13923,0
19970731,16.939,16.939,16.939,16.939,29164,0
19970801,16.591,16.591,16.591,16.591,11332,0
19970804,16.939,16.939,16.939,16.939,14081,0
19970805,16.939,16.939,16.939,16.939,32470,0
19970806,16.939,16.939,16.939,16.939,2627,0
19970807,16.591,16.591,16.591,16.591,3073,0
19970808,17.199,17.199,17.199,17.199,25321,0
19970811,17.894,17.894,17.894,17.894,19588,0
19970812,17.286,17.286,17.286,17.286,30414,0
19970813,17.373,17.373,17.373,17.373,23428,0
19970814,16.678,16.678,16.678,16.678,16159,0
19970818,16.07,16.07,16.07,16.07,11948,0
19970819,16.331,16.331,16.331,16.331,39620,0
19970820,16.504,16.504,16.504,16.504,15329,0
19970821,16.157,16.157,16.157,16.157,16867,0
19970822,15.81,15.81,15.81,15.81,5283,0
19970825,15.983,15.983,15.983,15.983,12253,0
19970826,15.896,15.896,15.896,15.896,15438,0
19970827,16.07,16.07,16.07,16.07,5238,0
19970828,16.157,16.157,16.157,16.157,17068,0
19970829,16.07,16.07,16.07,16.07,33418,0
19970901,15.81,15.81,15.81,15.81,22043,0
19970902,15.723,15.723,15.723,15.723,4162,0
19970903,16.07,16.07,16.07,16.07,12007,0
19970904,16.417,16.417,16.417,16.417,30542,0
19970905,16.417,16.417,16.417,16.417,32129,0
19970908,16.591,16.591,16.591,16.591,26147,0
19970909,17.026,17.026,17.026,17.026,24973,0
19970910,16.939,16.939,16.939,16.939,19996,0
19970911,16.678,16.678,16.678,16.678,22274,0
19970912,16.504,16.504,16.504,16.504,10442,0
19970915,16.852,16.852,16.852,16.852,6619,0
19970916,16.591,16.591,16.591,16.591,8336,0
19970917,16.504,16.504,16.504,16.504,4580,0
19970918,16.678,16.678,16.678,16.678,10708,0
19970919,16.591,16.591,16.591,16.591,10229,0
19970922,16.852,16.852,16.852,16.852,10773,0
19970923,16.939,16.939,16.939,16.939,23139,0
19970924,17.026,17.026,17.026,17.026,7004,0
19970925,17.112,17.112,17.112,17.112,12973,0
19970926,16.765,16.765,16.765,16.765,10819,0
19970929,16.765,16.765,16.765,16.765,29171,0
19970930,16.504,16.504,16.504,16.504,13250,0
19971001,16.331,16.331,16.331,16.331,4885,0
