Date,Open,High,Low,Close,Volume,OpenInt
20080408,8.629,9.1328,8.6107,8.8032,270151,0
20080409,8.7206,8.8397,8.7206,8.7938,139920,0
20080410,8.7756,8.8121,8.7572,8.7938,70044,0
20080411,8.8213,8.8946,8.8213,8.8855,22857,0
20080414,8.8855,8.8855,8.7115,8.7938,6582,0
20080415,8.7938,8.8397,8.7938,8.7938,8618,0
20080416,8.7665,8.7938,8.7665,8.7938,4497,0
20080417,8.7938,8.7938,8.7572,8.7938,2048,0
20080418,8.7115,8.7938,8.7115,8.7938,9388,0
20080421,8.8032,8.8032,8.7938,8.8032,11020,0
20080422,8.8306,8.8306,8.7389,8.7938,67684,0
20080423,8.684,8.7938,8.684,8.7938,2769,0
20080424,8.7938,8.7938,8.7938,8.7938,393,0
20080425,8.7938,8.7938,8.6199,8.629,34430,0
20080428,8.6199,8.7756,8.6199,8.7756,198,0
20080429,8.7756,8.7756,8.7756,8.7756,135,0
20080430,8.519,8.8855,8.519,8.8855,10928,0
20080505,8.7022,8.7938,8.7022,8.7938,1452,0
20080506,8.7938,8.7938,8.7938,8.7938,15,0
20080507,8.858,8.858,8.858,8.858,110,0
20080508,8.858,8.858,8.6199,8.7938,33618,0
20080509,8.8763,8.9038,8.7022,8.8763,848,0
20080512,8.8855,8.8855,8.8763,8.8855,34096,0
20080513,8.8946,8.8946,8.7115,8.8946,776,0
20080514,8.9038,8.9771,8.7938,8.9771,4892,0
20080515,9.0595,9.1602,8.9771,9.1602,2085,0
20080516,9.2427,9.719,9.2427,9.3894,130751,0
20080519,9.618,9.801,9.618,9.774,31488,0
20080520,9.893,10.067,9.719,9.866,2513,0
20080521,9.884,9.884,9.637,9.637,2913,0
20080523,9.4534,9.811,9.4534,9.811,2154,0
20080526,9.866,9.893,9.481,9.801,287,0
20080527,9.801,9.801,9.783,9.783,212,0
20080528,9.765,9.774,9.765,9.774,120,0
20080529,9.774,9.774,9.774,9.774,86,0
20080530,9.866,9.866,9.71,9.71,125,0
20080602,9.71,9.71,9.71,9.71,702,0
20080603,9.71,9.71,9.71,9.71,165,0
20080604,9.71,9.71,9.4443,9.4443,186,0
20080605,9.545,9.71,9.545,9.545,5114,0
20080606,9.637,9.637,9.628,9.628,1217,0
20080609,9.3435,9.71,9.0688,9.71,2115,0
20080610,9.692,9.692,9.692,9.692,21,0
20080611,9.591,9.591,9.591,9.591,55,0
20080612,9.6,9.6,9.6,9.6,39,0
20080613,9.618,9.618,9.618,9.618,50,0
20080616,9.591,9.591,9.591,9.591,55,0
20080617,9.252,9.554,9.252,9.554,783,0
20080618,9.527,9.527,9.1787,9.527,363,0
20080619,9.1787,9.252,9.1787,9.252,1504,0
20080620,9.2427,9.4443,9.2427,9.4443,679,0
20080623,9.252,9.563,9.252,9.518,51,0
20080624,9.4992,9.4992,9.481,9.481,1017,0
20080625,9.426,9.426,9.3894,9.4167,175,0
20080626,9.3435,9.4351,9.2975,9.4351,1312,0
20080627,9.3344,9.3344,9.3344,9.3344,23,0
20080630,9.426,9.426,9.426,9.426,23,0
20080701,9.4443,9.4443,9.4351,9.4351,29,0
20080702,9.4167,9.4167,9.4167,9.4167,25,0
20080703,9.481,9.481,9.481,9.481,23,0
20080704,9.4351,9.4351,9.426,9.426,23,0
20080707,9.4351,9.4351,9.4351,9.4351,23,0
20080708,9.252,9.426,9.252,9.426,649,0
20080709,9.426,9.426,9.0688,9.4167,511,0
20080710,9.3435,9.3435,9.3435,9.3435,28,0
20080711,9.3435,9.3435,9.0688,9.3435,1296,0
20080714,9.0688,9.4167,9.0688,9.252,83,0
20080715,8.9771,9.2975,8.9771,9.2975,1393,0
20080716,9.426,9.426,9.3344,9.3344,842,0
20080717,9.1602,9.3435,8.9771,8.9771,670,0
20080718,9.4167,9.4167,8.9771,8.9771,208,0
20080721,9.4167,9.4167,9.4167,9.4167,77,0
20080722,9.1602,9.1602,9.1602,9.1602,546,0
20080723,9.1602,9.1602,9.1602,9.1602,83,0
20080724,9.1602,9.1602,9.1602,9.1602,327,0
20080725,9.1602,9.1602,8.9771,9.1602,370,0
20080728,9.3435,9.3435,9.3435,9.3435,23,0
20080729,9.3435,9.3435,9.3344,9.3344,23,0
20080730,9.3435,9.3435,9.2975,9.2975,23,0
20080731,9.1602,9.1602,8.9771,8.9771,152,0
20080801,9.1602,9.1602,8.9771,9.1602,1736,0
20080804,9.1602,9.1602,9.1602,9.1602,23,0
20080805,9.1602,9.1602,9.1512,9.1512,23,0
20080806,9.3435,9.3435,9.1602,9.1602,31,0
20080807,8.8855,9.1602,8.8855,9.1602,1679,0
20080808,9.0688,9.0688,8.7938,9.0688,466,0
20080811,9.1602,9.3894,9.0688,9.0688,763,0
20080812,9.3435,9.3435,9.3435,9.3435,25,0
20080813,9.3619,9.71,9.2702,9.71,6511,0
20080814,9.545,9.801,9.545,9.801,3428,0
20080818,9.618,10.067,9.618,10.067,908,0
20080819,9.618,9.618,9.618,9.618,780,0
20080820,9.3435,9.774,9.3435,9.774,820,0
20080821,9.801,9.801,9.801,9.801,2,0
20080822,9.527,9.847,9.4167,9.801,69353,0
20080825,9.618,9.801,9.527,9.801,240387,0
20080827,9.811,9.811,9.811,9.811,327,0
20080829,9.893,9.893,9.4443,9.801,5460,0
20080901,9.545,9.866,9.527,9.866,4013,0
20080902,9.829,9.838,9.591,9.838,7076,0
20080903,9.801,9.801,8.8855,9.1602,993156,0
20080904,9.3251,9.701,9.3251,9.563,5767,0
