Date,Open,High,Low,Close,Volume,OpenInt
20090323,6.5,9.1,6.5,7.8,27223,0
20090324,7.25,7.8,6.58,7.8,1900,0
20090325,7.2,8.5,7.2,7.42,3203,0
20090326,7.4,8,6.8,8,1563,0
20090327,7.5,7.5,7.5,7.5,500,0
20090330,7.2,8,7.2,7.5,1391,0
20090331,7.98,8.48,7.98,8.15,3296,0
20090401,7.8,8.15,7.8,8.1,572,0
20090402,8.1,8.2,8.1,8.2,2539,0
20090403,8.47,8.47,7.85,7.85,3667,0
20090406,8.39,8.4,7.87,7.87,1409,0
20090407,7.87,8.5,7.87,8.49,2960,0
20090408,8.5,9,7.9,8,3930,0
20090409,8,8.45,7.5,7.55,2577,0
20090414,7.6,7.8,7.5,7.5,9411,0
20090415,8.49,8.49,7.53,7.79,7703,0
20090416,7.61,7.61,6.72,6.98,10085,0
20090417,7.2,7.27,6.95,6.95,3612,0
20090420,7,7,6.45,6.45,2369,0
20090421,6.4,6.4,6.15,6.15,1001,0
20090422,6.25,6.4,6.25,6.35,1889,0
20090423,6.69,6.69,6.57,6.57,2469,0
20090424,6.85,6.85,6.58,6.58,147,0
20090427,6.8,7.2,6.8,7.2,273,0
20090428,7.12,7.12,6.9,6.9,215,0
20090429,6.9,7.2,6.89,6.89,2453,0
20090430,7.4,7.4,6.16,6.16,4647,0
20090504,7.39,7.4,6.75,6.75,7845,0
20090505,7.38,7.38,6.85,6.85,753,0
20090506,6.76,6.9,6.5,6.9,2649,0
20090507,7.2,7.2,6.7,6.7,3190,0
20090508,7.12,7.12,6.53,6.86,1966,0
20090511,6.89,6.89,6.41,6.5,6925,0
20090512,6.49,6.49,6.28,6.3,5449,0
20090513,6.41,6.41,6,6,6881,0
20090514,6.3,6.3,6.06,6.06,1854,0
20090515,6.1,6.1,6.05,6.05,447,0
20090518,6.4,6.4,6.05,6.05,2397,0
20090519,6.3,6.3,5.92,5.92,3902,0
20090520,6.21,6.21,5.92,5.95,95,0
20090521,5.95,6.1,5.95,6.1,1671,0
20090522,6.21,6.21,6.21,6.21,2,0
20090525,6.05,6.05,5.9,5.9,692,0
20090526,6.05,6.05,6.05,6.05,11,0
20090527,6,6,6,6,315,0
20090528,6,6,6,6,850,0
20090529,6,6,5.95,5.95,423,0
20090601,6,6,5.99,5.99,421,0
20090602,5.99,5.99,5.9,5.9,74,0
20090603,5.96,6,5.91,5.91,1049,0
20090604,6.04,6.04,5.91,5.91,583,0
20090605,6,6,5.71,5.71,477,0
20090608,5.85,5.85,5.4,5.4,3571,0
20090609,5.79,5.79,5.55,5.55,1355,0
20090610,5.8,5.8,5.8,5.8,50,0
20090612,6,6,5.86,5.86,465,0
20090615,5.95,5.95,5.68,5.68,416,0
20090616,5.81,5.88,5.81,5.88,266,0
20090617,5.8,5.8,5.62,5.8,307,0
20090618,5.79,5.79,5.22,5.22,20,0
20090619,5.63,5.9,5.63,5.85,784,0
20090622,5.91,5.91,5.34,5.45,1851,0
20090623,5.34,5.7,5.2,5.41,1099,0
20090624,5.7,5.7,5.56,5.56,103,0
20090625,5.7,5.7,5.56,5.56,230,0
20090626,5.7,5.7,5.7,5.7,24,0
20090629,5.46,5.59,5.46,5.59,109,0
20090630,5.59,5.59,5.46,5.46,88,0
20090701,5.55,5.55,5.55,5.55,80,0
20090702,5.56,5.56,5.56,5.56,90,0
20090703,5.65,5.65,5.65,5.65,13,0
20090706,5.51,5.65,5.51,5.65,103,0
20090707,5.65,5.65,5.65,5.65,12,0
20090708,5.67,5.67,5.44,5.44,242,0
20090709,5.65,5.65,5.65,5.65,78,0
20090710,5.64,5.64,5.64,5.64,5,0
20090713,5.6,5.6,5.6,5.6,5,0
20090714,5.64,5.64,5.64,5.64,5,0
20090715,5.64,5.64,5.64,5.64,10,0
20090716,5.7,5.7,5.6,5.6,210,0
20090717,5.6,5.6,5.4,5.4,530,0
20090720,5.36,5.36,5.36,5.36,20,0
20090721,5.55,5.55,5.55,5.55,20,0
20090722,5.59,5.59,5.5,5.5,76,0
20090723,5.59,5.59,5.58,5.58,331,0
20090724,5.6,5.6,5.36,5.37,3135,0
20090727,5.37,5.37,5.37,5.37,20,0
20090728,5.37,5.37,5.33,5.34,1935,0
20090729,5.45,5.5,5,5.3,12650,0
20090730,5.31,5.31,5,5,8935,0
20090731,5.27,5.32,5,5,8973,0
20090803,5.16,5.22,5.06,5.06,964,0
20090804,5.07,5.29,5.06,5.29,3734,0
20090805,5.3,5.4,5.3,5.35,1839,0
20090806,5.4,5.4,5.4,5.4,49,0
20090807,5.5,5.5,5.3,5.4,782,0
20090810,5.55,5.55,5.35,5.35,1572,0
