Date,Open,High,Low,Close,Volume,OpenInt
20101220,3.6202,3.8638,3.5278,3.6538,245169,0
20101221,3.6706,3.8135,3.5278,3.7631,84716,0
20101222,3.7798,4.1578,3.7715,3.8218,220143,0
20101223,3.847,4.015,3.7631,3.7798,33538,0
20101227,3.8638,3.8638,3.5362,3.7798,25981,0
20101228,3.7042,3.8386,3.5951,3.8302,17328,0
20101229,3.7882,3.7882,3.6958,3.6958,17077,0
20101230,3.6706,3.6958,3.5951,3.6958,4479,0
20101231,3.7042,3.8302,3.6202,3.8302,8153,0
20110103,3.7378,3.8218,3.6958,3.7378,32379,0
20110104,3.7462,3.7462,3.6118,3.7295,11653,0
20110105,3.6371,4.0234,3.5278,3.7546,52676,0
20110107,3.7546,3.847,3.6118,3.7378,16399,0
20110110,3.5531,3.6958,3.5027,3.6791,10340,0
20110111,3.6538,3.6958,3.6538,3.6875,4973,0
20110112,3.6118,3.7295,3.5111,3.6538,5927,0
20110113,3.6622,3.6622,3.5278,3.6118,3199,0
20110114,3.5614,3.5614,3.2927,3.3598,47032,0
20110117,3.3598,3.5278,3.2758,3.4607,14547,0
20110118,3.4607,3.4858,3.2758,3.4354,12036,0
20110119,3.3598,3.5698,3.2758,3.3598,34099,0
20110120,3.3598,3.5278,3.2758,3.4187,28579,0
20110121,3.4103,3.4187,3.2674,3.3683,11682,0
20110124,3.2758,3.3934,3.2758,3.3263,126251,0
20110125,3.2338,3.3431,3.2338,3.2843,5514,0
20110126,3.2758,3.3263,3.1919,3.2338,135301,0
20110127,3.259,3.4271,3.1919,3.3094,42785,0
20110128,3.3178,3.3431,3.259,3.3178,9774,0
20110131,3.3934,3.5278,3.3683,3.4271,12011,0
20110201,3.4271,3.5194,3.3598,3.4354,14969,0
20110202,3.3598,3.4354,3.2927,3.4354,13220,0
20110203,3.4354,3.4607,3.4271,3.4607,2459,0
20110204,3.3683,3.3683,3.2338,3.3514,28930,0
20110207,3.3683,3.3683,3.2758,3.3347,22971,0
