Date,Open,High,Low,Close,Volume,OpenInt
19930930,2.0459,2.0459,2.0459,2.0459,3616108,0
19931004,2.0459,2.0459,2.0459,2.0459,4404060,0
19931005,2.0459,2.0459,2.0459,2.0459,3431542,0
19931007,2.036,2.036,2.036,2.036,2532953,0
19931011,1.9866,1.9866,1.9866,1.9866,1859785,0
19931012,2.1645,2.1645,2.1645,2.1645,1815268,0
19931014,2.3227,2.3227,2.3227,2.3227,2275499,0
19931018,2.3721,2.3721,2.3721,2.3721,1160201,0
19931019,2.3424,2.3424,2.3424,2.3424,694465,0
19931021,2.2733,2.2733,2.2733,2.2733,987128,0
19931026,2.0657,2.0657,2.0657,2.0657,1142131,0
19931028,2.2634,2.2634,2.2634,2.2634,1969916,0
19931102,2.3721,2.3721,2.3721,2.3721,2018724,0
19931104,2.3721,2.3721,2.3721,2.3721,1879859,0
19931108,2.2733,2.2733,2.2733,2.2733,1173647,0
19931109,2.2733,2.2733,2.2733,2.2733,1093869,0
19931110,2.3523,2.3523,2.3523,2.3523,1400636,0
19931115,2.3721,2.3721,2.3721,2.3721,1962672,0
19931116,2.3721,2.3721,2.3721,2.3721,1875458,0
19931118,2.293,2.293,2.293,2.293,760786,0
19931122,2.0953,2.0953,2.0953,2.0953,946546,0
19931123,2.3029,2.3029,2.3029,2.3029,719871,0
19931125,2.3424,2.3424,2.3424,2.3424,1653021,0
19931129,2.5698,2.5698,2.5698,2.5698,3153104,0
19931130,2.8267,2.8267,2.8267,2.8267,3012428,0
19931202,2.7674,2.7674,2.7674,2.7674,1726779,0
19931206,3.0442,3.0442,3.0442,3.0442,2323771,0
19931207,2.9651,2.9651,2.9651,2.9651,877251,0
19931209,3.064,3.064,3.064,3.064,1669260,0
19931213,3.1826,3.1826,3.1826,3.1826,1340082,0
19931214,3.2023,3.2023,3.2023,3.2023,1522655,0
19931216,3.2616,3.2616,3.2616,3.2616,1324198,0
19931220,3.3605,3.3605,3.3605,3.3605,1492758,0
19931221,3.2419,3.2419,3.2419,3.2419,1800385,0
19931223,3.3407,3.3407,3.3407,3.3407,1893366,0
19931227,3.5384,3.5384,3.5384,3.5384,1605316,0
19931228,3.1924,3.1924,3.1924,3.1924,1663240,0
19931230,3.3605,3.3605,3.3605,3.3605,1451225,0
19940103,3.4593,3.4593,3.4593,3.4593,1128219,0
19940104,3.3605,3.3605,3.3605,3.3605,1780605,0
19940106,3.6174,3.6174,3.6174,3.6174,2566796,0
19940110,3.5581,3.5581,3.5581,3.5581,1572181,0
19940111,3.657,3.657,3.657,3.657,1482387,0
19940113,4.0227,4.0227,4.0227,4.0227,2958754,0
19940117,4.418,4.418,4.418,4.418,1208351,0
19940118,4.8529,4.8529,4.8529,4.8529,990518,0
19940120,5.2384,5.2384,5.2384,5.2384,2064556,0
19940124,5.1297,5.1297,5.1297,5.1297,1265869,0
19940125,5.6337,5.6337,5.6337,5.6337,1621100,0
19940127,5.6337,5.6337,5.6337,5.6337,1835746,0
19940131,5.0703,5.0703,5.0703,5.0703,1736644,0
19940201,4.5663,4.5663,4.5663,4.5663,2256539,0
19940203,5.0209,5.0209,5.0209,5.0209,1088709,0
19940207,4.9419,4.9419,4.9419,4.9419,1283272,0
19940208,5.1988,5.1988,5.1988,5.1988,2114133,0
19940210,5.1988,5.1988,5.1988,5.1988,1193022,0
19940214,5.7128,5.7128,5.7128,5.7128,1530598,0
19940215,5.9302,5.9302,5.9302,5.9302,2044169,0
19940217,5.9302,5.9302,5.9302,5.9302,1332089,0
19940221,5.7326,5.7326,5.7326,5.7326,1095336,0
19940222,5.9302,5.9302,5.9302,5.9302,1475811,0
19940224,6.5233,6.5233,6.5233,6.5233,2342033,0
19940228,7.0174,7.0174,7.0174,7.0174,2204828,0
19940301,6.9186,6.9186,6.9186,6.9186,1639231,0
19940303,7.2151,7.2151,7.2151,7.2151,2035438,0
19940307,7.4128,7.4128,7.4128,7.4128,1242144,0
19940308,7.2151,7.2151,7.2151,7.2151,805496,0
19940310,6.9186,6.9186,6.9186,6.9186,1147392,0
19940314,6.7209,6.7209,6.7209,6.7209,828403,0
19940315,6.5233,6.5233,6.5233,6.5233,706718,0
19940317,6.5233,6.5233,6.5233,6.5233,978882,0
19940321,5.8808,5.8808,5.8808,5.8808,836618,0
19940322,5.3372,5.3372,5.3372,5.3372,1524021,0
19940324,5.8314,5.8314,5.8314,5.8314,1646101,0
19940328,5.2878,5.2878,5.2878,5.2878,838075,0
19940329,4.764,4.764,4.764,4.764,393587,0
19940331,4.2895,4.2895,4.2895,4.2895,818902,0
19940405,3.8645,3.8645,3.8645,3.8645,1315881,0
19940407,4.2006,4.2006,4.2006,4.2006,1842747,0
19940408,4.1907,4.1907,4.1907,4.1907,782600,0
19940411,3.7756,3.7756,3.7756,3.7756,0,0
19940412,3.4,3.4,3.4,3.4,0,0
19940414,2.9651,2.9651,2.9651,2.9651,750041,0
19940418,3.064,3.064,3.064,3.064,834443,0
19940419,3.3703,3.3703,3.3703,3.3703,1562256,0
19940421,3.9535,3.9535,3.9535,3.9535,1004662,0
19940425,3.9535,3.9535,3.9535,3.9535,1040145,0
