Date,Open,High,Low,Close,Volume,OpenInt
20120326,2.24,2.24,1.71,1.81,1786705,0
20120327,1.81,1.81,1.51,1.65,2005511,0
20120328,1.69,1.71,1.57,1.65,1289465,0
20120329,1.65,1.68,1.6,1.65,159234,0
20120330,1.64,1.69,1.63,1.65,234894,0
20120402,1.66,1.66,1.6,1.62,134881,0
20120403,1.61,1.66,1.61,1.66,142183,0
20120404,1.63,1.63,1.55,1.59,33040,0
20120405,1.6,1.6,1.54,1.55,252925,0
20120410,1.53,1.53,1.44,1.44,153755,0
20120411,1.41,1.45,1.38,1.45,145388,0
20120412,1.46,1.49,1.43,1.49,27779,0
20120413,1.54,1.54,1.49,1.53,23526,0
20120416,1.49,1.5,1.39,1.43,100079,0
20120417,1.37,1.43,1.37,1.4,64300,0
20120418,1.4,1.44,1.4,1.41,65715,0
20120419,1.42,1.44,1.4,1.43,116832,0
20120420,1.44,1.44,1.41,1.42,96009,0
20120423,1.47,1.47,1.3,1.34,79327,0
20120424,1.35,1.38,1.35,1.37,133410,0
20120425,1.39,1.39,1.35,1.38,46098,0
20120426,1.37,1.39,1.35,1.38,48898,0
20120427,1.39,1.39,1.36,1.38,12612,0
20120430,1.39,1.39,1.37,1.38,1595,0
20120502,1.37,1.37,1.36,1.37,2289,0
20120504,1.35,1.37,1.35,1.35,7628,0
20120507,1.35,1.36,1.32,1.35,24580,0
20120508,1.35,1.36,1.32,1.36,13028,0
20120509,1.36,1.39,1.33,1.39,58557,0
20120510,1.38,1.38,1.33,1.34,3200,0
20120511,1.33,1.37,1.32,1.35,16766,0
20120514,1.35,1.35,1.32,1.35,1571,0
20120515,1.32,1.35,1.31,1.32,40220,0
20120516,1.35,1.35,1.25,1.32,32953,0
20120517,1.28,1.35,1.28,1.3,70926,0
20120518,1.33,1.33,1.26,1.32,68423,0
20120521,1.33,1.33,1.28,1.28,24155,0
20120522,1.3,1.3,1.27,1.3,26175,0
20120523,1.27,1.29,1.24,1.27,60820,0
20120524,1.27,1.27,1.24,1.25,42295,0
20120525,1.33,1.33,1.17,1.32,36967,0
20120528,1.21,1.28,1.19,1.27,96587,0
20120529,1.29,1.29,1.21,1.21,39310,0
20120530,1.28,1.28,1.19,1.22,24467,0
20120531,1.22,1.22,1.19,1.19,87927,0
20120601,1.19,1.22,1.14,1.19,58818,0
20120604,1.11,1.2,1.11,1.18,7391,0
20120605,1.14,1.18,1.13,1.13,64113,0
20120606,1.19,1.19,1.1,1.16,67295,0
20120608,1.19,1.19,1.1,1.11,49546,0
20120611,1.08,1.15,1.08,1.11,57299,0
20120612,1.16,1.16,1.16,1.16,3416,0
20120613,1.2,1.2,1.16,1.2,2121,0
20120614,1.2,1.2,1.15,1.19,13294,0
20120615,1.24,1.24,1.18,1.24,32108,0
20120618,1.18,1.24,1.18,1.22,7554,0
20120619,1.24,1.24,1.2,1.2,4499,0
20120620,1.25,1.25,1.19,1.2,25670,0
20120621,1.24,1.24,1.24,1.24,16,0
20120622,1.16,1.23,1.16,1.23,15,0
20120625,1.24,1.24,1.14,1.19,74803,0
20120626,1.19,1.19,1.14,1.19,38170,0
20120627,1.19,1.19,1.13,1.18,3520,0
20120628,1.18,1.18,1.13,1.16,13227,0
20120629,1.18,1.19,1.18,1.19,20005,0
20120702,1.19,1.19,1.11,1.17,12934,0
20120703,1.16,1.18,1.13,1.18,7894,0
20120704,1.18,1.19,1.15,1.19,6107,0
20120705,1.19,1.19,1.19,1.19,5,0
20120706,1.19,1.19,1.12,1.19,12868,0
20120709,1.19,1.19,1.19,1.19,2026,0
20120710,1.13,1.17,1.12,1.16,11030,0
20120711,1.17,1.17,1.11,1.14,4616,0
20120712,1.14,1.16,1.14,1.16,1155,0
20120713,1.14,1.14,1.07,1.13,30537,0
20120716,1.18,1.18,1.05,1.11,7312,0
20120717,1.11,1.11,1.05,1.1,15999,0
20120718,1.1,1.1,0.99,1,193895,0
20120719,1.01,1.09,1,1.09,32092,0
20120720,1.08,1.08,0.99,0.99,347570,0
20120723,1.02,1.04,0.99,1.02,88075,0
20120724,1.05,1.05,1,1.03,19189,0
20120725,1.04,1.04,1.01,1.04,23480,0
20120726,1.04,1.05,1.04,1.05,2657,0
20120727,1.06,1.08,1.06,1.08,585,0
20120730,1.08,1.08,1.02,1.08,8465,0
20120731,1.1,1.1,1.04,1.1,139,0
20120801,1.01,1.07,1.01,1.02,6995,0
20120802,1.02,1.08,1.02,1.03,1018,0
20120803,1.09,1.09,1.09,1.09,10,0
20120806,1.09,1.09,1.09,1.09,12,0
20120807,1.09,1.09,1.03,1.09,2279,0
20120808,1.02,1.05,1.02,1.05,23003,0
20120809,1.09,1.09,1.09,1.09,5,0
20120810,1.09,1.09,1.02,1.08,248,0
20120813,1.09,1.09,1.08,1.08,1536,0
20120814,1.09,1.09,1.03,1.03,364,0
20120816,1.08,1.08,1.04,1.05,2275,0
20120817,1.04,1.09,1.04,1.09,10080,0
20120820,1.09,1.09,1.05,1.06,6340,0
20120821,1.09,1.09,1,1.08,7341,0
20120822,1.06,1.09,1.05,1.09,6064,0
20120823,1.09,1.09,1.05,1.08,394,0
20120824,1.09,1.09,1.09,1.09,5,0
20120827,1.09,1.09,1.09,1.09,12,0
20120828,1.09,1.09,1.05,1.09,18293,0
20120829,1.09,1.09,1.03,1.09,5457,0
20120830,1.09,1.09,1.04,1.07,7557,0
20120831,1.09,1.09,1.08,1.09,35006,0
20120903,1.1,1.1,1.07,1.07,17531,0
20120904,1.1,1.1,1.07,1.07,3308,0
20120905,1.09,1.09,1.05,1.05,68997,0
20120906,1.07,1.07,1.05,1.06,11368,0
20120907,1.06,1.07,1.05,1.07,3214,0
20120910,1.07,1.07,1.06,1.06,44160,0
20120911,1.07,1.07,1.06,1.07,306009,0
20120912,1.07,1.08,1.06,1.07,128870,0
20120913,1.08,1.09,1.05,1.08,14308,0
20120914,1.08,1.13,1.08,1.1,181394,0
20120917,1.15,1.15,1.1,1.1,12358,0
20120918,1.11,1.15,1.1,1.1,10524,0
20120919,1.12,1.15,1.09,1.15,7716,0
