Date,Open,High,Low,Close,Volume,OpenInt
20010524,4.1781,4.2233,3.9792,4.1329,58842,0
20010525,4.16,4.16,4.0063,4.0333,6044,0
20010528,4.0425,4.0425,3.9068,4.0243,11693,0
20010529,3.952,4.0063,3.8434,3.952,12361,0
20010530,3.9429,3.9429,3.7711,3.8616,2326,0
20010531,3.8163,3.8163,3.7258,3.7258,11367,0
20010601,3.717,3.7711,3.6716,3.6716,8958,0
20010604,3.7258,3.7258,3.4545,3.4545,3695,0
20010605,3.4003,3.4094,2.9482,3.0929,20247,0
20010606,3.0568,3.0838,3.0296,3.0748,3144,0
20010607,3.0024,3.0657,2.9663,3.0476,1519,0
20010608,3.0296,3.0476,2.9663,3.0476,1140,0
20010612,2.8759,2.9935,2.7853,2.7853,11269,0
20010613,2.8035,2.8035,2.7673,2.7673,3472,0
20010615,2.7853,2.8216,2.695,2.695,7747,0
20010618,2.695,2.695,2.5141,2.5141,4254,0
20010619,2.496,2.496,2.0618,2.1886,23237,0
20010620,2.1615,2.1615,2.0257,2.0257,11555,0
20010621,2.0257,2.0618,2.0077,2.0618,2898,0
20010622,2.0348,2.08,2.0167,2.0167,15196,0
20010625,2.08,2.1796,2.0529,2.1796,54356,0
20010626,2.2337,2.2337,2.1523,2.1523,2024,0
20010627,2.1523,2.1523,2.1523,2.1523,195,0
20010628,2.0618,2.0618,1.9805,1.9805,1092,0
20010629,1.9805,2.0711,1.9805,2.0618,5070,0
20010702,2.0257,2.0257,2.0257,2.0257,1337,0
20010704,1.9805,2.0618,1.9805,2.0618,229,0
20010705,2.1886,2.2428,2.1886,2.1976,2138,0
20010710,2.1976,2.1976,2.1523,2.1523,3673,0
20010711,2.1976,2.1976,2.1976,2.1976,778,0
20010713,2.0167,2.0167,2.0167,2.0167,2592,0
20010716,2.2337,2.2971,2.2337,2.2971,528,0
20010717,2.288,2.3333,2.288,2.3333,680,0
20010718,2.3333,2.3333,2.3333,2.3333,1,0
20010719,2.3333,2.3333,2.1523,2.3333,26,0
20010723,2.1976,2.1976,2.1976,2.1976,3561,0
20010724,2.2608,2.2608,2.2608,2.2608,1,0
20010725,2.2519,2.2519,2.2428,2.2428,5787,0
20010726,2.2519,2.2519,2.2519,2.2519,37,0
20010727,2.1523,2.1523,2.1523,2.1523,6655,0
20010730,2.1343,2.1343,2.1343,2.1343,1158,0
20010731,2.0618,2.1433,2.0167,2.1433,9151,0
20010802,2.0348,2.0348,1.9625,1.9625,3623,0
20010803,2.0618,2.0618,2.0618,2.0618,34,0
20010807,1.8447,1.9805,1.8447,1.9805,2230,0
20010809,1.7996,1.7996,1.7996,1.7996,10575,0
20010810,1.8901,1.9805,1.8901,1.9805,1948,0
20010813,2.0167,2.0167,1.5374,1.7815,28221,0
20010814,1.6369,1.655,1.6097,1.655,9462,0
20010816,1.655,1.655,1.5284,1.6459,8367,0
20010817,1.7273,1.7273,1.6369,1.6369,1407,0
20010820,1.6369,1.6369,1.6369,1.6369,5667,0
20010821,1.7092,1.7092,1.6188,1.6188,4847,0
20010822,1.5735,1.6639,1.5735,1.6639,5415,0
20010823,1.7092,1.7092,1.6639,1.6639,2204,0
20010827,1.7092,1.7183,1.6188,1.7183,1223,0
20010831,1.5735,1.6639,1.5735,1.6278,8217,0
20010903,1.5917,1.5917,1.5646,1.5646,3166,0
20010904,1.5735,1.5735,1.5735,1.5735,950,0
20010905,1.6731,1.6731,1.6731,1.6731,556,0
20010906,1.6188,1.6188,1.6188,1.6188,556,0
20010907,1.6188,1.6188,1.6188,1.6188,1112,0
20010912,1.3476,1.6188,1.3476,1.6188,5008,0
20010917,1.438,1.5825,1.438,1.5825,183,0
20010918,1.438,1.5917,1.438,1.5917,869,0
20010919,1.5735,1.5735,1.5735,1.5735,223,0
20010925,1.3384,1.4832,1.3384,1.4832,7125,0
20010926,1.6188,1.6188,1.3476,1.5193,1692,0
20010927,1.5284,1.5284,1.3476,1.465,935,0
20010928,1.438,1.5374,1.438,1.5374,1115,0
20011002,1.3113,1.3927,1.3113,1.3927,339,0
20011005,1.3023,1.4288,1.3023,1.4288,2280,0
20011008,1.257,1.3927,1.257,1.3927,2241,0
20011010,1.3927,1.5735,1.3203,1.5735,7949,0
20011011,1.6188,1.6188,1.3837,1.6188,2491,0
20011012,1.6188,1.6188,1.4832,1.6006,15007,0
20011015,1.5917,1.5917,1.5917,1.5917,110,0
20011016,1.5735,1.863,1.5735,1.7362,92345,0
20011017,1.8447,2.089,1.5102,1.863,225287,0
20011018,1.8359,1.8359,1.6188,1.7455,19545,0
20011019,1.6006,1.7544,1.6006,1.7002,9342,0
20011022,1.7183,1.8447,1.7183,1.8447,30257,0
20011023,1.9444,1.9444,1.7544,1.7906,16515,0
20011024,1.7092,1.8719,1.7092,1.8268,3680,0
20011025,1.8359,1.8359,1.7183,1.8088,12008,0
20011026,1.8447,1.8447,1.7455,1.7996,5912,0
20011029,1.8447,1.8447,1.7362,1.7906,6326,0
20011030,1.7092,1.7092,1.7092,1.7092,1112,0
20011031,1.6369,1.7002,1.6369,1.7002,2558,0
20011102,1.6639,1.7183,1.6459,1.6459,10394,0
20011105,1.7635,1.7635,1.6188,1.7362,8348,0
20011106,1.7362,1.7362,1.7092,1.7092,988,0
20011107,1.7362,1.7362,1.7362,1.7362,3395,0
20011108,1.6459,1.7092,1.6188,1.7092,2616,0
20011109,1.7092,1.7092,1.6188,1.6188,4615,0
20011112,1.6369,1.6369,1.6369,1.6369,110,0
20011113,1.6188,1.7002,1.6188,1.7002,5764,0
20011114,1.6188,1.6639,1.5284,1.655,53912,0
20011115,1.6459,1.6459,1.5917,1.6188,5628,0
20011116,1.6369,1.6369,1.5917,1.6188,1644,0
20011119,1.6188,1.6188,1.5646,1.5646,5844,0
20011120,1.5464,1.5464,1.5284,1.5284,6703,0
20011121,1.5464,1.5825,1.4832,1.4832,76010,0
20011122,1.4832,1.4832,1.456,1.456,3991,0
20011123,1.456,1.456,1.447,1.447,4979,0
20011126,1.5102,1.5102,1.3476,1.3837,38943,0
20011127,1.438,1.438,1.3654,1.438,14417,0
20011128,1.438,1.4921,1.438,1.465,9963,0
20011129,1.4288,1.474,1.4288,1.474,668,0
20011130,1.4199,1.4832,1.3747,1.3747,5327,0
20011203,1.3476,1.3566,1.3476,1.3476,2049,0
20011204,1.3654,1.3747,1.3654,1.3654,4301,0
20011205,1.3747,1.4199,1.3747,1.4199,4858,0
20011206,1.438,1.4921,1.438,1.465,11136,0
20011207,1.4832,1.4832,1.447,1.447,7722,0
20011210,1.5464,1.5464,1.3837,1.3837,12023,0
20011211,1.2751,1.3837,1.2751,1.3837,1633,0
20011212,1.3023,1.3023,1.3023,1.3023,4453,0
20011213,1.2842,1.2842,1.257,1.257,1112,0
20011214,1.2751,1.2751,1.1485,1.1485,2576,0
20011217,1.2299,1.2299,1.1666,1.1666,141,0
20011218,1.2299,1.2299,1.0854,1.1666,138068,0
20011219,1.1485,1.1485,1.1032,1.1032,10744,0
20011220,1.1032,1.1395,1.0761,1.0761,2855,0
20011221,1.0854,1.0854,1.0854,1.0854,2688,0
20011227,1.1032,1.1032,1.0399,1.0399,1768,0
20011228,1.0491,1.1124,1.0491,1.0581,4453,0
20011231,1.0761,1.1124,1.0761,1.1124,371238,0
20020102,1.1032,1.1576,1.1032,1.1576,14651,0
20020103,1.1757,1.1938,1.1666,1.1938,5575,0
20020104,1.2117,1.2209,1.1938,1.1938,5205,0
20020107,1.1666,1.2117,1.1485,1.2117,9701,0
20020108,1.2117,1.2751,1.2117,1.2751,16672,0
20020109,1.2932,1.4017,1.2932,1.3654,26389,0
20020110,1.4288,1.447,1.3113,1.3295,28587,0
20020111,1.3295,1.3747,1.3295,1.3566,1837,0
20020114,1.3476,1.3476,1.2751,1.2932,4255,0
20020115,1.2662,1.2932,1.2299,1.2842,4518,0
20020116,1.2932,1.3023,1.2932,1.3023,2225,0
20020117,1.3023,1.3023,1.2662,1.2662,1559,0
20020118,1.2391,1.257,1.2117,1.2117,5524,0
20020122,1.2209,1.3837,1.2209,1.3295,54922,0
20020123,1.3384,1.3384,1.2932,1.3203,3207,0
20020124,1.3023,1.3023,1.257,1.2662,11425,0
20020125,1.2751,1.3295,1.2751,1.2751,3782,0
20020128,1.3295,1.3384,1.257,1.257,7671,0
20020129,1.2751,1.2751,1.1938,1.2117,958,0
20020130,1.1757,1.2028,1.1124,1.2028,8180,0
20020131,1.1938,1.2117,1.1576,1.1846,6763,0
20020201,1.2028,1.2028,1.1214,1.2028,3561,0
20020204,1.1214,1.1576,1.1214,1.1576,1582,0
20020205,1.1214,1.1666,1.1214,1.1666,1226,0
20020206,1.1666,1.1666,1.1214,1.1395,3990,0
20020207,1.1124,1.1485,1.0761,1.1032,61534,0
20020208,1.0761,1.1214,1.0761,1.1214,19484,0
20020211,1.1485,1.1485,1.0942,1.0942,12710,0
20020212,1.1395,1.1485,1.0854,1.1305,9137,0
20020213,1.1485,1.1485,1.0854,1.1124,12349,0
20020214,1.1395,1.1395,1.0854,1.0854,11027,0
20020215,1.1305,1.1305,1.0854,1.1124,4790,0
20020218,1.1032,1.1032,1.0761,1.0761,7341,0
20020219,1.0581,1.0581,1.0128,1.0581,7580,0
20020220,1.0854,1.0854,1.0128,1.0671,17953,0
20020221,1.0491,1.0491,1.031,1.0491,2035,0
20020222,1.0491,1.0671,1.031,1.0671,8720,0
20020225,1.1214,1.1214,1.0761,1.1214,4589,0
20020226,1.1214,1.1576,1.1214,1.1485,10593,0
20020227,1.1846,1.2842,1.1846,1.2299,36528,0
20020228,1.2299,1.2391,1.1757,1.2117,16196,0
20020301,1.1757,1.2028,1.1485,1.2028,11479,0
20020304,1.2209,1.2299,1.1395,1.1757,11112,0
20020305,1.1757,1.1757,1.1666,1.1666,1129,0
20020306,1.1124,1.1576,1.1124,1.1576,3462,0
20020307,1.1576,1.2117,1.1576,1.2117,10877,0
20020308,1.1485,1.1757,1.1485,1.1757,573,0
