Date,Open,High,Low,Close,Volume,OpenInt
20070830,32.758,39.242,30.758,33.931,191627,0
20070831,36.069,37.586,32.138,36,109279,0
20070903,35.724,35.724,30.138,31.448,25936,0
20070904,31.379,31.379,25.518,25.518,44955,0
20070905,25.242,25.242,21.379,21.379,39639,0
20070906,21.448,25.173,21.448,23.931,36428,0
20070907,24.414,27.862,24.414,27.034,58739,0
20070910,25.586,28.621,25.173,28,21921,0
20070911,28.069,29.518,28.069,29.242,13784,0
20070912,29.931,29.931,28.207,28.966,9633,0
20070913,28.827,28.827,27.518,27.931,5309,0
20070914,28.758,28.758,26.69,27.931,9243,0
20070917,28.276,28.276,26.827,27.448,2866,0
20070918,27.518,27.518,26.207,26.827,6185,0
20070919,27.31,27.448,27.034,27.173,11121,0
20070920,26.966,26.966,25.586,25.724,5940,0
20070921,26.827,26.827,25.862,26.345,4178,0
20070924,26.138,26.138,25.586,25.655,2609,0
20070925,25.586,25.586,24,24.138,7592,0
20070926,24.897,24.897,22.966,24,10200,0
20070927,23.586,23.724,22.69,23.518,6569,0
20070928,23.586,23.586,22.276,22.827,8646,0
20071001,24.897,24.897,22.069,22.966,3153,0
20071002,23.586,23.586,22.276,22.621,7784,0
20071003,22.758,22.758,21.518,22.621,7013,0
20071004,22.345,22.621,21.586,21.586,7168,0
20071005,22.276,22.966,22.207,22.966,7413,0
20071008,23.173,24.69,22.966,24.138,9776,0
20071009,24.138,24.345,23.242,23.586,2855,0
20071010,23.793,23.793,22.758,22.966,5296,0
20071011,22.966,23.103,22.276,22.621,3734,0
20071012,22.621,22.966,22.069,22.897,2712,0
20071015,22.897,23.242,22.552,22.897,2937,0
20071016,22.621,22.897,22.345,22.827,661,0
20071017,22.897,22.897,21.931,22.758,7646,0
20071018,22.276,22.552,21.793,21.793,2263,0
20071019,22.276,22.345,21.931,22.345,1832,0
20071022,22.552,22.621,22.207,22.414,4280,0
20071023,22.827,23.173,22.276,22.69,7705,0
20071024,22.897,23.034,22.69,22.966,4508,0
20071025,22.897,23.173,22.758,23.173,4732,0
20071026,22.966,23.518,22.827,23.518,3407,0
20071029,24.69,24.69,23.931,24.138,6321,0
20071030,24.138,24.138,23.034,23.103,4875,0
20071031,23.379,24.207,23.103,23.518,1465,0
20071102,23.103,23.518,22.966,22.966,2495,0
20071105,23.173,23.242,22.345,22.897,2039,0
20071106,22.827,22.827,22,22.482,3341,0
20071107,22.482,22.482,21.034,21.586,9273,0
20071108,21.103,22.758,20.827,22.552,4213,0
20071109,22.414,22.414,21.242,21.448,3647,0
20071112,21.242,22.276,21.103,21.586,844,0
20071113,22.138,22.138,21.379,21.586,928,0
20071114,21.448,21.862,21.448,21.862,676,0
20071115,21.586,21.931,21.103,21.242,2850,0
20071116,21.034,21.034,19.586,19.862,5963,0
20071119,19.862,20,18.966,19.448,3178,0
20071120,19.518,19.518,16.414,16.414,13081,0
20071121,16.897,16.897,14.414,14.414,8953,0
20071122,14.138,17.173,13.862,17.034,14507,0
20071123,17.518,18.966,17.034,18.897,5687,0
20071126,18.897,20.069,18.897,19.655,5939,0
20071127,19.103,19.793,18.897,19.793,2383,0
20071128,20.621,20.621,20.276,20.552,3857,0
20071129,20.69,21.448,20.276,21.31,6802,0
20071130,20.966,21.931,20.966,21.793,3300,0
20071203,21.862,21.862,19.655,20.966,1690,0
20071204,20.414,20.621,20.414,20.621,130,0
20071205,20.552,21.586,20.069,21.518,1310,0
20071206,21.518,21.518,20,20.897,965,0
20071207,20.966,20.966,20.276,20.621,2347,0
20071210,20.897,21.724,20.897,21.379,1017,0
20071211,21.655,22.827,21.655,21.862,2588,0
20071212,21.31,21.31,20.758,21.31,1260,0
20071213,22.276,23.724,21.242,21.586,6581,0
20071214,21.586,21.586,21.103,21.518,549,0
20071217,22.207,22.207,19.448,19.448,2359,0
20071218,19.448,19.724,17.655,17.655,8946,0
20071219,18,19.173,17.31,18.69,11485,0
20071220,19.173,21.103,18.69,20.552,10285,0
20071221,20.966,20.966,19.655,19.655,9922,0
20071227,19.586,19.586,18.345,19.103,5984,0
20071228,19.103,19.655,18.552,19.448,3454,0
20080102,19.931,20.138,19.103,19.242,650,0
20080103,18.758,19.586,18.69,19.448,2778,0
20080104,18.966,19.448,18.621,18.966,5572,0
20080107,18.482,18.966,17.724,18.482,1787,0
20080108,18.966,19.31,17.793,18.482,2859,0
20080109,18.966,18.966,17.242,18.207,8323,0
20080110,18.345,18.345,16.758,17.242,3724,0
20080111,17.034,17.655,16.414,16.758,7034,0
20080114,17.034,17.034,15.103,16.414,3429,0
20080115,16.758,16.758,14.552,14.552,2483,0
20080116,14.897,14.897,12.69,13.724,9643,0
20080117,14.276,15.931,13.793,15.931,19591,0
20080118,16,16.069,14.552,15.103,10273,0
20080121,15.103,15.103,14,15.103,4055,0
20080122,13.862,14.827,13.518,14.69,3838,0
20080123,15.103,15.103,13.862,14.758,40426,0
20080124,15.034,15.034,14.207,14.69,3974,0
20080125,14.758,15.034,13.103,14.069,21551,0
20080128,13.724,13.793,12.966,12.966,18151,0
20080129,13.31,13.862,12,12.414,46039,0
20080130,12.758,13.242,11.862,13.103,33264,0
20080131,13.103,13.103,12.345,12.758,17395,0
20080201,13.103,13.793,12.758,13.034,32505,0
20080204,13.655,13.655,12.552,12.758,15184,0
20080205,12.897,12.897,11.655,11.793,19858,0
20080206,11.518,12.069,10.758,11.31,28303,0
20080207,11.379,11.379,10.414,10.69,35174,0
20080208,10.966,11.448,10.827,11.103,19358,0
20080211,11.31,11.448,10.966,10.966,10686,0
20080212,11.103,11.173,10.138,10.827,20236,0
20080213,10.552,10.827,10.345,10.482,12720,0
20080214,10.827,11.034,10.345,10.621,5262,0
20080215,10.552,10.552,10.276,10.552,3564,0
20080218,10.621,12.276,10.414,12.138,28089,0
20080219,11.793,12.138,11.242,11.655,10286,0
20080220,11.793,11.862,11.103,11.103,4778,0
20080221,11.448,11.724,11.103,11.724,5256,0
20080222,11.793,11.931,11.448,11.931,4692,0
20080225,12.207,12.276,11.793,12,8441,0
20080226,12,12.069,11.448,11.931,5756,0
20080227,11.586,11.793,11.448,11.793,1692,0
20080228,11.793,11.793,11.379,11.518,2484,0
20080229,11.379,11.518,11.31,11.518,4738,0
20080303,11.242,11.242,10.827,10.966,2945,0
20080304,10.966,10.966,10.482,10.827,8825,0
20080305,10.827,11.034,10.69,10.827,2013,0
20080306,11.103,11.103,10.552,10.827,5054,0
20080307,10.482,11.103,10.345,10.552,6712,0
20080310,10.758,10.758,9.931,10.414,8389,0
20080311,10.345,10.827,10.138,10.827,3656,0
20080312,11.034,11.103,10.621,10.966,2852,0
20080313,10.621,11.034,10.414,10.966,4434,0
20080314,10.966,11.103,10.621,11.034,1532,0
20080317,10.414,10.827,10.276,10.345,1951,0
20080318,10.276,10.345,10.069,10.276,7858,0
20080319,10.414,10.621,10.069,10.414,12602,0
20080320,10.276,10.345,10.069,10.276,2165,0
20080325,10.276,10.482,10.207,10.276,3245,0
20080326,10.207,10.207,10.069,10.138,5469,0
20080327,10.276,10.414,10,10.345,3006,0
20080328,10.345,10.345,10,10.276,4373,0
20080331,10.138,10.276,10.138,10.276,1226,0
20080401,10.827,10.827,10.138,10.138,10875,0
20080402,10.482,10.482,10.207,10.414,4845,0
20080403,10.482,10.482,10.207,10.345,3491,0
20080404,10.482,10.482,10.345,10.482,2493,0
20080407,10.552,11.379,10.552,10.897,12477,0
20080408,11.103,11.103,10.138,10.414,7323,0
20080409,10.276,10.414,10.069,10.207,8527,0
20080410,10.138,10.414,10.138,10.414,24967,0
20080411,10.482,11.379,10.345,10.345,54748,0
20080414,10.482,11.103,10.276,11.034,23592,0
20080415,11.103,11.655,10.966,11.448,30523,0
20080416,11.586,12.069,11.103,11.448,26986,0
20080417,11.448,11.586,11.103,11.103,20394,0
20080418,11.103,11.242,10.345,10.827,27979,0
20080421,10.552,11.103,10.552,10.69,9435,0
20080422,10.552,10.827,10.414,10.482,14846,0
20080423,10.345,10.482,10.276,10.482,5975,0
20080424,10.482,10.758,10.069,10.482,14708,0
20080425,10.897,10.897,10.276,10.482,8500,0
20080428,10.482,10.758,10.276,10.758,11448,0
20080429,10.482,10.758,10.207,10.69,5908,0
20080430,10.758,10.827,10.414,10.69,12179,0
20080505,10.552,10.69,10.482,10.482,6022,0
20080506,10.482,10.482,10.138,10.345,1653,0
20080507,10.345,10.414,10.138,10.414,21665,0
20080508,10.482,10.552,10.138,10.138,4099,0
20080509,10,10,9.448,9.518,17999,0
20080512,9.448,9.448,8.2072,9.2416,19578,0
20080513,9.1032,9.3792,8.8968,9.3104,7302,0
20080514,9.3104,9.3104,8.9656,9.2416,4908,0
20080515,9.1728,9.3104,8.552,8.8968,6433,0
20080516,9.0344,9.0344,8.6896,8.8968,4528,0
20080519,9.0344,9.1032,8.6896,8.6896,2595,0
20080520,8.6208,9.0344,8.6208,8.8272,3361,0
20080521,8.8968,8.8968,8.552,8.8272,3662,0
20080523,8.6896,8.8272,8.6208,8.8272,543,0
20080526,8.7584,8.7584,8.4824,8.6896,4557,0
20080527,8.552,8.552,7.1032,8,8305,0
20080528,8,8,6.6896,6.6896,16699,0
20080529,6.9656,7.3792,6.8968,7.1728,16318,0
20080530,7.2416,7.724,7.2416,7.448,7707,0
20080602,7.5176,7.5176,7.448,7.448,1926,0
20080603,7.3792,7.448,7.3792,7.3792,565,0
20080604,7.3792,7.3792,7.2416,7.2416,1386,0
20080605,7.2416,7.2416,6.7584,6.8968,8496,0
20080606,6.8968,7.1728,6.552,6.552,11879,0
20080609,6.4824,6.552,5.6552,5.9312,11719,0
20080610,5.9312,5.9312,5.1728,5.1728,32150,0
20080611,5.3104,5.448,4.8272,4.9656,11608,0
20080612,4.6208,5.2416,4.6208,4.6896,8436,0
20080613,4.6208,4.8272,4.4136,4.6208,8133,0
20080616,4.6208,5.1032,4.6208,4.8272,7346,0
20080617,4.8272,5.2416,4.6208,4.9656,16507,0
20080618,4.9656,4.9656,4.6208,4.6208,6554,0
20080619,4.4824,4.6208,4.276,4.276,12120,0
20080620,4.552,4.7584,4.3448,4.6208,15665,0
20080623,4.552,4.7584,4.4824,4.6208,3687,0
20080624,4.6208,4.6896,4.4824,4.6896,1458,0
20080625,4.6896,4.9656,4.6208,4.6896,5394,0
20080626,4.8272,4.8272,4.4824,4.4824,3372,0
20080627,4.4136,4.4824,4.1376,4.276,11758,0
20080630,4.276,4.276,3.8624,4.2072,19895,0
20080701,3.9312,3.9312,3.3792,3.5864,32665,0
20080702,3.5864,3.6552,3.5176,3.5864,6652,0
20080703,3.3792,3.5176,3.3792,3.5176,3088,0
20080704,3.5176,3.5864,3.3792,3.5864,2255,0
20080707,3.5176,3.5176,3.3104,3.5176,1730,0
20080708,3.448,3.5176,3.3104,3.448,6755,0
20080709,3.448,3.5864,3.3792,3.448,16213,0
20080710,3.448,3.5176,3.448,3.5176,3714,0
20080711,3.5176,3.5864,3.5176,3.5864,27337,0
20080714,3.5864,3.7928,3.448,3.7928,13924,0
20080715,3.7928,4.4824,3.5864,4.1376,44462,0
20080716,4.2072,4.3448,4,4.1376,14306,0
20080717,4.2072,4.3448,3.7928,3.7928,15461,0
20080718,3.6552,3.7928,3.6552,3.7928,12835,0
20080721,3.5864,3.8624,3.5864,3.7928,7437,0
20080722,3.8624,3.8624,3.6552,3.7928,9784,0
20080723,3.7928,4.2072,3.7928,4.1376,21260,0
