Date,Open,High,Low,Close,Volume,OpenInt
20110615,12,12.2,11.93,12,158507,0
20110616,11.86,11.9,11.63,11.84,13812,0
20110617,11.83,11.83,11.7,11.71,4353,0
20110620,11.56,11.71,11.56,11.65,6601,0
20110621,11.61,11.65,11.49,11.64,21762,0
20110622,11.64,11.7,11.6,11.7,8462,0
20110624,11.74,11.8,11.74,11.8,9067,0
20110627,11.8,11.8,11.49,11.5,7532,0
20110628,11.65,11.65,10.9,10.9,2488,0
20110629,10.9,11.6,10.9,11.4,3201,0
20110630,11.49,11.49,11.31,11.45,1302,0
20110701,11.49,11.49,11.01,11.25,5269,0
20110704,11.25,11.38,11.25,11.38,104,0
20110705,11.38,11.38,11.15,11.15,67,0
20110706,11.38,11.38,11,11.1,2572,0
20110707,11.35,11.35,11,11.2,5490,0
20110708,11.35,11.35,11.34,11.34,102,0
20110711,11.44,11.44,11.05,11.25,1002,0
20110712,11.3,11.3,10.5,10.9,8746,0
20110713,11.15,11.2,11,11.15,6754,0
20110714,11.19,11.19,10.9,11.15,3770,0
20110715,11,11.15,11,11,2110,0
20110718,11.19,11.19,10.9,11.1,1183,0
20110719,10.6,11,10.6,11,5552,0
20110720,11,11,10.4,11,8036,0
20110721,11,11,10.5,11,6400,0
20110722,11,11,10.81,11,5002,0
20110725,11,11,10.99,10.99,2,0
20110726,11,11,10.98,10.99,41250,0
20110727,10.91,11,10.91,11,1112,0
20110728,11,11,10.78,11,1390,0
20110729,11,11,11,11,2,0
20110801,11,11,10.99,10.99,2,0
20110802,10.8,10.99,10.65,10.7,12767,0
20110803,10.69,10.69,10.6,10.6,2468,0
20110804,10.71,10.75,9.8,10.24,36623,0
20110805,9.31,9.75,9,9.74,28433,0
20110808,9.01,9.25,9.01,9.1,21095,0
20110809,9.1,9.1,7.51,8.2,26075,0
20110810,8.68,8.8,7.9,7.9,10994,0
20110811,8,8,7.6,7.75,18122,0
20110812,7.8,8,7.51,7.7,33495,0
20110816,7.85,8.1,7.35,7.7,50894,0
20110817,7.81,8,7.61,7.65,26562,0
20110818,7.65,7.7,7.2,7.4,12153,0
20110819,7,7.5,6.88,7.5,10479,0
20110822,7.3,7.3,7.13,7.25,204737,0
20110823,7.3,7.3,7.15,7.3,53669,0
20110824,7.3,7.98,7.21,7.88,48837,0
20110825,7.88,8.28,7.81,7.98,15681,0
20110826,7.8,7.8,7.6,7.8,2738,0
20110829,7.9,8.24,7.9,8.24,2099,0
20110830,8.25,8.8,8.25,8.6,3466,0
20110831,8.8,9,8.66,9,6129,0
20110901,9.7,9.7,8.86,9.25,3250,0
20110902,9.15,9.15,8.8,9.15,1046,0
20110905,8.95,8.95,8.25,8.6,4847,0
20110906,8.68,9.04,8.61,9,4752,0
20110907,9.49,9.49,8.8,9.49,2797,0
20110908,9.49,9.7,9.01,9.7,7731,0
20110909,9.45,9.7,9,9.5,8285,0
20110912,9.69,9.69,8.75,9.07,1602,0
20110913,9.01,9.22,9,9.1,1902,0
20110914,9.21,9.21,8.79,8.8,1884,0
20110915,8.8,8.8,8.4,8.63,13723,0
20110916,8.69,9.19,8.3,8.32,4486,0
20110919,8.69,8.69,8.24,8.24,1942,0
20110920,8.5,8.5,8.5,8.5,1,0
20110921,8.5,8.59,7.81,8.25,5266,0
20110922,8.45,8.65,8,8.16,2407,0
20110923,8.21,8.21,7.95,8.15,8699,0
20110926,8.15,8.15,7.86,7.86,1005,0
20110927,7.88,8.1,7.88,8.1,2786,0
20110928,8.1,8.1,8,8.1,2002,0
20110929,8.11,8.11,7.82,7.82,1968,0
20110930,7.82,8.1,7.81,8.1,1199,0
20111003,8.1,8.1,7.65,7.65,1185,0
20111004,7.65,7.81,7.65,7.81,192,0
20111005,7.81,7.82,7.65,7.65,2568,0
20111006,7.6,7.74,7.6,7.7,1655,0
20111007,7.73,7.73,7.48,7.69,50786,0
20111010,7.72,7.72,7.5,7.6,502,0
20111011,7.73,7.73,7.4,7.45,6127,0
20111012,7.46,7.46,7.2,7.45,822,0
20111013,7.45,7.45,7.1,7.29,207428,0
20111014,7.29,7.3,7.15,7.3,100,0
20111017,7.3,7.3,7.25,7.3,379,0
20111018,7.3,7.3,7.05,7.08,501,0
20111019,7.2,7.3,7.05,7.27,2216,0
20111020,7.26,7.26,7.01,7.01,102,0
20111021,7.27,7.27,6.78,6.8,214102,0
20111024,6.6,6.79,6.6,6.79,13392,0
20111025,6.8,6.8,6.8,6.8,1,0
20111026,6.8,6.86,6.75,6.75,850,0
20111027,6.79,7.19,6.55,7.19,9074,0
20111028,7.19,7.19,7.08,7.08,270,0
20111031,7,7,6.8,6.9,443,0
20111102,6.9,6.9,6.23,6.65,8343,0
20111103,6.69,6.69,6.2,6.2,7980,0
20111104,6.25,6.45,6.1,6.18,8189,0
20111107,6.25,6.25,6.25,6.25,511,0
20111108,6.35,6.35,6.35,6.35,2,0
20111109,6.35,6.35,6.12,6.12,902,0
20111110,6.3,6.3,6.25,6.25,151,0
20111114,6.25,6.25,5.63,5.7,5584,0
20111115,5.74,5.74,5.31,5.44,2751,0
20111116,5.44,5.51,4.99,5.11,9240,0
20111117,5.1,5.2,4.81,4.98,3196,0
20111118,4.97,4.97,4.83,4.9,2150,0
20111121,4.89,4.89,4.75,4.87,292,0
20111122,4.8,4.8,4.5,4.57,3625,0
20111123,4.57,4.57,4.5,4.5,502,0
20111124,4.5,4.5,4.44,4.44,415,0
20111125,4.32,4.45,4.32,4.45,43,0
20111128,4.5,4.5,4.5,4.5,2,0
20111129,4.55,4.56,4.34,4.38,2304,0
20111130,4.38,4.38,4.09,4.3,4353,0
20111201,4.25,4.3,3.9,4,6198,0
20111202,3.99,3.99,3.3,3.58,21894,0
20111205,3.6,3.6,3.2,3.2,24584,0
20111206,3.21,3.21,3.04,3.09,22872,0
20111207,3.1,3.24,2.97,3,12611,0
20111208,3.01,3.01,2.7,2.8,42444,0
20111209,2.8,3,2.71,2.71,17330,0
20111212,2.77,2.84,2.75,2.84,861,0
20111213,2.9,3.1,2.9,3,13005,0
20111214,3.02,3.1,3,3.01,10495,0
20111215,3.09,3.09,2.98,3,22841,0
20111216,3,3.19,3,3.01,24294,0
20111219,3.01,3.01,3,3,15138,0
20111220,3,3.02,3,3.01,4062,0
20111221,3.04,3.04,3,3.03,1452,0
20111222,3,3,2.95,3,938,0
20111223,2.92,2.99,2.76,2.99,5699,0
20111227,2.99,2.99,2.71,2.8,11986,0
20111228,2.88,2.88,2.8,2.87,80,0
20111229,2.95,2.99,2.82,2.87,3343,0
20111230,2.85,3.1,2.77,2.99,4108,0
20120102,3.13,3.13,2.95,3.08,8972,0
20120103,3.09,3.09,3,3.05,1003,0
20120104,3.1,3.1,3.1,3.1,1,0
20120105,2.96,2.99,2.79,2.97,11231,0
20120109,3,3.1,2.92,2.99,1789,0
20120110,3.13,3.26,3,3.03,61307,0
20120111,3.1,3.1,2.94,2.96,34201,0
20120112,3,3.01,2.83,2.96,46602,0
20120113,2.96,2.96,2.9,2.9,11147,0
