Date,Open,High,Low,Close,Volume,OpenInt
20071128,6.055,6.8624,6.0469,6.8463,159281,0
20071129,7.5082,7.5082,6.8785,7.1045,207096,0
20071130,7.1045,7.1045,6.6282,6.9835,91436,0
20071203,7.1045,7.1045,6.7816,6.9027,88091,0
20071204,7.1045,7.1045,6.6201,6.9431,41509,0
20071205,6.9754,6.9754,6.6201,6.7493,134945,0
20071206,6.7493,6.7574,6.5798,6.5879,49349,0
20071207,6.6201,6.6282,6.5798,6.5879,169089,0
20071210,6.5475,6.8544,6.5394,6.7897,164964,0
20071211,6.9431,6.9431,6.7009,6.7009,24632,0
20071212,6.5394,6.7009,6.5394,6.6201,43726,0
20071213,6.5475,6.6201,6.5475,6.6201,26465,0
20071214,6.6201,6.6201,6.604,6.6201,70565,0
20071217,6.6201,6.6201,6.5394,6.6121,42831,0
20071218,6.5394,6.5394,6.2972,6.2972,7072,0
20071219,6.3214,6.5394,6.3214,6.5394,10174,0
20071220,6.2811,6.6201,6.2811,6.6201,9430,0
20071221,6.6201,6.6201,6.4586,6.4586,67374,0
20071227,6.4586,6.4586,5.8935,5.9742,30512,0
20071228,6.055,6.4586,6.055,6.4586,6444,0
20080102,6.7655,6.7655,6.4586,6.4747,26373,0
20080103,6.4991,6.4991,6.378,6.378,772,0
20080104,6.4506,6.4586,6.378,6.378,6845,0
20080107,6.3537,6.3537,6.055,6.063,2291,0
20080108,6.0954,6.2164,6.055,6.2164,5851,0
20080109,6.055,6.1358,5.8612,6.055,5675,0
20080110,5.8693,5.8693,5.7887,5.8693,10019,0
20080111,5.8451,5.8451,5.6917,5.6917,3231,0
20080114,6.0388,6.0388,5.6514,5.732,28880,0
20080115,5.9501,5.9501,5.732,5.9501,7655,0
20080116,5.732,5.8129,5.506,5.8129,247265,0
20080117,5.7482,6.055,5.6514,5.8612,127176,0
20080118,5.7724,5.9742,5.7724,5.9742,16586,0
20080121,6.055,6.055,5.6353,5.6514,19394,0
20080122,5.6514,5.732,5.5787,5.732,20955,0
20080123,5.732,5.8531,5.6029,5.6353,17229,0
20080124,5.8451,5.8451,5.7078,5.7078,2388,0
20080125,5.724,5.9742,5.724,5.9742,44011,0
20080128,5.8289,6.2164,5.8289,6.1358,848253,0
20080129,6.3375,6.6444,6.2972,6.4183,5838,0
20080130,6.5152,6.5152,6.2164,6.2164,8366,0
20080131,6.4586,6.5233,6.4586,6.4829,46555,0
20080201,6.604,6.604,6.3941,6.4506,5624,0
20080204,6.4506,6.7009,6.4506,6.6605,27624,0
20080205,6.5394,6.7009,6.4586,6.4747,16286,0
20080206,6.3053,6.6928,6.3053,6.6928,10071,0
20080207,6.709,6.709,6.7009,6.7009,1452,0
20080208,6.7009,6.7735,6.6605,6.7735,1177,0
20080211,6.8219,6.9188,6.7816,6.9027,6417,0
20080212,6.9108,7.7424,6.9108,7.7424,31519,0
20080213,7.9361,8.7192,7.9361,8.356,56233,0
20080214,8.477,8.7192,7.9926,8.0654,97682,0
20080215,8.0087,9.2036,8.0087,9.0422,327866,0
20080218,9.68,10.172,9.4055,9.567,149169,0
20080219,9.567,9.607,9.1794,9.365,57168,0
20080220,9.1229,9.2844,8.9937,9.0017,65384,0
20080221,9.2844,9.365,9.0017,9.1875,20716,0
20080222,9.2683,9.2683,8.8081,9.0017,10352,0
