Date,Open,High,Low,Close,Volume,OpenInt
20080402,9.5,9.55,8.71,8.88,81490,0
20080403,8.84,8.84,7.6,8,44445,0
20080404,7.99,8.4,7.66,7.71,31355,0
20080407,7.73,7.88,7.7,7.75,22201,0
20080408,7.88,7.88,7.6,7.61,6736,0
20080409,7.61,7.61,7.5,7.5,4520,0
20080410,7.42,7.42,7.18,7.18,3801,0
20080411,7.2,7.2,6.61,6.7,33471,0
20080414,6.7,6.7,6.16,6.21,32852,0
20080415,6.2,6.5,6.2,6.5,9970,0
20080416,6.7,7.3,6.7,7.13,31026,0
20080417,7.15,7.25,7,7.19,15315,0
20080418,7.2,7.2,6.86,7.08,3326,0
20080421,6.9,6.95,6.6,6.8,2978,0
20080422,6.98,6.98,6.31,6.49,5466,0
20080423,6.49,6.49,6.05,6.15,610,0
20080424,6.06,6.37,6.06,6.11,2946,0
20080425,6,6.31,5.65,6.24,8671,0
20080428,6.3,6.49,6.3,6.4,6227,0
20080429,6.2,6.54,6.2,6.35,3359,0
20080430,6.38,6.38,6.15,6.34,2398,0
20080505,6.34,6.48,6.2,6.48,4420,0
20080506,6.48,6.85,6.46,6.78,3794,0
20080507,6.78,6.78,6.6,6.75,1610,0
20080508,6.69,6.7,6.25,6.65,1908,0
20080509,6.4,6.62,6.27,6.5,424,0
20080512,6.43,6.43,6.15,6.3,2233,0
20080513,6.3,6.3,6.21,6.21,1300,0
20080514,6.3,6.3,6.13,6.29,9171,0
20080515,6.21,6.21,6.15,6.15,2265,0
20080516,6.12,6.29,6.1,6.29,1340,0
20080519,6.29,6.38,6.16,6.2,6996,0
20080520,6.15,6.15,6.08,6.11,3213,0
20080521,6.5,6.5,6.1,6.4,1031,0
20080523,6.49,6.49,6.4,6.44,1310,0
20080526,6.43,6.43,6,6.33,2590,0
20080527,6.2,6.2,6.1,6.2,285,0
20080528,6.1,6.25,6.1,6.25,1241,0
20080529,6.2,6.25,5.85,6.19,3477,0
20080530,6.17,6.17,5.91,6.14,3738,0
20080602,5.81,6.04,5.8,6.04,5512,0
20080603,5.67,6.2,5.67,6.15,12722,0
20080604,6.19,6.19,6.04,6.16,2972,0
20080605,6.2,6.35,6.15,6.24,33826,0
20080606,6.29,6.29,6.1,6.26,533,0
20080609,6.18,6.24,6,6.1,2902,0
20080610,6.2,6.2,5.85,6,1512,0
20080611,5.92,5.98,5.5,5.51,13915,0
20080612,5.52,5.52,5.17,5.29,6843,0
20080613,5.3,5.3,5.15,5.28,240,0
20080616,5.33,5.56,5.1,5.56,710,0
20080618,5.48,5.48,5.16,5.48,85,0
20080623,5.15,5.48,5.15,5.48,865,0
20080624,5.11,5.42,4.71,5.42,2102,0
20080625,5.16,5.16,4.9,5.15,4608,0
20080626,4.86,5.15,4.86,5.1,2669,0
20080627,5,5.09,4.81,5.09,1230,0
20080630,5,5.1,5,5,785,0
20080701,4.95,5,4.84,4.95,1007,0
20080702,4.5,4.89,4.5,4.89,1833,0
20080703,4.89,4.89,4.7,4.8,693,0
20080704,4.8,5.2,4.8,4.9,4669,0
20080707,5.05,5.05,4.98,4.98,408,0
20080708,5.1,5.1,4.75,4.75,4703,0
20080709,4.99,4.99,4.75,4.75,1881,0
20080710,4.75,4.94,4.64,4.93,314,0
20080711,4.56,4.56,4.52,4.53,5447,0
20080714,4.55,4.55,4.5,4.55,3942,0
20080715,4.5,4.5,4.3,4.3,1010,0
20080716,4.3,4.33,4.24,4.3,1057,0
20080717,4.29,4.29,4.22,4.27,3036,0
20080718,4.28,4.28,4.25,4.28,1505,0
20080721,4.29,4.29,4.27,4.29,1661,0
20080722,4.3,4.3,4.25,4.29,785,0
20080723,4.28,4.39,4,4.39,3547,0
20080724,4.45,4.74,4.45,4.65,8580,0
20080725,4.65,4.74,4.65,4.74,6888,0
20080728,4.62,4.74,4.62,4.7,3550,0
20080729,4.7,4.74,4.46,4.7,9244,0
20080730,4.6,4.75,4.55,4.74,7107,0
20080731,4.74,4.75,4.6,4.72,4765,0
20080801,4.71,4.72,4.71,4.72,315,0
20080804,4.74,4.74,4.6,4.74,2749,0
20080805,4.74,4.75,4.5,4.75,4759,0
20080806,4.75,4.95,4.71,4.9,7180,0
20080808,4.9,4.9,4.84,4.84,483,0
20080811,4.8,4.99,4.8,4.96,948,0
20080812,4.98,4.98,4.6,4.6,4927,0
20080813,4.96,4.99,4.8,4.8,716,0
20080814,4.75,4.96,4.75,4.9,853,0
20080818,4.81,4.97,4.75,4.97,2923,0
20080819,4.96,4.99,4.7,4.95,2733,0
20080821,4.85,4.99,4.8,4.98,3246,0
20080822,4.98,4.99,4.8,4.98,5304,0
20080825,4.97,4.98,4.97,4.98,319,0
20080826,4.97,4.97,4.8,4.97,3013,0
20080827,4.98,4.98,4.98,4.98,85,0
20080828,4.95,4.98,4.83,4.98,2320,0
20080829,4.8,4.95,4.8,4.95,423,0
20080901,4.79,4.9,4.77,4.8,1659,0
20080902,4.85,4.89,4.75,4.75,1827,0
20080903,4.77,4.88,4.7,4.85,3249,0
20080904,4.72,4.85,4.72,4.8,1270,0
20080905,4.75,4.8,4.61,4.75,525,0
20080908,4.8,4.88,4.8,4.88,255,0
20080909,4.61,4.62,4.6,4.61,4000,0
20080910,4.73,4.73,4.6,4.72,1194,0
20080911,4.68,4.68,4.6,4.6,596,0
20080912,4.6,4.7,4.6,4.7,1259,0
20080915,4.7,4.7,4.6,4.6,458,0
20080916,4.6,4.7,4.58,4.7,934,0
20080917,4.69,4.69,4.6,4.6,149,0
20080918,4.6,4.7,4.6,4.7,371,0
20080919,4.6,4.7,4.6,4.7,1140,0
20080922,4.66,4.7,4.65,4.7,2010,0
20080923,4.5,4.68,4.5,4.68,1050,0
20080924,4.51,4.65,4.51,4.65,1920,0
20080925,4.68,4.68,4.68,4.68,182,0
20080926,4.68,4.68,4.68,4.68,212,0
20080929,4.68,4.68,4.68,4.68,438,0
20080930,4.5,4.64,4.5,4.64,1000,0
20081001,4.5,4.67,4.5,4.67,950,0
20081002,4.67,4.68,4.4,4.68,905,0
20081003,4.4,4.65,4.4,4.65,250,0
20081006,4.67,4.69,4.3,4.6,5784,0
20081007,4.07,4.54,4.07,4.39,6568,0
20081008,3.62,4.29,3.6,4.18,14608,0
20081009,4.15,4.15,4,4.15,1699,0
20081010,3.98,3.98,3.6,3.61,4998,0
20081013,3.7,3.95,3.7,3.92,4086,0
20081014,4.18,4.2,4.1,4.2,6261,0
20081016,4.06,4.19,3.85,4.19,510,0
20081017,3.8,4.08,3.8,4.08,1113,0
20081021,4.09,4.09,3.85,4.05,383,0
20081022,4.05,4.08,3.95,3.95,753,0
20081023,4.04,4.04,3.57,4.04,892,0
20081024,4.02,4.02,3.99,3.99,450,0
20081027,3.6,3.9,3.6,3.9,1166,0
20081028,3.9,4.05,3.9,4,1069,0
20081029,4,4.22,4,4.22,2005,0
20081030,4.2,4.2,3.72,3.8,8822,0
20081031,3.96,4.14,3.89,4.14,1317,0
20081103,4.19,4.2,3.95,4.18,6112,0
