Date,Open,High,Low,Close,Volume,OpenInt
20120426,5.8983,7.8644,5.8983,7.7661,502633,0
20120427,7.2746,7.8054,7.2254,7.2254,10045,0
20120430,7.65,7.65,7.14,7.14,8797,0
20120502,7.5597,7.6186,6.8814,7.3139,16463,0
20120504,7.3729,7.3729,6.9895,7.3139,7876,0
20120507,7.2746,7.3532,7.078,7.3532,2053,0
20120508,7.3532,7.3532,7.3532,7.3532,20,0
20120509,7.2746,7.2746,6.9797,6.9797,615,0
20120510,7.078,7.078,6.6356,6.8814,3244,0
20120511,6.8814,6.8814,6.5373,6.8715,5722,0
20120514,6.8715,6.8715,5.9475,6.2915,3226,0
20120515,6.2325,6.2424,5.7902,6.2424,20071,0
20120516,6.2424,6.2424,6.2424,6.2424,161,0
20120517,6.2424,6.2424,5.9475,5.9475,127,0
20120518,5.9475,5.9475,5.8983,5.8983,566,0
20120521,5.9475,5.9475,5.9475,5.9475,10,0
20120522,5.9475,5.9475,5.9475,5.9475,10,0
20120523,6.1834,6.8814,6.1834,6.7437,6641,0
20120524,6.8814,7.3729,6.3997,7.3729,5091,0
20120525,7.4614,7.4614,6.9993,7.3237,3197,0
20120528,7.3729,7.3729,6.6356,6.8814,18468,0
20120529,6.8814,6.8814,6.3898,6.8814,5779,0
20120530,6.8814,6.8814,5.9475,5.9475,5402,0
20120531,5.95,6.39,5.91,6.09,3770,0
20120601,6.3702,6.3702,5.8983,5.9966,28691,0
20120604,5.9966,5.9966,5.7017,5.8983,5952,0
20120605,5.8983,5.8983,5.5051,5.859,8107,0
20120606,5.8885,5.8983,5.6034,5.8983,2473,0
20120608,5.8983,5.8983,5.6034,5.8983,1524,0
20120611,5.8983,5.8983,5.6525,5.8983,2161,0
20120612,5.8983,5.8983,5.3969,5.8983,3139,0
20120613,5.8983,5.8983,5.5051,5.8393,5430,0
20120614,5.8,5.9475,5.3281,5.8786,6759,0
20120615,5.8885,5.8885,5.3281,5.6525,57910,0
20120618,5.7902,5.8885,5.6034,5.8492,1483,0
20120619,5.741,5.7508,5.4068,5.7017,17347,0
20120620,5.7017,5.7017,4.9153,4.9153,47639,0
20120621,5.2102,5.8,5.2102,5.8,15676,0
20120622,5.8885,5.8885,5.4461,5.6034,17501,0
20120625,5.6525,5.7508,5.6132,5.6525,1277,0
20120626,5.7508,5.9966,5.5051,5.6034,10199,0
20120627,6.1637,6.2915,5.8885,6.2915,4460,0
20120628,6.2915,6.4881,6.0949,6.2424,4560,0
20120629,6.24,6.39,6.09,6.39,3957,0
20120702,6.3898,6.3898,6.0753,6.3898,6338,0
20120703,6.4881,6.4881,5.9966,6.1441,3430,0
20120704,6.3112,6.3112,5.8983,5.8983,3370,0
20120705,5.8983,6.2424,5.8983,6.1932,11856,0
20120706,6.2129,6.2129,5.918,6.1932,1103,0
20120709,6.1834,6.1834,5.8983,5.9475,2554,0
20120710,6.1736,6.1736,5.5739,5.8786,7542,0
20120711,5.9868,5.9868,5.682,5.9278,1521,0
20120712,5.918,5.918,5.8,5.8983,2303,0
20120713,5.8983,5.8983,5.4068,5.8786,5278,0
20120716,5.8885,5.8885,5.4068,5.7508,3942,0
20120717,5.4658,5.7214,5.3773,5.5051,3164,0
20120718,5.31,5.65,5.23,5.41,4082,0
20120719,5.1414,5.4068,5.0136,5.4068,11658,0
20120720,5.3871,5.3871,5.0037,5.0037,9417,0
20120723,5.1119,5.3478,4.9054,5.2003,27806,0
20120724,5.2,5.2,5.2,5.2,18,0
20120725,5.1119,5.1119,4.8169,5.0136,1377,0
20120726,5.0136,5.0136,5.0136,5.0136,15,0
20120727,5.0136,5.0136,4.9153,4.9939,4105,0
20120730,4.9939,4.9939,4.7875,4.9447,2652,0
20120731,4.96,4.96,4.7,4.92,4170,0
20120801,4.9054,5.4068,4.4827,5.4068,15892,0
20120802,5.2593,5.6525,5.0037,5.6231,11060,0
20120803,5.6525,5.6525,5.0922,5.161,9985,0
20120806,5.6034,5.6034,5.2003,5.5837,830,0
20120807,5.6525,5.6525,5.5051,5.6525,1567,0
20120808,5.6525,5.6525,5.5051,5.6525,2992,0
20120809,5.6427,5.6525,5.6427,5.6525,308,0
20120810,5.6525,5.6525,5.6525,5.6525,20,0
20120813,5.6525,5.6525,5.6525,5.6525,3,0
20120814,5.6525,5.6525,4.9153,4.9153,4056,0
20120816,5.2397,5.2397,4.8661,4.9153,4405,0
20120817,5.0922,5.0922,4.4237,4.7186,5483,0
20120820,5.1512,5.1512,4.3451,4.5024,13972,0
20120821,4.5515,4.5515,4.1485,4.3746,9602,0
20120822,4.4532,4.4532,4.178,4.3156,13424,0
20120823,4.4532,4.4631,4.2468,4.3058,7819,0
20120824,4.4532,4.4532,4.1485,4.3942,3663,0
20120827,4.4336,4.4336,4.1976,4.3746,378586,0
20120828,4.4139,4.4139,4.4041,4.4139,5091,0
20120829,4.4237,4.6203,4.2566,4.6203,6919,0
20120830,4.4336,4.64,4.4336,4.64,981,0
20120831,4.87,4.87,4.87,4.87,10,0
20120903,4.8464,4.8464,4.7973,4.7973,10071,0
20120904,5.08,5.08,4.62,4.79,583,0
20120905,4.75,4.75,4.45,4.62,1550,0
20120906,4.44,4.84,4.43,4.77,8659,0
20120907,4.77,4.92,4.47,4.92,6931,0
20120910,5.0529,5.0529,4.758,5.0136,3109,0
20120911,5.0136,5.0136,4.9153,5.0136,1580,0
20120912,5.0136,5.0627,4.9054,5.0627,3258,0
20120913,5.0627,5.0627,5.0136,5.0431,748,0
20120914,5.04,5.11,4.83,5.11,4864,0
20120917,5.1119,5.1119,5.1119,5.1119,10,0
20120918,5.11,5.31,4.89,5.31,4505,0
20120919,5.44,5.79,5.44,5.7,2459,0
20120920,5.85,5.85,5.56,5.85,9623,0
20120921,5.84,5.84,5.84,5.84,3,0
20120924,5.9,5.9,5.84,5.84,56,0
20120925,5.84,5.84,5.56,5.8,1403,0
20120926,5.8,5.8,5.8,5.8,7005,0
20120927,5.89,5.89,5.89,5.89,357,0
20120928,5.92,5.92,5.92,5.92,80,0
20121001,6.2,6.2,5.8,5.8,11172,0
20121002,5.75,5.8,5.56,5.8,2340,0
20121003,5.8,5.8,5.8,5.8,22,0
20121004,5.8,5.8,5.8,5.8,100,0
20121005,6,6,5.7,5.8,60098,0
20121008,5.8,5.8,5.79,5.79,74421,0
20121009,5.8,5.8,5.77,5.77,16160,0
20121010,5.8,5.8,5.42,5.45,1782,0
20121011,5.59,5.8,5.49,5.8,10876,0
20121012,5.9,5.9,5.9,5.9,25,0
20121015,5.9,5.9,5.9,5.9,15,0
20121016,5.9,5.9,5.9,5.9,15,0
20121017,5.8,5.8,5.77,5.8,10015,0
20121018,5.9,5.9,5.79,5.79,235,0
20121019,5.8,5.8,5.6,5.79,11991,0
20121022,5.7,5.7,5.65,5.65,3560,0
20121023,5.65,5.65,5.65,5.65,15,0
20121024,5.65,5.65,5.65,5.65,3015,0
20121025,5.65,5.65,5.65,5.65,15,0
20121026,5.65,5.79,5.4,5.77,3626,0
20121029,5.88,5.88,5.57,5.8,4656,0
20121030,5.79,5.79,5.52,5.79,5924,0
20121031,5.79,5.8,5.52,5.8,40295,0
20121102,5.89,5.9,5.89,5.89,2098,0
20121105,6.22,6.22,5.8,5.8,3233,0
20121106,5.8,5.8,5.8,5.8,2515,0
20121107,5.8,5.8,5.78,5.78,115,0
20121108,5.8,5.8,5.56,5.69,4498,0
20121109,5.8,5.8,5.55,5.79,1035,0
20121112,6,6,5.7,5.8,4032,0
20121113,5.8,5.8,5.45,5.57,7990,0
20121114,5.78,5.78,5.31,5.45,2295,0
20121115,5.53,5.53,5.28,5.34,1908,0
20121116,5.33,5.33,5,5.05,3728,0
20121119,5.09,5.09,5,5.04,1410,0
20121120,5.05,5.05,4.9,4.99,60,0
20121121,4.99,5,4.86,4.86,1851,0
20121122,4.99,4.99,4.56,4.85,10906,0
20121123,4.84,5.29,4.83,5.29,245384,0
20121126,5.47,5.6,5.25,5.5,20439,0
20121127,5.5,5.5,5.4,5.48,3689,0
20121128,5.46,5.46,5.22,5.4,62475,0
20121129,5.48,5.48,5.21,5.47,1489,0
20121130,5.47,5.5,5.45,5.47,2065,0
20121203,5.1,5.49,5.1,5.34,2117,0
20121204,5.78,5.78,5.4,5.4,2193,0
20121205,5.4,5.4,5.23,5.25,6660,0
20121206,5.7,5.7,5.25,5.25,1494,0
20121207,5.39,5.39,5.39,5.39,5,0
20121210,5.39,5.4,5.2,5.4,1505,0
20121211,5.4,5.4,5.2,5.39,1566,0
20121212,5.78,5.78,5.4,5.45,11584,0
20121213,5.5,5.5,5.31,5.4,355,0
20121214,5.4,5.45,5.22,5.45,352062,0
20121217,5.6,5.6,5.24,5.5,44417,0
20121218,5.89,5.89,5.35,5.54,12063,0
20121219,5.88,5.88,5.5,5.6,306357,0
20121220,5.8,5.8,5.5,5.6,28954,0
