Date,Open,High,Low,Close,Volume,OpenInt
19980313,75,75,75,75,29434,0
19980316,69.5,69.5,69.5,69.5,5467,0
19980317,63,63,63,63,5980,0
19980319,61,61,61,61,7643,0
19980320,61,61,61,61,4999,0
19980323,62,62,62,62,5745,0
19980324,61.5,61.5,61.5,61.5,2080,0
19980325,63,63,63,63,3178,0
19980326,62.5,62.5,62.5,62.5,3474,0
19980327,61.5,61.5,61.5,61.5,6798,0
19980330,60,60,60,60,5802,0
19980331,58.5,58.5,58.5,58.5,8242,0
19980401,58.5,58.5,58.5,58.5,9770,0
19980402,57,57,57,57,2202,0
19980406,57,57,57,57,6100,0
19980407,58,58,58,58,2215,0
19980408,60,60,60,60,3763,0
19980409,60,60,60,60,6861,0
19980414,62,62,62,62,756,0
19980415,62.5,62.5,62.5,62.5,727,0
19980416,62.5,62.5,62.5,62.5,1876,0
19980417,62.5,62.5,62.5,62.5,3598,0
19980420,60,60,60,60,1101,0
19980421,59,59,59,59,330,0
19980422,58.5,58.5,58.5,58.5,3454,0
19980423,59.5,59.5,59.5,59.5,1716,0
19980424,60,60,60,60,3249,0
19980427,60,60,60,60,2764,0
19980428,59,59,59,59,2255,0
19980429,58,58,58,58,2716,0
19980430,58,58,58,58,814,0
19980504,59.5,59.5,59.5,59.5,1907,0
19980505,59.5,59.5,59.5,59.5,1714,0
19980506,58,58,58,58,288,0
19980507,57,57,57,57,324,0
19980508,58,58,58,58,1020,0
19980511,58,58,58,58,1010,0
19980512,58,58,58,58,781,0
19980513,58,58,58,58,614,0
19980514,52.5,52.5,52.5,52.5,2088,0
19980515,50,50,50,50,1303,0
19980518,48,48,48,48,3644,0
19980519,45,45,45,45,1447,0
19980520,42,42,42,42,2464,0
19980521,46,46,46,46,674,0
19980522,44,44,44,44,2975,0
19980525,43,43,43,43,614,0
19980526,43,43,43,43,250,0
19980527,40,40,40,40,1550,0
19980528,36,36,36,36,0,0
19980529,39.6,39.6,39.6,39.6,2100,0
19980601,37,37,37,37,173,0
19980602,34.5,34.5,34.5,34.5,647,0
19980603,35,35,35,35,45,0
19980604,36,36,36,36,318,0
19980605,36,36,36,36,2614,0
19980608,37,37,37,37,443,0
19980609,33.3,33.3,33.3,33.3,83,0
19980610,32.9,32.9,32.9,32.9,2458,0
19980615,29.7,29.7,29.7,29.7,5144,0
19980616,28.5,28.5,28.5,28.5,643,0
19980617,31.3,31.3,31.3,31.3,1424,0
19980618,34.4,34.4,34.4,34.4,323,0
19980619,31,31,31,31,810,0
19980622,32,32,32,32,145,0
19980623,32.2,32.2,32.2,32.2,200,0
19980624,30,30,30,30,381,0
19980625,30.3,30.3,30.3,30.3,562,0
19980626,31,31,31,31,337,0
19980629,31,31,31,31,1221,0
19980630,30.5,30.5,30.5,30.5,525,0
19980701,31,31,31,31,50,0
19980702,32.5,32.5,32.5,32.5,100,0
19980703,32,32,32,32,1168,0
19980706,31,31,31,31,15393,0
19980707,31.5,31.5,31.5,31.5,279,0
19980708,28.4,28.4,28.4,28.4,6843,0
19980709,28,28,28,28,1829,0
19980710,27.9,27.9,27.9,27.9,1941,0
19980713,28.2,28.2,28.2,28.2,1648,0
19980714,30,30,30,30,350,0
19980715,29,29,29,29,265,0
19980716,28.2,28.2,28.2,28.2,4680,0
19980717,28.2,28.2,28.2,28.2,465,0
19980720,27,27,27,27,3449,0
19980721,27,27,27,27,660,0
19980722,25.6,25.6,25.6,25.6,300,0
19980723,25,25,25,25,3161,0
19980724,22.5,22.5,22.5,22.5,596,0
19980727,21,21,21,21,405,0
19980728,21,21,21,21,1241,0
19980729,20,20,20,20,700,0
19980730,20,20,20,20,1448,0
19980731,20,20,20,20,1494,0
19980803,18,18,18,18,1115,0
19980804,18,18,18,18,495,0
19980805,18.5,18.5,18.5,18.5,2198,0
19980806,18.5,18.5,18.5,18.5,1147,0
19980807,18,18,18,18,3424,0
19980810,19,19,19,19,1140,0
19980811,18.6,18.6,18.6,18.6,1393,0
19980812,19,19,19,19,636,0
19980813,18.9,18.9,18.9,18.9,805,0
19980814,18,18,18,18,480,0
19980817,18.5,18.5,18.5,18.5,5227,0
19980818,19,19,19,19,490,0
19980819,19,19,19,19,2690,0
19980820,18,18,18,18,2301,0
19980821,17.7,17.7,17.7,17.7,4082,0
19980824,17.6,17.6,17.6,17.6,2935,0
19980825,18.5,18.5,18.5,18.5,1700,0
19980826,18,18,18,18,2062,0
19980827,16.8,16.8,16.8,16.8,2352,0
19980828,15.2,15.2,15.2,15.2,5164,0
19980831,14,14,14,14,6295,0
19980901,13.3,13.3,13.3,13.3,5440,0
19980902,14.4,14.4,14.4,14.4,4692,0
19980903,13.2,13.2,13.2,13.2,5128,0
19980904,13.6,13.6,13.6,13.6,2556,0
19980907,14.1,14.1,14.1,14.1,755,0
19980908,15.5,15.5,15.5,15.5,7621,0
19980909,15.7,15.7,15.7,15.7,14299,0
19980910,15.7,15.7,15.7,15.7,2946,0
19980911,15.4,15.4,15.4,15.4,13634,0
19980914,16,16,16,16,7050,0
19980915,16,16,16,16,3100,0
19980916,16.6,16.6,16.6,16.6,416,0
19980917,16,16,16,16,4305,0
19980918,14.4,14.4,14.4,14.4,365,0
19980921,13.5,13.5,13.5,13.5,3882,0
19980922,14.2,14.2,14.2,14.2,5825,0
19980923,14.9,14.9,14.9,14.9,1397,0
19980924,16.1,16.1,16.1,16.1,13360,0
19980925,15.1,15.1,15.1,15.1,651,0
19980928,15.8,15.8,15.8,15.8,289,0
19980929,15.2,15.2,15.2,15.2,1979,0
19980930,14.8,14.8,14.8,14.8,2788,0
19981001,13.9,13.9,13.9,13.9,3759,0
19981002,13.3,13.3,13.3,13.3,11693,0
19981005,13.3,13.3,13.3,13.3,6590,0
19981006,13.3,13.3,13.3,13.3,1021,0
19981007,13.3,13.3,13.3,13.3,5081,0
19981008,13,13,13,13,5300,0
19981009,12.9,12.9,12.9,12.9,4806,0
19981012,12.9,12.9,12.9,12.9,14464,0
19981013,13,13,13,13,3140,0
19981014,12.7,12.7,12.7,12.7,4991,0
19981015,12.7,12.7,12.7,12.7,2930,0
19981016,12.5,12.5,12.5,12.5,9180,0
19981019,12.7,12.7,12.7,12.7,6482,0
19981020,12.7,12.7,12.7,12.7,12328,0
19981021,12.9,12.9,12.9,12.9,2865,0
19981022,13.1,13.1,13.1,13.1,11143,0
19981023,13.6,13.6,13.6,13.6,13902,0
19981026,14.9,14.9,14.9,14.9,13342,0
19981027,14.8,14.8,14.8,14.8,4749,0
19981028,14.5,14.5,14.5,14.5,8890,0
19981029,14.3,14.3,14.3,14.3,3398,0
19981030,14.1,14.1,14.1,14.1,8093,0
19981102,14.8,14.8,14.8,14.8,10748,0
19981103,14.8,14.8,14.8,14.8,1344,0
