Date,Open,High,Low,Close,Volume,OpenInt
19980311,34.773,34.773,34.773,34.773,84196,0
19980312,33.117,33.117,33.117,33.117,57087,0
19980313,35.186,35.186,35.186,35.186,55893,0
19980316,36.428,36.428,36.428,36.428,53320,0
19980317,38.25,38.25,38.25,38.25,39529,0
19980318,39.74,39.74,39.74,39.74,47116,0
19980319,39.574,39.574,39.574,39.574,38171,0
19980320,38.085,38.085,38.085,38.085,38462,0
19980323,36.428,36.428,36.428,36.428,13722,0
19980324,35.186,35.186,35.186,35.186,23503,0
19980325,35.269,35.269,35.269,35.269,18762,0
19980326,35.766,35.766,35.766,35.766,34610,0
19980327,35.435,35.435,35.435,35.435,18162,0
19980330,35.601,35.601,35.601,35.601,34802,0
19980331,35.435,35.435,35.435,35.435,28311,0
19980401,35.435,35.435,35.435,35.435,30646,0
19980402,35.601,35.601,35.601,35.601,16150,0
19980406,35.435,35.435,35.435,35.435,6995,0
19980407,35.683,35.683,35.683,35.683,15785,0
19980408,35.766,35.766,35.766,35.766,21246,0
19980409,35.601,35.601,35.601,35.601,30199,0
19980414,35.601,35.601,35.601,35.601,5690,0
19980415,35.352,35.352,35.352,35.352,5848,0
19980416,34.773,34.773,34.773,34.773,6019,0
19980417,33.944,33.944,33.944,33.944,5028,0
19980420,33.944,33.944,33.944,33.944,8271,0
19980421,32.62,32.62,32.62,32.62,9961,0
19980422,32.289,32.289,32.289,32.289,12493,0
19980423,31.047,31.047,31.047,31.047,7708,0
19980424,32.703,32.703,32.703,32.703,12407,0
19980427,31.875,31.875,31.875,31.875,7599,0
19980428,30.633,30.633,30.633,30.633,8582,0
19980429,32.123,32.123,32.123,32.123,11011,0
19980430,32.62,32.62,32.62,32.62,14529,0
19980504,35.849,35.849,35.849,35.849,51091,0
19980505,38.085,38.085,38.085,38.085,93645,0
19980506,41.81,41.81,41.81,41.81,121947,0
19980507,43.052,43.052,43.052,43.052,166619,0
19980508,39.905,39.905,39.905,39.905,12069,0
19980511,37.256,37.256,37.256,37.256,15832,0
19980512,34.359,34.359,34.359,34.359,9659,0
