Date,Open,High,Low,Close,Volume,OpenInt
19980626,17.553,17.553,17.553,17.553,70359,0
19980629,15.862,15.862,15.862,15.862,53600,0
19980630,15.193,15.193,15.193,15.193,105406,0
19980701,15.193,15.193,15.193,15.193,36167,0
19980702,15.016,15.016,15.016,15.016,40131,0
19980703,14.259,14.259,14.259,14.259,22641,0
19980706,13.502,13.502,13.502,13.502,48092,0
19980707,13.925,13.925,13.925,13.925,56488,0
19980708,14.092,14.092,14.092,14.092,46894,0
19980709,14.849,14.849,14.849,14.849,30083,0
19980710,14.347,14.347,14.347,14.347,23695,0
19980713,14.77,14.77,14.77,14.77,13985,0
19980714,14.849,14.849,14.849,14.849,16685,0
19980715,13.413,13.413,13.413,13.413,18608,0
19980716,13.502,13.502,13.502,13.502,23164,0
19980717,13.167,13.167,13.167,13.167,20202,0
19980720,12.912,12.912,12.912,12.912,15929,0
19980721,12.656,12.656,12.656,12.656,25910,0
19980722,11.387,11.387,11.387,11.387,11267,0
19980723,10.797,10.797,10.797,10.797,44279,0
19980724,10.797,10.797,10.797,10.797,34354,0
19980727,10.797,10.797,10.797,10.797,13363,0
19980728,10.552,10.552,10.552,10.552,39609,0
19980729,10.129,10.129,10.129,10.129,15803,0
19980730,10.129,10.129,10.129,10.129,23552,0
19980731,9.785,9.785,9.785,9.785,4335,0
19980803,9.0273,9.0273,9.0273,9.0273,7868,0
19980804,8.4373,8.4373,8.4373,8.4373,19387,0
19980805,7.7588,7.7588,7.7588,7.7588,13320,0
19980806,8.0144,8.0144,8.0144,8.0144,31760,0
19980807,8.1816,8.1816,8.1816,8.1816,18514,0
19980810,8.6045,8.6045,8.6045,8.6045,15254,0
19980811,8.7716,8.7716,8.7716,8.7716,30700,0
19980812,8.4373,8.4373,8.4373,8.4373,42632,0
19980813,8.2701,8.2701,8.2701,8.2701,26934,0
19980814,8.2701,8.2701,8.2701,8.2701,13269,0
19980817,7.8473,7.8473,7.8473,7.8473,5204,0
19980818,8.1029,8.1029,8.1029,8.1029,6870,0
19980819,8.2701,8.2701,8.2701,8.2701,14724,0
19980820,7.8473,7.8473,7.8473,7.8473,7352,0
19980821,7.5916,7.5916,7.5916,7.5916,12103,0
19980824,7.0409,7.0409,7.0409,7.0409,10677,0
19980825,6.9622,6.9622,6.9622,6.9622,8267,0
19980826,6.7459,6.7459,6.7459,6.7459,14588,0
19980827,6.0772,6.0772,6.0772,6.0772,22610,0
19980828,5.4872,5.4872,5.4872,5.4872,72142,0
19980831,5.91,5.91,5.91,5.91,39745,0
19980901,5.32,5.32,5.32,5.32,27417,0
19980902,5.8215,5.8215,5.8215,5.8215,5395,0
19980903,5.4872,5.4872,5.4872,5.4872,23436,0
19980904,5.6544,5.6544,5.6544,5.6544,22807,0
19980907,6.0772,6.0772,6.0772,6.0772,17613,0
19980908,5.9887,5.9887,5.9887,5.9887,16778,0
19980909,6.0772,6.0772,6.0772,6.0772,23502,0
19980910,6.0772,6.0772,6.0772,6.0772,9084,0
19980911,5.5659,5.5659,5.5659,5.5659,6420,0
19980914,5.8215,5.8215,5.8215,5.8215,7444,0
19980915,5.91,5.91,5.91,5.91,20787,0
19980916,6.1559,6.1559,6.1559,6.1559,11465,0
19980917,6.1165,6.1165,6.1165,6.1165,35293,0
19980918,5.91,5.91,5.91,5.91,62951,0
19980921,5.4872,5.4872,5.4872,5.4872,11484,0
19980922,5.733,5.733,5.733,5.733,12521,0
19980923,5.91,5.91,5.91,5.91,86116,0
19980924,6.3329,6.3329,6.3329,6.3329,51470,0
19980925,6.0772,6.0772,6.0772,6.0772,14466,0
19980928,6.0772,6.0772,6.0772,6.0772,1972,0
19980929,5.91,5.91,5.91,5.91,10390,0
19980930,5.6937,5.6937,5.6937,5.6937,16680,0
19981001,5.3987,5.3987,5.3987,5.3987,18466,0
19981002,5.2315,5.2315,5.2315,5.2315,32696,0
19981005,5.1922,5.1922,5.1922,5.1922,10094,0
19981006,5.2315,5.2315,5.2315,5.2315,15671,0
19981007,5.2708,5.2708,5.2708,5.2708,10878,0
19981008,4.9365,4.9365,4.9365,4.9365,32549,0
19981009,4.6808,4.6808,4.6808,4.6808,2850,0
19981012,4.553,4.553,4.553,4.553,20503,0
19981013,4.6415,4.6415,4.6415,4.6415,21415,0
19981014,4.5137,4.5137,4.5137,4.5137,12795,0
19981015,4.3071,4.3071,4.3071,4.3071,5570,0
19981016,4.5137,4.5137,4.5137,4.5137,6766,0
19981019,4.6415,4.6415,4.6415,4.6415,29768,0
19981020,5.1037,5.1037,5.1037,5.1037,22812,0
19981021,5.615,5.615,5.615,5.615,0,0
19981022,6.1559,6.1559,6.1559,6.1559,29890,0
19981023,6.7459,6.7459,6.7459,6.7459,43461,0
19981026,7.0901,7.0901,7.0901,7.0901,37267,0
