Date,Open,High,Low,Close,Volume,OpenInt
20121030,26.2,26.29,25.9,25.9,3031258,0
20121031,25.9,26.02,25.7,25.7,382811,0
20121102,25.7,25.7,25.3,25.4,279161,0
20121105,25.3,25.38,25.3,25.3,105699,0
20121106,25.3,25.64,25.3,25.57,59441,0
20121107,25.68,25.79,25.58,25.58,45605,0
20121108,25.58,25.65,25.57,25.65,31877,0
20121109,25.65,25.67,25.53,25.6,45164,0
20121112,25.6,25.66,25.55,25.55,77937,0
20121113,25.55,25.65,25.55,25.62,232231,0
20121114,25.7,25.86,25.7,25.84,114436,0
20121115,25.88,26,25.8,25.85,77634,0
20121116,25.89,26.07,25.89,26.02,87926,0
20121119,26,26.07,25.85,25.95,120784,0
20121120,25.9,25.93,25.7,25.72,33720,0
20121121,25.65,25.69,25.6,25.61,25384,0
20121122,25.6,26.28,25.51,26.26,567454,0
20121123,26.2,26.36,26.07,26.3,111113,0
20121126,26.3,26.43,26.3,26.42,424649,0
20121127,26.42,26.42,26.21,26.37,34040,0
20121128,26.3,26.3,26.14,26.18,17660,0
20121129,26.23,26.4,26.17,26.37,52241,0
20121130,26.4,26.4,26.31,26.36,43072,0
20121203,26.36,26.36,26.2,26.27,42435,0
20121204,26.22,26.3,26.22,26.3,51849,0
20121205,26.23,26.32,26.22,26.24,42871,0
20121206,26.23,26.28,26.22,26.25,31623,0
20121207,26.28,26.32,26.22,26.32,26395,0
20121210,26.34,26.39,26.25,26.3,25716,0
20121211,26.25,26.32,26.23,26.3,43349,0
20121212,26.24,26.38,26.15,26.3,192503,0
20121213,26.35,27.45,26.35,27.25,425088,0
20121214,27.2,28.09,27.02,28.02,166271,0
20121217,28.05,28.25,27.4,27.74,109230,0
20121218,27.7,28,27.6,27.8,76126,0
20121219,27.9,28.15,27.55,28.07,112150,0
20121220,27.86,27.98,27.77,27.8,64404,0
20121221,27.7,27.7,27.41,27.5,92485,0
20121227,27.36,28.31,27.36,28.31,91617,0
20121228,28.31,28.45,27.86,28.45,127367,0
20130102,28.48,28.65,28.42,28.5,78778,0
20130103,28.5,28.85,28.48,28.85,75274,0
20130104,28.7,29.95,28.7,29.65,307231,0
20130107,29.5,30.23,29.43,30.15,224546,0
20130108,30.15,31.15,30,30.4,154174,0
20130109,30.52,31.6,30.52,31.6,186602,0
20130110,32,32.69,31.17,31.5,214833,0
20130111,31.52,31.96,30.52,30.96,188783,0
20130114,30.61,31.3,30.61,31.01,62600,0
20130115,31,31,30.59,30.59,84456,0
20130116,30.2,30.79,30.14,30.5,58467,0
20130117,30.5,31,30.45,30.72,35522,0
20130118,30.81,31.44,30.72,31.2,195672,0
20130121,31.15,31.4,31,31.25,23317,0
20130122,31.13,31.4,30.55,30.55,94120,0
20130123,30.46,30.9,30.15,30.56,40191,0
20130124,30.6,30.79,30.4,30.68,198568,0
20130125,30.5,30.64,30.3,30.3,52065,0
20130128,30.16,30.39,29.2,29.2,219785,0
20130129,28.9,29.29,28.62,29.25,89911,0
20130130,29,29.75,29,29.55,47710,0
20130131,29.6,30.2,29.31,30.19,141403,0
20130201,30.16,30.19,29.85,30,55366,0
20130204,30,30,28.65,29.7,140578,0
20130205,29.2,29.7,29.1,29.5,34407,0
20130206,29.5,29.68,29.3,29.58,32916,0
20130207,29.47,30,29.21,29.21,23641,0
20130208,29.54,29.9,29.3,29.89,31684,0
20130211,29.56,29.71,29.56,29.65,7091,0
20130212,29.79,29.79,29.4,29.49,234799,0
20130213,29.3,29.3,28.6,28.6,13080,0
20130214,28.8,28.8,28.25,28.25,35322,0
20130215,28.3,28.9,28.24,28.89,27967,0
20130218,28.89,28.89,28.7,28.75,5083,0
20130219,28.75,28.8,28.6,28.79,4411,0
20130220,28.8,28.8,27.98,27.98,102128,0
20130221,28,28,26.9,27.2,65305,0
20130222,27.03,27.24,26.91,27.06,18966,0
20130225,27.09,27.7,27.09,27.5,11475,0
20130226,27.3,27.64,27.3,27.55,4889,0
20130227,27.94,28.26,27.87,28.15,3594,0
20130228,28.23,28.3,28.05,28.2,4180,0
20130301,28.25,28.5,27.99,28.39,23142,0
20130304,28.4,28.4,28,28,5695,0
20130305,27.8,28.2,27.8,28.15,5965,0
20130306,28.16,29.08,27.7,28.81,50328,0
20130307,29,29.1,28.81,28.85,42281,0
20130308,29.02,29.48,29.02,29.33,9260,0
20130311,29.48,29.48,29,29.18,7854,0
20130312,29.5,29.5,28.5,28.62,9496,0
20130313,28.6,28.77,28.5,28.65,5715,0
20130314,28.7,29.4,28.5,29.15,21964,0
20130315,29.19,30,29.1,30,64081,0
20130318,29.9,29.9,29.2,29.75,16591,0
20130319,29.7,29.8,28.32,28.32,95876,0
20130320,29,29.4,28.94,28.94,58533,0
20130321,29.29,29.29,28.4,28.52,14907,0
20130322,28.42,28.5,27.76,27.92,26528,0
20130325,28.3,28.69,27.85,27.85,18231,0
20130326,27.5,27.95,27.5,27.75,6723,0
20130327,27.98,28.1,27.7,28.02,6706,0
20130328,28.13,28.3,28,28.02,9296,0
20130402,27.9,28.44,27.9,28.44,8738,0
20130403,28.21,28.21,27.25,27.25,58996,0
20130404,27.2,27.55,27.03,27.22,188698,0
20130405,27.4,27.4,27.23,27.29,16778,0
20130408,27.3,27.7,27.26,27.4,12853,0
20130409,27.23,27.4,27.23,27.4,5128,0
20130410,27.8,27.8,27.4,27.64,11308,0
20130411,27.65,27.9,27.4,27.87,18244,0
20130412,27.87,28.1,27.87,28.1,19332,0
20130415,27.6,28,27.42,27.5,5360,0
20130417,27.5,27.6,25.8,26.8,31529,0
20130418,26.8,27.06,26.5,26.8,18106,0
20130419,26.95,26.95,26.41,26.5,2639,0
20130422,26.12,26.5,25.51,26.05,20316,0
20130423,25.9,26.04,25.5,25.51,19362,0
20130424,25.61,25.98,25.6,25.65,211377,0
20130425,25.9,26.12,25.55,25.83,67670,0
20130426,25.9,26.3,25.6,26.19,17119,0
20130429,26.19,26.29,25.81,25.85,7855,0
20130430,25.86,26.2,25.8,26.2,4410,0
20130502,26.26,26.32,26,26.21,1801,0
20130506,26.25,27.15,26.24,27.14,64831,0
20130507,27.25,27.8,27.23,27.55,86222,0
20130508,27.35,27.5,27.2,27.47,9629,0
20130509,27.2,27.2,27.01,27.01,17178,0
20130510,27.15,27.2,26.8,27.12,57238,0
20130513,27,27.1,26.81,27.1,3713,0
20130514,27.09,27.09,26.88,27,11746,0
20130515,27,27.3,26.8,27.3,25712,0
20130516,27.29,27.49,26.84,27.1,23373,0
20130517,27,27.19,26.8,27,9529,0
20130520,27.17,27.79,27.17,27.79,15994,0
20130521,27.9,28.19,27.86,28.1,9726,0
20130522,28,28.43,27.72,27.72,60241,0
20130523,27.5,27.5,26.81,26.87,133880,0
20130524,26.88,27.2,26.88,27.15,117499,0
20130527,27.15,27.43,27.15,27.35,7498,0
20130528,27.42,27.77,27.15,27.16,29629,0
20130529,27.3,27.35,27,27.07,2360,0
20130531,27.13,28.5,27.13,28.5,241873,0
20130603,28.5,28.5,27.5,28,56465,0
20130604,28,28.15,27.61,27.91,21141,0
20130605,27.82,27.9,27.64,27.85,4077,0
20130606,27.9,27.95,27.7,27.85,19887,0
20130607,27.7,27.8,27.51,27.8,11919,0
20130610,27.8,28.3,27.71,28.1,20912,0
20130611,28.18,28.45,27.98,28.45,10770,0
20130612,28.1,28.48,27.8,27.8,59069,0
20130613,28,28,27.71,27.87,4930,0
20130614,27.88,28.29,27.88,28.19,59872,0
20130617,28.1,28.1,27.71,27.97,3479,0
20130618,27.75,27.96,27.51,27.51,13120,0
20130619,27.6,27.7,27.51,27.7,28524,0
20130620,27.59,27.68,27,27.03,21277,0
20130621,26.8,27,25.88,26.19,403413,0
20130624,26.04,26.19,26,26.19,22078,0
20130625,26.21,26.5,25.89,25.9,23806,0
20130626,26,26.15,25.2,25.2,325605,0
20130627,25.3,25.9,24.2,24.5,82043,0
20130628,24.88,25.07,24.5,24.9,30225,0
20130701,25,25.5,24.6,25.5,31906,0
20130702,25.5,25.83,25.25,25.77,10630,0
20130703,25.73,25.73,25.45,25.64,62424,0
20130704,25.64,25.77,25.52,25.76,3399,0
20130705,25.76,25.76,25.44,25.73,15959,0
20130708,25.46,25.72,25.45,25.68,3600,0
20130709,25.44,25.7,25.44,25.68,7188,0
20130710,25.45,25.68,25.44,25.68,8521,0
20130711,25.65,25.75,25.46,25.75,4619,0
20130712,25.5,26.72,25.44,25.5,93897,0
20130715,26,26,25.45,25.85,2752,0
20130716,25.95,25.95,25.25,25.68,82022,0
20130717,25.42,25.84,25.25,25.5,25802,0
20130718,25.23,25.5,25,25.07,12180,0
20130719,25.3,25.3,25,25.24,10860,0
20130722,25.54,25.59,24.3,24.3,5615,0
20130723,24.37,25.3,24.37,25.3,20092,0
20130724,25.3,25.3,24.9,24.92,7527,0
20130725,24.95,25,24.85,25,119228,0
20130726,25,25.1,24.85,24.87,17258,0
20130729,25,25,24.49,24.49,11251,0
20130730,24.5,24.5,24.34,24.34,5726,0
20130731,24.63,24.63,24.4,24.5,21102,0
20130801,24.55,24.55,23.9,23.9,18618,0
20130802,23.9,24.25,23.9,23.99,36926,0
20130805,24.02,24.26,24.02,24.2,11166,0
20130806,24.16,24.54,24.16,24.48,3811,0
20130807,24.49,25.09,24.42,25,15945,0
20130808,25.15,25.3,25,25.2,40124,0
20130809,25.3,25.3,25.03,25.25,11720,0
20130812,25.3,25.33,25.16,25.3,47836,0
20130813,25.3,25.3,25,25.1,4676,0
20130814,25.01,25.18,25.01,25.06,5172,0
20130816,25,25.09,25,25.05,4583,0
20130819,25.01,25.6,25.01,25.4,20534,0
20130820,25.31,25.36,25.1,25.1,8166,0
20130821,25.1,25.51,25.1,25.22,28007,0
20130822,25.23,25.31,25.16,25.31,35352,0
20130823,25.5,25.5,25,25.14,47193,0
20130826,25.2,25.4,24.95,25,11399,0
20130827,25,25.15,25,25.03,6404,0
20130828,25,25.3,24.96,25.3,8714,0
20130829,25.41,26.8,25.41,26.59,94417,0
20130830,26.9,27,26.36,27,31644,0
20130902,26.99,27,26.66,26.81,7916,0
20130903,26.85,27.15,26.7,27.15,25273,0
20130904,26.99,26.99,26,26,57502,0
20130905,26,26,24.8,24.9,20160,0
20130906,24.9,26.46,24.9,26.46,55174,0
20130909,26.1,26.98,26.1,26.7,13104,0
20130910,26.7,27.44,26.7,27.4,41458,0
20130911,27.3,29.2,27.3,29,227912,0
20130912,29,29.3,28.5,28.66,35272,0
20130913,28.65,28.8,28.5,28.66,51329,0
20130916,28.7,28.94,28.69,28.8,18397,0
20130917,28.6,28.8,27.7,27.93,6831,0
20130918,28,28.05,27.93,28.02,10161,0
20130919,28.1,29.1,28.1,29,90922,0
20130920,28.94,29,28.8,28.97,23796,0
20130923,28.87,29.07,28.54,29,1056761,0
20130924,28.8,28.99,28.8,28.8,7682,0
20130925,28.6,28.8,28.53,28.8,14665,0
20130926,28.8,29,28.71,28.98,16546,0
20130927,28.8,28.8,28.55,28.61,7243,0
20130930,28.1,28.9,28.01,28.5,22886,0
20131001,28.3,28.4,27.56,27.65,16280,0
20131002,27.65,27.65,27.5,27.59,33291,0
20131003,27.59,28,27.59,27.9,13020,0
20131004,27.95,28.16,27.9,28,8612,0
20131007,28,28,27.76,28,37317,0
