Date,Open,High,Low,Close,Volume,OpenInt
20111010,1.2807,1.2807,0.8934,0.8934,161765,0
20111011,0.9013,0.9329,0.8221,0.8302,59331,0
20111012,0.8459,0.8459,0.7669,0.8302,243011,0
20111013,0.8221,0.8459,0.8221,0.8459,18629,0
20111014,0.8459,0.9091,0.838,0.8775,28821,0
20111017,0.9249,0.9249,0.8696,0.8934,23095,0
20111018,0.8617,0.8775,0.8143,0.8696,21067,0
20111019,0.8538,0.8775,0.8459,0.8696,16787,0
20111020,0.8459,0.8775,0.838,0.838,173316,0
20111021,0.838,0.8696,0.8302,0.8696,3062,0
20111024,0.8696,0.9171,0.7985,0.9171,21402,0
20111025,0.8855,0.9249,0.8855,0.9171,37496,0
20111026,0.9249,0.9566,0.9171,0.9249,215983,0
20111027,0.9566,1.004,0.9487,0.9724,97988,0
20111028,0.9882,0.9961,0.9249,0.9803,18412,0
20111031,1.004,1.004,0.9407,0.9724,5214,0
20111102,0.9091,0.9961,0.9091,0.9882,58358,0
20111103,0.9724,1.0199,0.9724,1.0119,59785,0
20111104,1.0119,1.0594,0.9961,1.0594,18635,0
20111107,1.0277,1.091,1.0277,1.0831,19750,0
20111108,1.0594,1.0988,1.0594,1.091,7149,0
20111109,1.0988,1.0988,1.0594,1.0673,17387,0
20111110,1.0277,1.0988,1.0277,1.0988,8104,0
20111114,1.0988,1.0988,1.0436,1.0988,4562,0
20111115,1.091,1.091,1.0436,1.0831,11335,0
20111116,1.0673,1.0831,1.0436,1.0436,2785,0
20111117,1.0436,1.0831,1.0436,1.0594,25913,0
20111118,1.0436,1.0752,1.0277,1.0594,2071,0
20111121,1.0277,1.0673,1.0119,1.0594,16455,0
20111122,1.0199,1.0673,1.0199,1.0594,54768,0
20111123,1.0277,1.0752,1.0277,1.0356,1642,0
20111124,0.9724,1.0752,0.9724,1.0594,18351,0
20111125,1.004,1.0673,1.004,1.0673,5429,0
20111128,1.0831,1.091,1.0514,1.091,21535,0
20111129,1.0673,1.0988,1.0594,1.0988,15598,0
20111130,1.0594,1.1068,1.0594,1.1068,276177,0
20111201,0.9961,1.1068,0.9961,1.0673,32871,0
20111202,1.1068,1.1068,1.0594,1.0594,15865,0
20111205,1.0988,1.0988,1.0436,1.0752,534997,0
20111206,1.091,1.091,1.091,1.091,2,0
20111207,1.0988,1.1858,1.0594,1.1858,16064,0
20111208,1.1147,1.1938,1.1147,1.1938,165134,0
20111209,1.1464,1.1858,1.1226,1.1858,3710,0
20111212,1.17,1.1858,1.1306,1.1779,25297,0
20111213,1.1306,1.1779,1.1306,1.1779,13032,0
20111214,1.1858,1.1858,1.1306,1.17,2143,0
20111215,1.17,1.1779,1.17,1.1779,64,0
20111216,1.1384,1.1779,1.1226,1.1779,4223,0
20111219,1.1621,1.1621,1.0988,1.1464,1344,0
20111221,1.1384,1.1779,1.1147,1.17,82920,0
20111222,1.1306,1.1938,1.1306,1.1938,420287,0
20111223,1.1938,1.257,1.1938,1.2411,154099,0
20111227,1.2411,1.3044,1.2411,1.2807,154999,0
20111228,1.2965,1.3757,1.2807,1.3439,109418,0
20111229,1.3361,1.3439,1.2807,1.3044,5346,0
20111230,1.301,1.3379,1.2733,1.3379,12847,0
20120102,1.3044,1.3598,1.2333,1.3281,26819,0
20120103,1.3203,1.3281,1.2807,1.2807,12228,0
20120104,1.3044,1.3044,1.2175,1.2887,12493,0
20120105,1.2333,1.2411,1.1621,1.2096,27481,0
20120109,1.2096,1.2096,1.1464,1.2096,20515,0
