Date,Open,High,Low,Close,Volume,OpenInt
20080425,6.445,6.445,5.5,5.75,3700,0
20080428,5.5,5.5,5.35,5.45,1660,0
20080429,5.45,5.45,5.45,5.45,800,0
20080430,5.05,5.25,5.05,5.25,2400,0
20080506,5,5,4.8,4.8,780,0
20080507,4.6,4.6,4.575,4.575,2820,0
20080512,3.925,4.895,3.925,4.895,40,0
20080515,4.895,4.895,4.895,4.895,20,0
20080519,4.125,4.6425,4.125,4.6425,220,0
20080520,4.5,4.5,4.3775,4.3775,40,0
20080521,4.45,4.81,4.45,4.81,140,0
20080528,4.56,4.94,4.56,4.94,200,0
20080603,4.94,4.94,4.94,4.94,20,0
20080605,4.5,4.895,4.5,4.895,420,0
20080611,4.85,4.85,4.85,4.85,20,0
20080626,4,4,3.75,3.9,240,0
20080627,4.345,4.345,4.345,4.345,20,0
20080717,3.6,4.345,3.375,3.6,2160,0
20080718,3.65,3.65,3.65,3.65,1100,0
20080722,3.3,4.015,3.3,4.015,20,0
20080730,3.5,3.75,3.5,3.75,1300,0
20080731,3.6,3.75,3.6,3.75,1120,0
20080826,3.085,3.325,3.085,3.325,1120,0
20080901,3.25,3.25,3.25,3.25,400,0
20080902,3.1,3.9325,3.1,3.9325,3200,0
20080903,4.8,4.8,4.8,4.8,1260,0
20080904,4.5,4.9,4.5,4.9,680,0
20080908,4.9,4.9,4.3,4.35,3600,0
20080909,4.3,4.3,4.3,4.3,360,0
20080910,4.7,4.7,4.7,4.7,140,0
20080911,4.7,4.7,4.7,4.7,200,0
20080912,4.2,4.5,4.2,4.5,240,0
20080918,3.61,4.445,3.61,4.445,180,0
20080926,3.45,4.25,3.45,4.25,1000,0
20080930,4,4.25,3.85,4.25,2420,0
20081015,4.5,4.5,4.4,4.4,965,0
20081016,4.15,4.15,3.95,3.95,225,0
20081017,3.95,3.95,3.95,3.95,495,0
20081028,3.7,3.7,3.7,3.7,2000,0
20081029,3.8,3.8,3.75,3.75,2106,0
20081030,3.75,3.85,3.35,3.85,3500,0
20081031,3.7,3.85,3.7,3.85,470,0
20081103,3.85,4.05,3.7,3.95,3623,0
20081104,3.95,3.95,3.95,3.95,1761,0
20081105,3.95,4.3,3.75,4.3,3520,0
20081106,4.05,4.3,4,4.2,2921,0
20081107,4.3,4.55,4.3,4.45,2531,0
20081110,4.25,4.45,4.25,4.45,645,0
20081112,4.45,4.45,4.2,4.2,2728,0
20081113,4.55,4.55,4.45,4.45,254,0
20081114,4.2,4.75,4.2,4.75,5154,0
20081117,4.65,4.75,4.35,4.35,6840,0
20081118,4.55,4.55,4.35,4.35,1620,0
20081119,4.35,4.5,4.35,4.5,1118,0
20081120,4.5,4.5,4.25,4.25,2083,0
20081121,4.6,4.6,4.45,4.45,220,0
20081124,4.55,4.55,4.2,4.55,1145,0
20081125,4.35,4.5,4.35,4.5,120,0
20081126,4.65,4.65,4.65,4.65,20,0
20081128,4.35,4.35,4.35,4.35,380,0
20081201,4.35,4.35,4.25,4.25,889,0
20081202,4.05,4.1,4.05,4.1,1135,0
20081203,4.1,4.3,4,4.3,360,0
20081204,4.5,4.65,4.5,4.5,392,0
20081208,4.5,4.5,4.5,4.5,10,0
20081209,4.6,4.7,4.25,4.7,2692,0
20081210,4.7,4.7,4.7,4.7,40,0
20081215,4.3,4.65,4.3,4.65,67,0
20081216,4.3,4.7,4.3,4.7,1437,0
20081217,4.65,4.7,4.65,4.7,200,0
20081218,4.65,4.7,4.45,4.45,234,0
20081219,4.45,4.65,4.25,4.65,1343,0
20081222,4.3,4.5,4.15,4.15,600,0
20081223,4.25,4.25,4.2,4.25,912,0
20081229,4.15,4.15,4.15,4.15,420,0
20081230,4.2,4.55,4.15,4.55,780,0
20081231,4.2,4.7,4.1,4.7,5848,0
20090105,5.05,5.05,4.95,4.95,110,0
20090106,4.9,4.95,4.65,4.65,695,0
20090107,4.9,5.35,4.65,5.25,9074,0
20090108,5.25,5.9,5.25,5.45,33482,0
20090109,5.45,5.45,4.8,5,5153,0
20090112,5,5,4.65,4.7,4389,0
20090113,4.75,4.75,4.35,4.4,6513,0
20090114,4.65,4.7,4.4,4.6,1597,0
20090115,4.5,5.4,4.4,5.4,2696,0
20090116,5.25,5.4,4.75,5,3233,0
20090119,5.35,5.35,4.95,5.05,3232,0
20090120,5.05,5.05,4.55,4.6,8409,0
20090121,4.55,4.9,4.55,4.9,2388,0
20090122,4.95,4.95,4.5,4.75,7608,0
20090123,4.5,4.8,4.35,4.8,3302,0
20090127,4.5,4.65,4.35,4.65,16078,0
20090128,4.3,4.5,4.2,4.25,1507,0
20090129,4.2,4.45,4.1,4.1,2352,0
20090130,4.25,4.25,4.05,4.25,1090,0
20090202,4.05,4.3,3.9,4.25,453964,0
20090203,4.15,4.2,3.7,4.2,5738,0
20090204,4,4.6,4,4.55,1843,0
20090205,4.25,5.4,4.1,4.7,23578,0
20090206,4.85,5.3,4.6,4.85,18405,0
20090209,4.85,4.85,4.55,4.65,7864,0
20090210,4.65,4.75,4.55,4.6,3698,0
20090211,4.6,4.7,4.45,4.7,2026,0
20090212,4.65,4.75,4.5,4.75,2312,0
20090213,4.6,4.75,4.25,4.4,3392,0
20090216,4.4,4.4,4.1,4.15,6373,0
20090217,4.15,4.25,4,4.25,1501,0
20090218,4,4.25,4,4.25,1580,0
20090219,4,4.2,3.9,4.05,1544,0
20090220,4.1,4.1,3.85,3.85,3340,0
20090223,3.65,4.15,3.65,4.15,3228,0
20090224,4,4.25,4,4.2,1041,0
20090225,4,4,3.8,3.95,1683,0
20090226,3.95,3.95,3.5,3.85,7468,0
20090227,3.7,3.95,3.65,3.95,628,0
20090302,3.85,3.85,3.6,3.85,1403,0
20090303,3.95,3.95,3.95,3.95,3,0
20090304,3.9,3.95,3.65,3.95,264,0
20090305,4,4,3.95,3.95,1090,0
20090306,3.95,3.95,3.95,3.95,2,0
20090309,4,4.2,4,4,623,0
20090310,3.8,4.25,3.8,4.2,6409,0
20090311,4.25,4.7,4.2,4.4,5266,0
20090312,4.25,4.25,4.05,4.25,1957,0
20090313,4.3,4.3,4.05,4.05,1977,0
20090316,4.05,4.05,3.9,3.9,1042,0
20090317,3.9,4,3.9,4,1231,0
20090318,4,4,3.85,3.85,90,0
20090319,3.9,4,3.9,4,96,0
20090320,3.8,4.05,3.8,4.05,1934,0
20090323,4.05,4.2,3.85,4.15,7690,0
20090324,4.2,4.2,4.05,4.15,2377,0
20090325,4,4.15,4,4.1,1385,0
20090326,4.15,4.55,4.05,4.45,13337,0
20090327,4.5,4.5,4.15,4.35,3551,0
20090330,4.2,4.2,4.05,4.15,1842,0
20090331,4.1,4.2,4.1,4.2,124,0
20090401,4.25,4.25,4.25,4.25,27,0
20090402,4.2,4.25,4.1,4.25,1370,0
20090403,4.25,4.25,4.1,4.2,2902,0
20090406,4.2,4.35,4.15,4.3,4645,0
20090407,4.35,4.4,4.1,4.25,2802,0
20090408,4.3,4.45,4.3,4.45,12350,0
20090409,4.45,4.45,4.3,4.45,10072,0
20090414,4.45,4.6,4.45,4.55,8475,0
