Date,Open,High,Low,Close,Volume,OpenInt
19981217,1,1,0.8,0.8,4100,0
19981218,1,1,0.85,1,21132,0
19981221,0.85,0.85,0.85,0.85,714,0
19981222,0.85,0.85,0.8,0.85,12531,0
19981223,0.8,0.85,0.75,0.85,13534,0
19981228,0.8,0.85,0.8,0.85,370,0
19981229,0.88,0.9,0.8,0.8,3519,0
19981230,0.87,0.87,0.87,0.87,200,0
19981231,0.87,0.87,0.87,0.87,200,0
19990104,0.83,0.85,0.82,0.82,1500,0
19990105,0.8,0.8,0.8,0.8,1000,0
19990106,0.8,0.8,0.8,0.8,1259,0
19990107,0.75,0.75,0.7,0.7,13723,0
19990108,0.75,0.75,0.7,0.7,6500,0
19990111,0.75,0.75,0.71,0.71,800,0
19990112,0.67,0.7,0.65,0.65,6512,0
19990114,0.71,0.71,0.71,0.71,200,0
19990118,0.65,0.65,0.65,0.65,222,0
19990119,0.65,0.67,0.6,0.6,3145,0
19990120,0.65,0.65,0.63,0.63,515,0
19990121,0.61,0.62,0.6,0.6,700,0
19990122,0.55,0.55,0.55,0.55,210,0
19990126,0.53,0.53,0.52,0.52,400,0
19990127,0.4,0.4,0.25,0.35,12065,0
19990128,0.36,0.45,0.29,0.45,10239,0
19990129,0.4,0.45,0.4,0.4,3815,0
19990201,0.38,0.4,0.38,0.38,2475,0
19990202,0.45,0.5,0.45,0.48,3100,0
19990203,0.48,0.5,0.48,0.5,4100,0
19990204,0.45,0.45,0.45,0.45,3000,0
19990205,0.48,0.55,0.47,0.5,4250,0
19990208,0.55,0.55,0.5,0.5,3500,0
19990209,0.55,0.55,0.55,0.55,500,0
19990210,0.51,0.51,0.51,0.51,461,0
19990212,0.55,0.55,0.52,0.52,1500,0
19990215,0.49,0.52,0.48,0.5,23316,0
19990216,0.49,0.49,0.49,0.49,2000,0
19990217,0.55,0.55,0.52,0.52,811,0
19990218,0.51,0.51,0.5,0.5,2350,0
19990219,0.5,0.51,0.5,0.5,14790,0
19990222,0.5,0.5,0.5,0.5,16807,0
19990223,0.51,0.51,0.51,0.51,300,0
19990224,0.5,0.51,0.5,0.5,6161,0
19990225,0.51,0.51,0.51,0.51,12000,0
19990301,0.53,0.53,0.51,0.51,12261,0
19990302,0.51,0.53,0.51,0.53,8869,0
19990304,0.51,0.51,0.51,0.51,4800,0
19990305,0.52,0.52,0.51,0.51,5500,0
19990308,0.51,0.53,0.51,0.53,5057,0
19990309,0.51,0.52,0.51,0.51,7917,0
19990310,0.51,0.51,0.5,0.5,23737,0
19990312,0.51,0.51,0.43,0.43,3700,0
19990315,0.5,0.5,0.5,0.5,2000,0
19990317,0.5,0.5,0.5,0.5,400,0
19990318,0.49,0.49,0.49,0.49,4500,0
19990319,0.5,0.5,0.46,0.46,7440,0
19990322,0.51,0.51,0.41,0.46,13534,0
19990323,0.49,0.49,0.46,0.46,8510,0
19990324,0.49,0.5,0.49,0.5,10780,0
19990325,0.47,0.47,0.47,0.47,9256,0
19990326,0.5,0.5,0.5,0.5,14475,0
19990329,0.45,0.46,0.45,0.46,8505,0
19990330,0.47,0.5,0.47,0.5,22003,0
19990331,0.5,0.5,0.45,0.48,14786,0
19990401,0.5,0.5,0.5,0.5,3222,0
19990406,0.5,0.5,0.5,0.5,12103,0
19990407,0.48,0.49,0.48,0.49,2500,0
19990408,0.49,0.5,0.49,0.5,15850,0
19990409,0.51,0.51,0.51,0.51,5500,0
19990412,0.52,0.52,0.52,0.52,2950,0
19990413,0.51,0.51,0.51,0.51,9316,0
19990414,0.52,0.52,0.51,0.51,5500,0
19990415,0.51,0.51,0.51,0.51,11450,0
19990416,0.5,0.5,0.48,0.48,2050,0
19990419,0.5,0.5,0.5,0.5,1000,0
19990421,0.47,0.47,0.47,0.47,500,0
19990422,0.48,0.48,0.48,0.48,1000,0
19990423,0.51,0.51,0.51,0.51,500,0
19990426,0.51,0.53,0.51,0.52,13649,0
19990427,0.53,0.53,0.53,0.53,200,0
19990428,0.49,0.53,0.49,0.53,9143,0
19990429,0.52,0.53,0.52,0.52,3916,0
19990430,0.55,0.6,0.54,0.54,19683,0
19990505,0.54,0.54,0.54,0.54,1000,0
19990506,0.53,0.62,0.53,0.6,9330,0
19990507,0.55,0.63,0.55,0.63,13833,0
19990510,0.5,0.67,0.5,0.62,26900,0
19990511,0.6,0.63,0.5,0.63,3857,0
19990512,0.63,0.69,0.63,0.69,6292,0
19990513,0.66,0.8,0.66,0.76,34204,0
19990514,0.8,0.9,0.8,0.88,30769,0
19990517,0.88,0.88,0.81,0.82,29000,0
19990518,0.8,0.85,0.8,0.81,34038,0
19990519,0.84,0.85,0.76,0.82,20650,0
19990520,0.75,0.82,0.75,0.81,18716,0
19990521,0.78,0.81,0.75,0.79,18085,0
19990524,0.7,0.8,0.7,0.75,46500,0
19990525,0.75,0.75,0.7,0.71,18550,0
19990526,0.67,0.74,0.67,0.71,24143,0
