Date,Open,High,Low,Close,Volume,OpenInt
20101001,15.8,15.8,15,15.19,204734,0
20101004,15.19,15.2,15,15.13,96261,0
20101005,15.06,15.1,15.02,15.08,116974,0
20101006,15.1,15.2,15.1,15.15,90529,0
20101007,15.16,15.16,15.12,15.12,443,0
20101008,15.12,15.16,15.12,15.15,815,0
20101011,15.12,15.15,15.1,15.12,29967,0
20101012,15.11,15.11,14.82,15,56339,0
20101013,15,15,14.93,15,8474,0
20101014,15,15.04,14.92,15,5301,0
20101015,15,15,14.95,15,2453,0
20101018,14.96,15,14.96,15,18567,0
20101019,15,15,14.86,14.86,285,0
20101020,14.85,14.85,14.85,14.85,4905,0
20101021,14.85,15,14.85,15,7586,0
20101022,15,15,14.75,15,363,0
20101025,14.75,15.08,14.75,15.08,4490,0
20101026,14.7,15.05,14.7,15,611,0
20101027,14.94,15.19,14.91,15,3532,0
20101028,15.09,15.09,15.08,15.09,146,0
20101029,15.1,15.15,15.06,15.06,2513,0
20101102,14.8,15.17,14.8,15.17,21410,0
20101103,15.19,15.19,15,15.14,7166,0
20101104,15,15.1,15,15,5870,0
20101105,15.08,15.08,15,15.06,76,0
20101108,15,15.08,14.95,14.99,2194,0
20101109,15,15,14.95,14.99,1672,0
20101110,14.99,14.99,14.99,14.99,443,0
20101112,15,15,14.99,15,2447,0
20101115,15,15,15,15,300,0
20101116,15,15,14.7,14.7,1575,0
20101117,14.87,14.87,14.34,14.6,1720,0
20101118,14.52,14.99,14.52,14.9,4424,0
20101119,14.99,14.99,14.63,14.63,246,0
20101122,14.5,14.8,14.5,14.6,341,0
20101123,14.69,14.69,14.5,14.5,458,0
20101124,14.95,14.95,14.5,14.7,3452,0
20101125,14.8,14.95,14.8,14.9,11100,0
20101126,15,15,14.8,14.9,1050,0
20101129,14.7,14.7,14.7,14.7,2700,0
20101130,14.75,14.75,14.53,14.53,800,0
20101201,14.99,14.99,14.75,14.75,9099,0
20101202,14.9,14.91,14.75,14.75,70222,0
20101203,14.95,14.95,14.75,14.75,31560,0
